ID,"FS name",FS macro region,"From","Link type","To","Description"
1213,"Rainfed Mixed",MENA,"Water scarce area","Is mitigated by","Implement efficient water management","Worryingly, the MENA region is projected to be among the first in the world to “effectively run out of water,” as water resources are being used faster than they’re being replenished by precipitation, hence the need for efficient water management."
1214,"Rainfed Mixed",MENA,"Dependent on a single crop type","Is mitigated by","Diversify livelihoods","The agrisystemcommunities are predominantly agrarian operating under unpredictable climatic conditions but with limited alternative income sources. Increased investment in processing of agricultural produce would create job opportunities and contribute to value addition."
1215,"Rainfed Mixed",MENA,"Inadequate agri research and development","Is mitigated by","Invest in agricultural research and development","ensuring implementation of jointly developed strategic research, through creating an enabling environment for effective leadership of participatory and transdisciplinary research, retention of highly experienced scientific staff, fostering innovation at the research-extension interface and sharing knowledge across research and development actors in different countries with the highland mixed farming system."
1216,"Rainfed Mixed",MENA,"Unequal opportunities for women","Is mitigated by","Build women's  capacity","Building the capacity  of women and girls towards sustainable , inclusive and equitable opportunities."
1217,"Rainfed Mixed",MENA,"Unequal opportunities for women","Is mitigated by","Improve networking and knowledge exchange","Sharing knowledge  and experiences, finding valuable long-term  business contacts fro women , all with an emphasis of making connections and collaboration to mitigate the issue of unequal opportunities for women."
1218,"Rainfed Mixed",MENA,"Lack of irrigation infrastructure","Is mitigated by","Invest in irrigation infrastructure","Regional investment plans and strategies require a good assessment of costs and benefits related to irrigation infrastructure investments."
1219,"Rainfed Mixed",MENA,"Lack of irrigation infrastructure","Is mitigated by","Invest in water harvesting and storage infrastructure","As governments search for solutions, two trends in particular could present game-changing opportunities to bolster water security, that’s, water harversting and storage infrastructure."
1220,"Rainfed Mixed",MENA,"High poverty levels 






","Is mitigated by","Diversify livelihoods","Diversified Farm Income and Market Development will help mitigate poverty."
1221,"Rainfed Mixed",MENA,"High poverty levels 






","Is mitigated by","Adopt drought tolerant varieties






","Adoption of drought tolerant maize seeds could increase yields by up to 25% under climate change conditions in Africa by 2050,leading to a reduction in poverty."
1222,"Rainfed Mixed",MENA,"Reliance on rainfed agriculture","Is mitigated by","Invest in irrigation infrastructure","A reliable rainfed agriculture will require investments in local water harvesting and site-specific supplemental irrigation."
1223,"Rainfed Mixed",MENA,"Reliance on rainfed agriculture","Is mitigated by","Invest in water harvesting and storage infrastructure","Water storage and harvesting techniques should be further developed to enhance productivity in rainfed agriculture, shifting the focus of irrigation."
1224,"Rainfed Mixed",MENA,"Demographic pressure on land","Is mitigated by","Implement conservation agriculture practices","Land degradation and desertification (LDD) and climate change are having increased effects in the Middle East and North Africa hence the need for conservation agriculture."
1225,"Rainfed Mixed",MENA,"Demographic pressure on land","Is mitigated by","Implement reforestation practices","By planting trees in areas that have been degraded or deforested, reforestation helps the environment by guaranteeing, or accelerating the re-establishment of healthy forest structure by regrowing the forest canopy and preserving biodiversity within the ecosystem."
1226,"Rainfed Mixed",MENA,"Inadequate agri research and development","Is mitigated by","Invest in agricultural research and development","Investment in innovative policies and practices is also pivotal as research, technology development and transfer can provide further solutions to climate impacts."
1227,"Rainfed Mixed",MENA,"Inadequate agri research and development","Is mitigated by","Adopt post-harvest technologies","Identifying specific market-led interventions that can be adopted by individual players within the value chain to reduce post-harvest losses in staple crops."
1228,"Rainfed Mixed",MENA,"Farmers engaged in agri system","Exposed to","Risk to farmers of food insecurity due to Climate Change","The system is characteriszed by large food imports of its staple food which suggests that while many communities' livelihoods depend on agriculture, they are still dependent on international markets for their food security and nutrition"
1229,"Rainfed Mixed",MENA,"Area of land used","Exposed to","Risk to farmers of loss of livelihoods due to Climate Change","Farmers in the region are exposed to loss of livelihoods due to low climate resilience, including  fragile and conflict -affected areas."
1230,"Rainfed Mixed",MENA,"Farmers engaged in agri system","Exposed to","Risk to farmers of chronic poverty due to Climate Change 
","The prevalence of poverty is extensive among farmers in the system because of poor infrastructure, the degradation of natural resources, low rainfall and weak market linkages."
1231,"Rainfed Mixed",MENA,"Farmers engaged in agri system","Exposed to","Risk to farmers of loss of livelihoods due to Climate Change","Most agricultural activities take place in the semiarid climate zones close to the coast or in the highlands, where rainfall and thus water availability are predicted to decline most strongly, leading to loss of livelihoods."
1232,"Rainfed Mixed",MENA,"Area of land used","Exposed to","Risk to farmers of food insecurity due to Climate Change","The total area under the farming system that exposed to climatic hazards and demographic pressures leading to reduced productivity hence increased food insecurity."
1233,"Rainfed Mixed",SA,"Increase in average temperatures","Leads to","Reduced crop productivity/failure","Higher temperatures eventually reduce yields of
desirable crops while encouraging weed and pest proliferation"
1234,"Rainfed Mixed",SA,"Increasingly erratic rainfall","Leads to","Reduced crop productivity/failure","Changes in precipitation pattern (timing and amount) increase the likelihood of short-run crop failures and long-run production declines, posing a serious threat to food security."
1235,"Rainfed Mixed",SA,"Increase in drought events","Leads to","Reduced crop productivity/failure","Prolonged period of little precipitation often lead to yield reduction or loss of production"
1236,"Rainfed Mixed",SA,"Increase in drought events","Leads to","Increase in diseases","Drought causes increase in epidemic of diseases and increased
pest infestation"
1237,"Rainfed Mixed",SA,"Increase in drought events","Leads to","Crop stress/damage/mortality","Drought events cause reduced cropping intensity due to
lack of irrigation facilities"
1238,"Rainfed Mixed",SA,"Increase in drought events","Leads to","Reduced groundwater tables","An  increased pressure on groundwater occurs due to prolonged drought"
1239,"Rainfed Mixed",SA,"Increase in extreme rainfall events","Leads to","Waterlogging","Extreme rainfall events cause waterlogging in farm lands which is an uncondusive envIronment for certain crops. Therefore, there is crop damage and yield loss experienced. It also leads to loss of habitat for livestock, reduced grazing land, and loss of crop land."
1240,"Rainfed Mixed",SA,"Increase in extreme rainfall events","Leads to","Leaching of soil nutrients","Soil nutrients are carried away byy heavy flowing water due to flooding ebents which leads to loos of land prodcutivity"
1241,"Rainfed Mixed",SA,"Increase in extreme rainfall events","Leads to","Flash floods","Flash floods are a common occurrence under th rainfed mixed system which leads to huge damages of infrastructure, soil degradation, yield loss and damage to standing crops.
"
1242,"Rainfed Mixed",SA,"Rising sea levels","Leads to","Increased flooding
","Rising sea level inundates low-lying wetlands and dry land, erodes shorelines, contributes to coastal flooding, and increases the flow of salt water into estuaries and nearby groundwater aquifers. Higher sea level also makes coastal infrastructure more vulnerable to damage from storms"
1243,"Rainfed Mixed",SA,"Increase in tropical cyclones/hurricanes","Leads to","Damage to infrastructure","The latest evidence of this hazard occurred in May 2020, as the strongest storm recorded in decades in the Bay of Bengal—Cyclone Amphan—hit, forcing several million people to evacuate."
1244,"Rainfed Mixed",SA,"Rising sea levels",,"Soil erosion","A recent study referred to by some as a “Doomsday Report” suggests that rising sea levels could flood three times more land than previously predicted. In Southeast Asia, if the study proves accurate, parts of Ho Chi Minh City and Bangkok could be underwater by 2050."
1245,"Rainfed Mixed",SA,"Increase in drought events",,"Water scarcity","Increase in drought events lead to water scarcity in the region."
1246,"Rainfed Mixed",SA,"Increase in extreme heat (no. of hot days)","Leads to","Crop stress/damage/mortality","Extreme heat exposure can stress plants, stunt development, and cause plant mortality, which often results in reduced quality and lower yield in agricultural crops"
1247,"Rainfed Mixed",SA,"Rising sea levels",,"Land degradation","The major physical impacts of a rise in sea level include erosion of beaches, inundation of deltas as well as flooding and loss of many marshes and wetlands, leading to land degradation."
1248,"Rainfed Mixed",SA,"Increase in extreme heat (no. of hot days)",,"Reduced crop productivity/failure","Extreme heat has major repercussions for the agricultural sector. Climate related heat stress will increase drought and exacerbate water leading to reduced crop productivity in the region."
1249,"Rainfed Mixed",SA,"Increase in tropical cyclones/hurricanes",,"Coastal inundation","South Asia has been hit by two cyclones in as many weeks,  warming also lead to increased storm surges that can inundate coastal areas."
1250,"Rainfed Mixed",SA,"Increase in extreme rainfall events","Leads to","Increase in post-harvest losses","Extreme rainfall events impact on the already poor road infrastracture inhibiting the transportation of produce to the market in time. This has lead to an increase in post harvest losses."
1251,"Rainfed Mixed",SA,"Increase in average temperatures","Leads to","Increase in food insecurity","The availability of food can be affected through variations in yields  especially in key producing areas  due to increasing temperatures."
1252,"Rainfed Mixed",SA,"Increase in average temperatures","Leads to","Loss of income","The impacts of climate change, especially high temperatures are likely to result in huge economic, social, and environmental damage to the South Asian countries, compromising their growth."
1253,"Rainfed Mixed",SA,"Increase in average temperatures","Leads to","Competition for resources","Climate change such as increase in high temperatures leads to increase in competition for water resources used for irrigation."
1254,"Rainfed Mixed",SA,"Increasingly erratic rainfall","Leads to","Increase in food insecurity","Erratic rainfall patterns is the main coause for shifting growing seasons which lead to unpredictable planting periods and it reduces food availability per capita and increases the percentage of total undernourished population."
1255,"Rainfed Mixed",SA,"Increasingly erratic rainfall",,"Increase in post-harvest losses","A wide range of yield losses due to climate change impacts on wheat, rice, and maize crops in SA is observed."
1256,"Rainfed Mixed",SA,"Increasingly erratic rainfall",,"Dependence on food aid","Lower maize production is expected to be driven by ; higher rainfall variability leading to more droughts and floods  hence exposing farmers to  overdependent on food aids."
1257,"Rainfed Mixed",SA,"Rising sea levels",,"Increase in food insecurity","Changes in precipitation patterns combined with sea level rise will impact soil salinization and agricultural production, which will result in diminished food and water security."
1258,"Rainfed Mixed",SA,"Increase in tropical cyclones/hurricanes",,"Increase in food insecurity","In many tropical countries, smallholder farmers are highly vulnerable to cyclones and experience significant crop losses and food insecurity."
1259,"Rainfed Mixed",SA,"Increase in extreme heat (no. of hot days)",,"Increase in food insecurity","Food insecurity is already being felt in the region. India, the world’s second-largest wheat producer, banned wheat exports to stave off shortages. This decision has reduced wheat supplies and caused a spike in prices around the world, all these are caused by extreme heat being experienced."
1260,"Rainfed Mixed",SA,"Increase in extreme heat (no. of hot days)",,"Increase in migration","Temperatures in India’s capital and parts of Pakistan have at times reached close to 50°C, killing dozens of people in both countries and upending the daily lives and livelihoods of students, labourers, and farmers and causing a lot of migrations to safer spaces."
1261,"Rainfed Mixed",SA,"Increase in tropical cyclones/hurricanes","Leads to","Increase in migration","Tropical Cyclone Idai struck the southeast and will generate 143 million more climate migrants by 2050."
1262,"Rainfed Mixed",SA,"Increase in soil water deficit","Leads to","Crop stress/damage/mortality","Soil water deficit reduces leaf size, stem extension, and root proliferation, disturbs plant–water relations, and reduces water use efficiency"
1263,"Rainfed Mixed",SA,"Soil erosion","Leads to","Land degradation","The region has historically been exposed to climatic hazards that have led to soil erosion reducing the productivity of land."
1264,"Rainfed Mixed",SA,"Reduced groundwater tables","Leads to","Reduced water quality","Extraction of large volumes of groundwater without equivalent replenishment leads to faster depletion of water table, affecting water quality."
1265,"Rainfed Mixed",SA,"Reduced crop productivity/failure","Leads to","Increase in food insecurity","Large-scale crop yield failures, i.e. failures within a breadbasket or across multiple breadbaskets, threaten food security through losses in yield and rises in food prices. Such crop failures have been associated with extreme weather."
1266,"Rainfed Mixed",SA,"Flash floods",,"Increase in food insecurity","The most vulnerable groups in terms of food security during floods in south Asia under climate change will be the poor, women and children."
1267,"Rainfed Mixed",SA,"Leaching of soil nutrients",,"Reduced crop productivity/failure","Flooding which is the main hazard impacting the agriculture system causes leaching of soil nutrients , thus leading to reduced crop productivity."
1268,"Rainfed Mixed",SA,"Increased flooding
",,"Damage to infrastructure","Flooding affects homes, communities, and businesses directly, and also disrupts vital services, resource flows, and transport networks along with many cultural heritage assets."
1269,"Rainfed Mixed",SA,"Waterlogging",,"Reduced crop productivity/failure","Waterlogging remains a significant constraint to cereal production across the globe in areas with high rainfall and/or poor drainage."
1270,"Rainfed Mixed",SA,"Shift in growing season","Leads to","Unpredictable planting period","erratic rainfall patterns is the main coause for shifting growing seasons which lead to unpredictable planting periods. Farmers can no longer rely of the historic timing of planting seasons as this will lead to huge losses."
1271,"Rainfed Mixed",SA,"Land degradation","Leads to","Reduced crop productivity/failure","About 11 million hectares of South Asian cropland suffer from nutrient depletion and land degradation, which has led to stagnation or even crop failure."
1272,"Rainfed Mixed",SA,"Increase in soil water deficit","Leads to","Reduced crop productivity/failure","Serious water deficits are threatening agricultural sustainability in many regions of the South Asia (SA)."
1273,"Rainfed Mixed",SA,"Land degradation","Leads to","Increase in migration","As land is degraded desrts expand in some places, water resources are pressured to move to more hospitable areas."
1274,"Rainfed Mixed",SA,"Crop stress/damage/mortality",,"Increase in food insecurity","Agriculture in the SAR (South Asian Region) is caught in a low equilibrium trapwith low productivity of staples, supply shortfalls and  high prices caused by crop stress  which leads to increased food insecurity."
1275,"Rainfed Mixed",SA,"Soil erosion","Leads to","Increase in food insecurity","Land becomes degraded due to poor farming practices leading to soil erosion, declining crop yields and a loss of biodiversity;hence increased food insecuritry."
1276,"Rainfed Mixed",SA,"Water scarcity",,"Increase in food insecurity","The northwestern region of India is projected to see an increase in droughts in the future and eastern India is expected to see an increase in the length of dry spells leading to water scarcity which causes poor yields and hence food insecurity."
1277,"Rainfed Mixed",SA,"Unpredictable planting period",,"Increase in food insecurity","Evidence for climate change impacts in South Asia e.g., declines and stagnation in yields, changes in sowingand harvest dates, increased infestation of pests and disease leads to increased food insecurity."
1278,"Rainfed Mixed",SA,"Reduced groundwater tables",,"Desertification","The intensive groundwater exploitation causes the degradation of its quality, soil salinization, and even desertification."
1279,"Rainfed Mixed",SA,"Desertification",,"Land degradation","Desertification is characterized by the droughts and arid conditions that the landscape endures as a result of human exploitation of fragile ecosystems , leading to land degradation."
1280,"Rainfed Mixed",SA,"Damage to infrastructure",,"Delays in transportation","The lack of adequate transportation infrastructure results in damage, for instance,   FAO  reported that  10%–37% losses in rice in Southeast Asia are experienced due to poor transportation."
1281,"Rainfed Mixed",SA,"Reduced produce quality",,"Increase in malnutrition","Crop yields for small land-holders in South Asia are often low by international standards, which leaves many of them food insecure with increased malnutrition due to reduction in both quality and quantity of food."
1282,"Rainfed Mixed",SA,"Desertification","Leads to","Soil erosion","Desertification leads to soil erosion and sterility, and a loss of biodiversity, with huge economic costs for regions in South Asia  where deserts are growing."
1283,"Rainfed Mixed",SA,"Poor water use efficiency and management","Leads to","Water scarcity","Owing to poor water resource management system and climate change India faces a persistent water shortage. As per OECD environmental outlook 2050, India would face severe water constrains by 2050. Indian agriculture accounts for 90% water use due to fast track ground water depletion and poor irrigation systems."
1284,"Rainfed Mixed",SA,"Predominantly small-scale subsistence farming","Leads to","Lack of willingness to invest in sustainable agricultural practices","Marginal and smallholder farmers experience immediate hardship in face of any climatic hazard. They are unable to make adequate decisions about when to sow, what to grow, and how-to time inputs. They also find it difficult to cope with the high food price and the fluctuations in the same."
1285,"Rainfed Mixed",SA,"Unsustainable natural resource use","Leads to","Land degradation","Climate variability and change directly affect the productivity of natural resources. Any alteration in the quality and availability of natural resources will have far-reaching implications on resource users and the extensive social and economic systems they support (Marshall, 2011). Thus, higher dependency on natural resources for income generation increases vulnerability."
1286,"Rainfed Mixed",SA,"High poverty levels 






","Leads to","Dependence on food aid","People with extremely low incomes, are among the most vulnerable: they have little to no financial capital; so, they have the least capacity to adapt to impacts of climate risks"
1287,"Rainfed Mixed",SA,"Poor water use efficiency and management","Leads to","Competition for resources","The conflict in this region is not mainly related to the shortage of water but because of the over water use in different levels.Water management is becoming increasingly comprehensive and complicated due to large concentrations of population, commercial activities and industries around."
1288,"Rainfed Mixed",SA,"Predominantly small-scale subsistence farming","Leads to","Increase in food insecurity","Subsistence agricultural systems are especially vulnerable to these climate changes and events, owing to their frequent reliance on natural resources and ecosystem services, dependence on rain-fed crops, location on marginal lands, and limited adaptation capacity hence at risk of food insecurity."
1289,"Rainfed Mixed",SA,"Predominantly small-scale subsistence farming",,"Dependence on food aid","Apart from the endemic poverty and poor nutritional status of South Asian countries, there are signs of deterioration in the agricultural sector of the region leading to over-dependence on food aid."
1290,"Rainfed Mixed",SA,"Unsustainable natural resource use","Leads to","Soil erosion","Poor farmers are led to clear forest, cultivate steep slopes without conservation, overgraze rangelands and make unbalanced fertilizer applications, leading to soil erosion due to degradation."
1291,"Rainfed Mixed",SA,"High poverty levels 






","Leads to","Increase in food imports","South Asian countries in particular have had to deal with a more challenging situation due to their large population, weak health facilities, high poverty rates and low socio-economic conditions due to Covid-19 pandemic forcing them to depend on food imports."
1292,"Rainfed Mixed",SA,"High poverty levels 






",,"Increase in malnutrition","Estimates of food insecurity and related measures, such as poverty has  led to South Asia's unjustifiably high rates of malnutrition among children."
1293,"Rainfed Mixed",SA,"Inability to interpret climate information","Leads to","Increase in food insecurity","Inability to interpret climate information, especially among the smallholder farmers in remote areas causes them to make wrong choices when it comes to production leading to lower yields and hence increased food insecurity."
1294,"Rainfed Mixed",SA,"Inadequate climate information services","Leads to","Lack of willingness to invest in sustainable agricultural practices","The climate information (CI) provided to smallholder farmers through forecasts in most cases is too general (untailored), with much use of technical terms which farmers find difficult to understand and act on . As a result, farmers fail to properly apply the necessary coping strategies meant to reduce the risk of crop failure and deaths of livestock."
1295,"Rainfed Mixed",SA,"Weak land tenure","Leads to","Increase in food insecurity","Land tenure systems affect agricultural productivity by influencing the
efficient use of inputs and adoption of modern technology. Majority of farmers in the region are smallholder farmers with limited access to land and limited resources for inputs. Therefore, production is limited which might lead to food insecurity."
1296,"Rainfed Mixed",SA,"Weak land tenure","Leads to","Lack of willingness to invest in sustainable agricultural practices","Tenure insecurity,  contributes to social exclusion and conflict. It undermines people's ability to invest in sustainable land practices."
1297,"Rainfed Mixed",SA,"Inadequate climate information services","Leads to","Increase in food insecurity","Food insecurity is most severe for communities living in remote areas of the continent, that have inadequate climate information services."
1298,"Rainfed Mixed",SA,"Lack of access to risk insurance","Leads to","Loss of income","Limited access to risk insurance schemes by farmers in the region to cushion them gainst losses caused by climate hazards contributes to loss of income that would have been generated from the sale of produce and loss of income by the labourers who will no longer be employed"
1299,"Rainfed Mixed",SA,"Low access to credit","Leads to","Loss of income","Lack of access to credit (or credit constraint) may be an important reason why rural household enterprises face binding liquidity constraints."
1300,"Rainfed Mixed",SA,"High prevalence of land degradation","Leads to","Change in production zone suitability","human activities such as unsustainable agricultural practices overtime have led to land degradation which causes change in prodcution zone suitability"
1301,"Rainfed Mixed",SA,"High disease prevalence","Leads to","Reduced crop productivity/failure","The increasing desease prevelance due to climatic changes is impacting on crop and livestock productivity in terms of quality and quantity."
1302,"Rainfed Mixed",SA,"Unfavourable soil conditions","Leads to","Change in production zone suitability","Unfavourable soil conditions induced by floods and high temperatures (reduced moisture content) leads to a change in prodcution zone suitability."
1303,"Rainfed Mixed",SA,"High prevalence of land degradation","Leads to","Soil erosion","Soil erosion is the most important form of land degradation in South Asia. About 25 per cent of areas under crops and pasture are degraded through erosion caused by water."
1304,"Rainfed Mixed",SA,"High disease prevalence","Leads to","Increase in food insecurity","Crop diseases such as wheat rust have reemerged in major producing countries in South Asia and are increasing and threatening food security for the vulnerable in the region."
1305,"Rainfed Mixed",SA,"Unfavourable soil conditions","Leads to","Increase in food insecurity","Unfavorable soil conditions have fewer nutrients available to plants and the space for them to put down roots, which can decrease crop yields by up to 50 percent, leading to increased food insecurity."
1306,"Rainfed Mixed",SA,"Lack of irrigation infrastructure","Leads to","Loss of income","Lack of irrigation infrastructure forces farmers to continue depending on rainfed agriculture which is impacted heavily by climate change leading to loss of income."
1307,"Rainfed Mixed",SA,"Predominantly small-scale subsistence farming","Leads to","Reduced produce quality","Small scale farmers in the region have a limited capacity to cope and adapt to climate hazards due too limited access to resources and inputs eventually leading to reduced produce quality and quantity."
1308,"Rainfed Mixed",SA,"Lack of road infrastructure","Leads to","Delays in transportation","Produce takes a longer time to reach the market when roads are poorly developed. Therefore the shortage of roads in remote and sparsely populated areas pushes up input and product transport costs"
1309,"Rainfed Mixed",SA,"Low access to agricultural extension services","Leads to","Lack of willingness to invest in sustainable agricultural practices","Due to lack of or weak agricultural extension services, most farmers in the region depend on traditional technology with a strong bias towards risk avoidance"
1310,"Rainfed Mixed",SA,"Lack of access to risk insurance","Leads to","Loss of income","risk insurance schemes play a big role in reducing the losses incured by climate hazard impacts and without this farmers lack the capacity to cope and adapt."
1311,"Rainfed Mixed",SA,"Lack of irrigation infrastructure","Leads to","Reduced crop productivity/failure","Lack of Irrigation infrastructure exposes crops to drought risks, leading to lower and more unstable crop yields."
1312,"Rainfed Mixed",SA,"Lack of road infrastructure","Leads to","Loss of income","The lack of adequate transportation infrastructure results in damage of food products through bruising and losses due to spillage, hence loss of income."
1313,"Rainfed Mixed",SA,"Predominantly small-scale subsistence farming","Leads to","Dependence on food aid","Subsistence agricultural systems are especially vulnerable to these climate changes and events, owing to their frequent reliance on natural resources and ecosystem services, dependence on rain-fed crops, location on marginal lands, and limited adaptation capacity, hence leading to dependence on food aid."
1314,"Rainfed Mixed",SA,"Low access to agricultural extension services","Leads to","Increase in food insecurity","Agricultural extension plays an important role in development by assuring adequate and timely access by farmers to relevant advice, with appropriate incentives to adopt new technologies if it suits their socio-economic and agroecological circumstances, and therefore lack of it leads to poor agricultural productivity which in turn leads to food insecurity."
1315,"Rainfed Mixed",SA,"Lack of access to risk insurance","Leads to","Increase in food insecurity","Uninsured risks can have serious welfare consequences for poor households i. e increase in food insecurity."
1316,"Rainfed Mixed",SA,"High poverty levels 






","Leads to","Competition for resources","Competition over resources and environment-related migration can lead to insecurity and conflicts, undermining poverty reduction in the region."
1317,"Rainfed Mixed",SA,"High poverty levels 






","Leads to","Increase in malnutrition","High poverty levels with low per capita income and low Human Development Index, indicates a low overall adaptive capacity"
1318,"Rainfed Mixed",SA,"Reliance on rainfed agriculture","Is mitigated by","Invest in irrigation infrastructure","Although irrigation is not widely practiced in this regon, there is an increase in irrigation practices as a result of adapting to climate hazards."
1319,"Rainfed Mixed",SA,"High poverty levels 






","Is mitigated by","Diversify livelihoods","Introducton of alternative income generation activities and opportunities have helped alleviate poverty in the region"
1320,"Rainfed Mixed",SA,"Demographic pressure on land","Is mitigated by","Implement agroforestry practices","Implementing agroforestry practices is one of the most efficient and cost effective ways on combating climate change."
1321,"Rainfed Mixed",SA,"Limited uptake of modern technologies","Is mitigated by","Capacity building on sustainable agricultural practices","Limited uptake of modern technologies especially by small scale farmers is a vulnerability which can be mitigated by capacity building on sustainable agricultural practices. Most small scale farmers lack resources for inputs and capacity building can be effective in influencing uptake of modern technologies."
1322,"Rainfed Mixed",SA,"Unsustainable natural resource use","Is mitigated by","Implement conservation agriculture practices","There is a high dependency on natural resources for income generating activities which exerts pressure on natural resources and this can be mitigated through implemeting conservation agriculture practices."
1323,"Rainfed Mixed",SA,"Inability to interpret climate information","Is mitigated by","Build capacity on usage of climate information","Building capacity on usage of climate information will hep the communties and other stakeholders inteprate the climate information even more effectively and implement."
1324,"Rainfed Mixed",SA,"Poor water use efficiency and management","Is mitigated by","Invest in water harvesting and storage infrastructure","The use of rainwater harvesting leads to a reduction in water costs, ease of water acquisition, and poor use efficicncy in the region."
1325,"Rainfed Mixed",SA,"Predominantly small-scale subsistence farming","Is mitigated by","Plant multiple crop types","Crop diversification is one of the ways small-scale farmers can use to develop a resilient agricultural system."
1326,"Rainfed Mixed",SA,"Predominantly small-scale subsistence farming","Is mitigated by","Diversify markets","Strengthening markets is a key strategy to make small farm systems more nutrition-sensitive."
1327,"Rainfed Mixed",SA,"Reliance on rainfed agriculture",,"Adopt drought tolerant varieties






","The agri-system being mostly dependent on rainfall, the system faces relatively high levels of risk and therefore should be mitigated by adopting drought tolerant varieties."
1328,"Rainfed Mixed",SA,"High poverty levels 






",,"Implement climate smart agriculture practices





","Farmers who have adopted CSA reported that the main benefits  were higher yields, greater farm income, and increased food availability. These results indicate that CSA can be a pathway for improving food security, alleviating poverty and building more resilient livelihoods."
1329,"Rainfed Mixed",SA,"Demographic pressure on land",,"Implement reforestation practices","As the human population increases, pressures on habitats are intensifying with unknown consequences hence the need to implement reforestation practices."
1330,"Rainfed Mixed",SA,"Limited uptake of modern technologies",,"Improve access to modern processing technologies","There  is limited uptake of modern technology in the agri-system and hence the need for research efforts that respond to farmers' needs and to a number of strategic priority production problems."
1331,"Rainfed Mixed",SA,"Unsustainable natural resource use",,"Capacity building on sustainable agricultural practices","The goal of sustainable agricultural practices is to provide resources for the use of present populations without compromising the availability of those resources for future generations, and without causing environmental damage that challenges the survival of other species and natural ecosystems."
1332,"Rainfed Mixed",SA,"Inability to interpret climate information",,"Improve networking and knowledge exchange","Networking is an approach to sharing good practices, knowledge , and experiences to mitigate the inability to interpret climate information by farmers."
1333,"Rainfed Mixed",SA,"Poor water use efficiency and management",,"Implement efficient water management","Poor water use efficiency should be mitigated through Efficient use of water so as to  conserve water and reduce pressure over natural sources."
1334,"Rainfed Mixed",SA,"Unsustainable natural resource use","Is mitigated by","Establish payment for ecosystem services schemes","These payment for ecosystem services schemes provide a new source of income for land management, restoration, conservation, and sustainable- use activities."
1335,"Rainfed Mixed",SA,"Weak land tenure","Is mitigated by","Build capacity on advocacy","Capacity building is increasingly seen as a key component of land disputes , because it enhances land reforms leading to investments and sustainable land use intensification."
1336,"Rainfed Mixed",SA,"Weak land tenure","Is mitigated by","Land tenure reform","Weak land tenure should be mitigated through the adjustment of the terms of contracts between land owners and tenants, or  arather the conversion of more informal tenancy into formal property rights through land reforms."
1337,"Rainfed Mixed",SA,"Weak land tenure","Is mitigated by","Policy reform
","Good policies should be put in place to migigate Weak land policies and a lack of strategies."
1338,"Rainfed Mixed",SA,"Low access to credit","Is mitigated by","Improve networking and knowledge exchange","Networking is an essential factor for accessing a bank loan as SMEs seek to access to resources for development."
1339,"Rainfed Mixed",SA,"Low access to credit","Is mitigated by","Build capacity on advocacy","The capacity of financial services regulators and policymakers to come together and build advocacy to develop an enabling environment for innovation and financial inclusion is needed."
1340,"Rainfed Mixed",SA,"Low access to credit","Is mitigated by","Improve access to credit","Improving SMEs' access to finance and finding innovative solutions to unlock sources of capital should be prioritized."
1341,"Rainfed Mixed",SA,"High prevalence of land degradation","Is mitigated by","Capacity building on sustainable agricultural practices","With the existing high prevalence of land degradation, cpacity building on sustainable agriculture is much needed."
1342,"Rainfed Mixed",SA,"High disease prevalence","Is mitigated by","Apply integrated pest and diseases management","Mitigation of pest and desease related losses is done through an integrated pest and disease management."
1343,"Rainfed Mixed",SA,"Unfavourable soil conditions","Is mitigated by","Implement soil and water conservation practices","soil and water conservation practices is necessary to mitigate soll erosion"
1344,"Rainfed Mixed",SA,"High prevalence of land degradation","Is mitigated by","Implement reforestation practices","Amongst the many ways to help restore degraded land is reforestation, including tree regeneration. This includes agroforestry which is  a natural resource management system where trees are grown on the same land used for agriculture."
1345,"Rainfed Mixed",SA,"Unfavourable soil conditions","Is mitigated by","Capacity building on sustainable agricultural practices","Sustainable agricultural practices such as reducing tillage, planting cover crops, improving crop rotations, and adding organic matter should be adopted to mitigate the issue of unfavourable soil conditions."
1346,"Rainfed Mixed",SA,"High disease prevalence","Is mitigated by","Adopt disease tolerant varieties","For instance, disease-susceptible rice varieties, when planted in mixtures with resistant varieties over large tracts of land, had greater adaptability."
1347,"Rainfed Mixed",SA,"High prevalence of land degradation","Is mitigated by","Implement reforestation practices","Overcoming land degradation is possible with dedicated efforts at conservation, restoration, and improved land management practices i.e reforestation."
1348,"Rainfed Mixed",SA,"High disease prevalence","Is mitigated by","Invest in agricultural research and development","Agricultural research and  development has historically driven reductions in both infectious diseases and poverty, through the development of disease tolerant crop and livestock breeds."
1349,"Rainfed Mixed",SA,"High prevalence of land degradation","Is mitigated by","Develop policies for building climate change resilience","Policies that requires planning ahead and putting in place proactive measures that not only reduce climate risk impacts such as land degradation but also accelerate development."
1350,"Rainfed Mixed",SA,"Unfavourable soil conditions","Is mitigated by","Implement disaster recovery strategies","Single strategies that mitigate a component of soil nutrient and sediment loss can often be easily implemented."
1351,"Rainfed Mixed",SA,"Unfavourable soil conditions","Is mitigated by","Undertake soil rehabilitation","Implementing sustainable production practices to rehabilitate soils is a grand challenge of our day, particularly for resource-poor farmers and hence should be made a priority."
