"Citation","Year","Number","Title","Resource type","URL"
"Mahmoud","2021","1","Extreme Heat: The Urgent Climate Impact","Article","https://www.mei.edu/publications/extreme-heat-urgent-climate-impact"
"Mainuddin et al.","2022","1","Long-term spatio-temporal variability and trends in rainfall and temperature extremes and their potential risk to rice production in Bangladesh.","Journal article","https://journals.plos.org/climate/article?id=10.1371/journal.pclm.0000009"
"Manning","2022","1","From mainstream to niche: How value regimes shift in emerging economy upgrading","Journal article","https://www.sciencedirect.com/science/article/pii/S0048733322000609"
"Mar et al.","2018","1","Impact of Erratic Rainfall from Climate Change on
Pulse Production Efficiency in Lower Myanmar","Journal article","https://www.mdpi.com/2071-1050/10/2/402"
"Marczak et al.","2021","1","Latin America and the Caribbean 2030: Future Scenarios","IADB Report","https://publications.iadb.org/publications/english/document/Latin-America-and-the-Caribbean-2030-Future-Scenarios.pdf"
"Marengo et al.","2018","1","Changes in climate and land use over the Amazon Region: Current trends and future variability and trends.","Journal article","https://www.frontiersin.org/articles/10.3389/feart.2018.00228/full"
"Maritz et al.","2019","1","CLIMATE CHANGE ADAPTATION IN THE AFRICAN ROADS SECTOR:CONSTRAINTS, OPPORTUNITIES AND POLICY CHALLENGES.","Journal","https://www.research4cap.org/ral/Maritzetal-CSIR-2019-ClimateChangeAdaptationAfricanRoadsSector-PIARC297-190315.pdf"
"Marquardt et al.","2019","1","Forest Dynamics in the Peruvian Amazon: Understanding Processes of Change.","Journal article","https://link.springer.com/article/10.1007/s11842-018-9408-3"
"Mataya et al.","2020","1","How can we effectively build capacity to adapt to climate change? Insights from Malawi","Journal","https://doi.org/10.1080/17565529.2019.1694480"
"Matchawe et al .","2022","1","Water Shortages: Cause of Water Safety in Sub-Saharan Africa","Book","https://www.intechopen.com/chapters/81810"
"Maybe","2011","1","JOINT EVALUATION OF CONFLICT PREVENTION AND PEACE BUILDING IN THE DEMOCRATIC REPUBLIC OF CONGO","Report","https://www.oecd.org/countries/congo/48859543.pdf"
"Mbow","2020","1","Use It Sustainably or Lose It! The Land Stakes in SDGs for Sub-Saharan Africa","Journal article","https://www.mdpi.com/2073-445X/9/3/63/pdf"
"Mejia","2014","1","Water Scarcity in Latin America and the Caribbean: Myths and Reality","Journal","https://ucanr.edu/sites/rosenbergforum/files/313058.pdf"
"Mekuria and Mekonnen","2018","1","Determinants of crop-livestock diversification in the mixed farming systems: Evidence from central highlands of Ethiopia","Journal article","https://agricultureandfoodsecurity.biomedcentral.com/articles/10.1186/s40066-018-0212-2"
"Melissa et al.","2017","1","Climate Change and Livestock: Impacts, Adaptation, and Mitigation",,"https://doi.org/10.1016/j.crm.2017.02.001"
"Mendoza-Espinosa and Daesslé","2018","1","Consolidating the use of reclaimed water for irrigation and infiltration in a semi-arid agricultural valley in Mexico: water management experiences and results","Journal article","https://iwaponline.com/washdev/article/8/4/679/63652/Consolidating-the-use-of-reclaimed-water-for
"
"Mertz et al.","2008","1","Farmers’ Perceptions of Climate Change and Agricultural Adaptation Strategies in Rural Sahel","Journal article","https://link.springer.com/article/10.1007/s00267-008-9197-0"
"Messina et al.","2014","1","Population Growth, Climate Change and Pressure on the Land – Eastern and Southern Africa","Global Center for Food Systems Innovation (GCFSI) report.","http://www.gcfsi.isp.msu.edu/"
"Meza et al.","2012","1","Impacts of Climate Change on Irrigated Agriculture in the Maipo Basin, Chile: Reliability of Water Rights and Changes in the Demand for Irrigation","Journal article","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://cpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/8/4308/files/2015/04/Impacts-of-Climate-Change-on-Irrigated-Agriculture-in-the-Maipo-Basin-Chile-Reliability-of-Water-Rights-and-Changes-in-the-Demand-for-Irrigation-2ed7exz.pdf"
"Michael","2020","1","Climate change adaptation among pastoralists communities in sub Saharan Africa","Report","https://www.academia.edu/27968851/Climate_change_adaptation_among_pastoralists_communities_in_sub_Saharan_Africa"
"Michalak et al.","2021","1","Impact of sea level rise on the land cover structure in Southeast Asia","Journal article","https://www.researchgate.net/publication/352144356_Impact_of_sea_level_rise_on_the_land_cover_structure_in_Southeast_Asia"
"Ministry of Agriculture, Livestock and Food Supply","2021","1","Adapting to climate change: Strategies for Brazilian agricultural and livestock systems.","Report","https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/plano-abc/arquivo-publicacoes-plano-abc/adapting-to-climate-change-strategies-for-brazilian-agricultural-and-livestock-systems.pdf"
"Ministry of Foreign Affairs","2018","1","Climate change profile: Bangladesh.","Report","https://www.government.nl/binaries/government/documenten/publications/2019/02/05/climate-change-profiles/Bangladesh.pdf"
"Minora et al.","2015","1","2008–2011 snow cover area (SCA) variability over 18 watersheds of the central Chile through MODIS data","Report","https://www.researchgate.net/profile/Guglielmina-Diolaiuti-2/publication/290445236_2008-2011_snow_cover_area_SCA_variability_over_18_watersheds_of_the_central_Chile_through_MODIS_data/links/5699039f08aea14769431b52/2008-2011-snow-cover-area-SCA-variability-over-18-watersheds-of-the-central-Chile-through-MODIS-data.pdf?origin=publication_detail"
"Minsoo L. et al.","2016","1","Effects Of Temperature Shocks on Economic Growth And Welfare in Asia.","Journal","https://www.adb.org/sites/default/files/publication/217061/ewp-501.pdf"
"Mishra et al.","2021","1","An impact of agronomic practices of sustainable rice-wheat crop intensification on food security, economic adaptability, and environmental mitigation across eastern Indo-Gangetic Plains","Journal article","https://www.sciencedirect.com/science/article/pii/S0378429021001106"
"Mishra et al.","2022","1","Helping feed the world with rice innovations: CGIAR research adoption and socioeconomic impact on farmers","Journal article","https://doi.org/10.1016%2Fj.gfs.2022.100628"
"MoALFC and World Bank","2021","1","Kenya County Climate Risk Profile: Nandi County","Report","https://hdl.handle.net/10568/115070"
"Mohamed and Squires","2018","1","Chapter 11- Drylands of the Mediterranean Basin: Challenges, Problems and Prospects. In: Climate variability impacts on land use and livelihoods in drylands.","Book","https://books.google.co.za/books?id=3XIzDwAAQBAJ&pg=PA237&lpg=PA237&dq=drylands+sheep+mena&source=bl&ots=A-ClpEBlNr&sig=ACfU3U3PwPXI6wYB-i_h2dqzDNIQA_VByQ&hl=en&sa=X&ved=2ahUKEwjDub-u-vf3AhXMYMAKHTlOB3oQ6AF6BAgcEAM#v=onepage&q=drylands%20sheep%20mena&f=false"
"Mohamed et al.","2019","1","Chapter 15: Middle East and North Africa Livestock Systems. In Squires, R.V. and Bryden, W.L. Eds. Livestock production, management strategies and challenges.","Book","https://www.academia.edu/38648393/Middle_East_and_North_Africa_Livestock_systems?show_translation=true"
"Mohanty and Wadhawan","2021","1","Mapping India’s Climate Vulnerability: A District-Level Assessment.","Report","https://www.ceew.in/sites/default/files/ceew-study-on-climate-change-vulnerability-index-and-district-level-risk-assessment.pdf"
"Mohanty et al.","2013","1","Rice and climate change: significance for food security and vulnerability","Report","http://books.irri.org/DPS49_content.pdf"
"Mojid and Mainuddin","2021","1","Water-Saving Agricultural Technologies: Regional Hydrology Outcomes and Knowledge Gaps in the Eastern Gangetic Plains—A Review","Journal article","https://www.mdpi.com/2073-4441/13/5/636"
"Monnereau and Oxenford","2017","1","Impacts of Climate Change on Fisheries in the Coastal and Marine Environments of Caribbean Small Island Developing States (SIDS)","Journal","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/605077/10._Fisheries_combined.pdf"
"Morgon et al.","2015","1","Barriers, incentives and benefits in the
adoption of climate-smart agriculture
Lessons from the MICCA pilot project in Kenya","Report","https://www.fao.org/3/i4396e/i4396e.pdf"
"Morris et al.","2002","1","Hurricane Mitch and the Livelihood of the Rural Poor in Honduras","Article","https://www.researchgate.net/publication/233572097_Hurricane_Mitch_and_the_Livelihood_of_the_Rural_Poor_in_Honduras"
"Morris et al.","2020","1","Future Foodscapes: Re-imagining Agriculture in Latin America and the Caribbean.","Report","https://openknowledge.worldbank.org/bitstream/handle/10986/34812/Future-Foodscapes-Re-imagining-Agriculture-in-Latin-America-and-the-Caribbean.pdf?sequence=1&isAllowed=y"
"Mortimore","2009","1","Adapting to drought in the Sahel: Lessons for climate change","Journal article","https://doi.org/10.1002/wcc.25"
"Morton et al.","2007","1","The impact of climate change on smallholder and subsistence agriculture","Report","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2148357/"
"Mougou et al.","2010","1","Climate change and agricultural vulnerability: a case study of rain-fed wheat in Kairouan, Central Tunisia. Regional Environmental Change.","Report","doi:10.1007/s10113-010-0179-4"
"Msowoya et al.","2016","1","Climate Change Impacts on Maize Production in the Warm Heart of Africa","Journal article","https://doi.org/10.1007/s11269-016-1487-3"
"Mubarik et al.","2005","1","Pulses: A Neglected Food Frontier in Asia","Conference Paper","https://www.researchgate.net/publication/267041042_Pulses_A_Neglected_Food_Frontier_in_Asia"
"Mugizi et al.","2020","1","Population pressure and soil quality in Sub-Saharan Africa: Panel evidence from Kenya","Journal article","https://ideas.repec.org/a/eee/lauspo/v94y2020ics0264837718317861.html"
"Mulat et al.","2016","1","AGRICULTURE AND FOOD INSECURITY RISK
MANAGEMENT IN AFRICA","Report","https://www.fao.org/3/i5936e/i5936e.pdf"
"Mulubrhan et al.","2021","1","Forage conservation in sub-Saharan Africa: Review of experiences, challenges, and opportunities","Journal article","https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/agj2.20954"
"Mulungu and Ng'ombe","2019","1","Climate change impacts on sustainable maize production in Sub-Saharan Africa: a review","Book Chapter","https://books.google.com/books?hl=en&lr=&id=cEv9DwAAQBAJ&oi=fnd&pg=PA47&dq=climate+change+impacts+on+maize+in+africa&ots=asxFZLdr7e&sig=dd9qSs-VwAt3s1XgbAVgt1tX7B8"
"Mulungu et al.","2019","1","Climate Change Impacts on Sustainable Maize Production in Sub-Saharan Africa: A Review",,"https://www.intechopen.com/chapters/70098"
"Muoki et al.","2020","1","Combating Climate Change in the Kenyan Tea Industry","Journal article","https://doi.org/10.3389/fpls.2020.00339"
"Musumba et al.","2022","1","Household livelihood diversification in rural Africa","Journal article","https://onlinelibrary.wiley.com/doi/full/10.1111/agec.12694"
"Mwongera and Gichuru","2021","1","Synthesis on application of multi-stakeholder platforms for land restoration and sustainable land management in Tanzania","Synthesis document","https://cgspace.cgiar.org/handle/10568/116962"
"Mächtle","2016","1","Umwelt und Mensch im Naturraum (Environment and people in nature). In: Peru heute: Politik, Wirtschaft, Kultur","Book","https://core.ac.uk/download/pdf/304707415.pdf"
"Namdar","2021","1",,"Article","https://mdpi-res.com/d_attachment/ijgi/ijgi-10-00794/article_deploy/ijgi-10-00794.pdf?version=1637546470"
"Nardone et al.","2010","1","Effects of climate change on animal production and sustainability of Livestock Systems.","Article","https://doi.org/10.1016/j.livsci.2010.02.011"
"Narin","2022","1","Rising Salinity Threatens Rice Crops on Southeast Asia’s Sinking Coast","Report","https://www.voanews.com/a/rising-salinity-threatens-rice-crops-on-southeast-asia-s-sinking-coast-/6729518.html"
"Ndlela et al.","2022","1","Important alien and potential native invasive insect pests of key fruit trees in Sub-Saharan Africa: advances in sustainable pre- and post-harvest management approaches","Journal article","https://cabiagbio.biomedcentral.com/articles/10.1186/s43170-022-00074-x"
"NES Agriculture Working Group","2022","1","The influence of Climate Change on Wheat Production: A review study on Northeast Syria","Report","https://immap.org/wp-content/uploads/2016/12/Review-Study_Climate-Change-and-its-influence-on-Wheat-Production-in-NES.pdf"
"Newell et al.","2019","1","Climate Smart Agriculture? Governing the Sustainable Development Goals in Sub-Saharan Africa.","Research article","https://doi.org/10.3389/fsufs.2019.00055"
"Ngigi and Denning","2011","1","Water resources management for smallholder farming systems adaptation to climate change in sub-Saharan Africa","Journal","https://www.researchgate.net/publication/293148679_Water_resources_management_for_smallholder_farming_systems_adaptation_to_climate_change_in_sub-Saharan_Africa"
"Ngigi et al.","2021","1","Livestock diversification for improved resilience and welfare outcomes under climate risks in Kenya.","Journal","https://link.springer.com/article/10.1057/s41287-020-00308-6"
"Nguyen et al.","2017","1","Climate Smart Agriculture in Vietnam","CGIAR Report","https://ccafs.cgiar.org/resources/publications/climate-smart-agriculture-vietnam"
"NIC","2009","1","Southeast Asia and Pacific Islands: The Impact of Climate Change to 2030","Report","https://www.dni.gov/files/documents/climate2030_southeast_asia_pacific_islands.pdf"
"Nidumolu etal.","2022","1","Climate change shifts agropastoral-pastoral margins in Africa putting food security and livelihoods at risk","Journal article","https://iopscience.iop.org/article/10.1088/1748-9326/ac87c1"
"Nithin Coca","2020","1","Flooded Asia: Climate change hits region the hardest","Article","https://asia.nikkei.com/Spotlight/Asia-Insight/Flooded-Asia-Climate-change-hits-region-the-hardest"
"Njeru et al.","2022","1","Maize production systems, farmers’ perception and current status of maize lethal necrosis in selected counties in Kenya","Journal article","https://www.tandfonline.com/doi/full/10.1080/26895293.2022.2085815"
"Njobe","2015","1","Women and Agriculture The Untapped Opportunity in the Wave of Transformation","Paper","https://www.afdb.org/fileadmin/uploads/afdb/Documents/Events/DakAgri2015/Women_and_Agriculture_The_Untapped_Opportunity_in_the_Wave_of_Transformation.pdf"
"Nkonya et al.","2016","1","Economics of Land Degradation in Sub-Saharan Africa","Journal article","https://link.springer.com/chapter/10.1007/978-3-319-19168-3_9"
"Nkonya et al.","2016","2","Economics of Land Degradation and Improvement in Kenya","Journal article","https://link.springer.com/chapter/10.1007/978-3-319-19168-3_16"
"Nkonya et al.","2021","3","Economics of Land Degradation in Sub-Saharan Africa","Journal article","https://link.springer.com/chapter/10.1007/978-3-319-19168-3_9"
"Nkonya.","2016","1","Economics of Land Degradation and Improvement – A Global Assessment for Sustainable Development pp 215–259","Journal","https://link.springer.com/chapter/10.1007/978-3-319-19168-3_9"
"No et al.","2009","1","Sub-Saharan Africa: Effects of Infrastructure Conditions on Export Competitiveness, Third Annual Report","Book Chapter","https://www.usitc.gov/publications/332/pub4071.pdf"
"Nobre et al.","2021","1","Amazonian Forest: The Products of Agroecological Systems Considerations about the Natural Forest and Economic Exploitation for its Conservation and How to Develop Sustainable Agroforestry Systems that Induce the Reduction of Deforestation.","Report","https://publications.iadb.org/publications/english/document/Amazonian-Forest-The-Products-of-Agroecological-Systems-Considerations-about-the-Natural-Forest-and-Economic-Exploitation-for-its-Conservation-and-How-to-Develop-Sustainable-Agroforestry-Systems-that-Induce-the-Reduction-of-Deforestation.pdf"
"Noriko et al.","2020","1","Increased risk of malaria transmission with warming temperature in the Ethiopian Highlands","Journal article","https://iopscience.iop.org/article/10.1088/1748-9326/ab7520/pdf"
"Nyirenda et al.","2021","1","Delving into possible missing links for attainment of food security in Central Malawi: farmers’ perceptions and long term dynamics in maize (Zea mays L.) production","Journal article","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8167231/"
"OBWOCHA et al.","2015","1","ASSESSMENT OF IMPACTS OF CLIMATE CHANGE AND VARIABILITY ON FOOD SECURITY IN WEST POKOT COUNTY, KENYA","Journal article","https://ir-library.ku.ac.ke/bitstream/handle/123456789/14291/Assessment%20of%20impact%20of%20climate.....pdf?sequence=1&isAllowed=y"
"Ochoa-Noriega","2020","1","The Use of Water in Agriculture in Mexico and Its
Sustainable Management: A Bibliometric Review","Journal article","https://www.mdpi.com/2073-4395/10/12/1957"
"Odhiambo","2016","1","Initiative to raise awareness on climate change impacts","Article","https://www.scidev.net/sub-saharan-africa/news/initiative-awareness-on-climate-change-impacts/"
"Odhong' et al.","2019","1","Financing Large-Scale Mitigation by Smallholder Farmers: What Roles for Public Climate Finance?","Journal","https://doi.org/10.3389/fsufs.2019.00003"
"OECD","2008","1","Livestock and regional market in the Sahel and West Africa—potentials and challenges.","Report","https://www.oecd.org/swac/publications/41848366.pdf"
"OECD/FAO","2018","1","The Middle East and North Africa: Prospects and Challenges.","Report","https://www.oecd-ilibrary.org/agriculture-and-food/oecd-fao-agricultural-outlook-2018-2027/the-middle-east-and-north-africa-prospects-and-challenges_agr_outlook-2018-5-en"
"OECD/FAO","2018","2","OECD- FAO Agricultural Outlook",,"https://www.oecd-ilibrary.org/agriculture-and-food/oecd-fao-agricultural-outlook-2018-2027_agr_outlook-2018-en"
"Ofori et al.","2021","1","Climate Change, Land, Water, and Food Security: Perspectives From Sub-Saharan Africa","Article","https://www.frontiersin.org/articles/10.3389/fsufs.2021.680924/full"
"Ofori et al.","2021","2","Climate Change, Land, Water, and Food Security: Perspectives From Sub-Saharan Africa","Journal article","https://www.frontiersin.org/articles/10.3389/fsufs.2021.680924/full"
"\","2022","1","Maize Lethal Necrosis: Impact and Disease Management","Report","https://doi.org/10.1564/v33_apr_02"
"Okori and Munthali","2022","1","Improving efficiency of knowledge and technology diffusion using community seed banks and farmer-to-farmer extension: experiences from Malawi","Journal article",
"Oliver","2020","1","How innovative water management helps Latin America and the Caribbean adapt to climate change.","Global Center on Adaptation Report","https://gca.org/how-innovative-water-management-helps-latin-america-and-the-caribbean-adapt-to-climate-change/"
"Olsson et al.","2019","1","Land Degradation. In: Climate Change and Land: an IPCC special report on climate change, desertification, land degradation, sustainable land management, food security, and greenhouse gas fluxes in terrestrial ecosystems","Report","https://www.ipcc.ch/site/assets/uploads/sites/4/2019/11/07_Chapter-4.pdf"
"Om Prakash","2013","1","Urban Poverty in Asia","ADB Report","https://www.adb.org"
"Onyango","2019","1","Regional Overview on the Double Burden of Malnutrition and Examples of Program and Policy Responses: African Region","Article","https://doi.org/10.1159/000503671"
"Osei-Adu et al.","2016","1","Input Supply Structure for Yam Production in Ghana","Journal article","https://www.researchgate.net/publication/295920584_Input_Supply_Structure_for_Yam_Production_in_Ghana"
"Otsuka and Place","2014","1","Changes in land tenure and agricultural intensification in sub-Saharan Africa","Book Chapter","https://www.researchgate.net/publication/336695963_Changes_in_land_tenure_and_agricultural_intensification_in_sub-Saharan_Africa"
"Otte et al.","2019","1","A comparative Overview of the Livestock-Environment Interactions in Asia and Sub-Saharan Africa.","Journal","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6395385/"
"Owings","2020","1","Crop disease pandemic coming ‘sooner rather than later’","Report","https://www.scidev.net/sub-saharan-africa/features/crop-disease-pandemic-coming-sooner-rather-than-later-2/"
"Owusu et al.","2020","1","Climate change impacts on staple root and tuber crops production: implications for smallholder farmers' livelihoods in rural Ghana","Journal article","https://www.inderscienceonline.com/doi/abs/10.1504/IJSSOC.2020.109771"
"OXFAM","2016","1","New Zealand's $50,000 humanitarian aid to Ben Tre. Retrieved March 4th , 2022,
from Vietnam Investment Review:","News article","https://vietnam.oxfam.org/latest/press-release/new-zealand-embassy-announces-50000-usd-humanitarian-aid-ben-tre"
"Oxfam","2019","1","Unfair harvest: The state of rice in Asia","Report","https://oxfamilibrary.openrepository.com/bitstream/handle/10546/620646/bp-unfair-harvest-rice-asia-200319-en.pdf"
"Oxfam","2019","2","Unfair harvest: the state of rice in Asia.","Report","https://oxfamilibrary.openrepository.com/bitstream/handle/10546/620646/bp-unfair-harvest-rice-asia-200319-en.pdf"
"Ozor et al.","2020","1","Learning what works: knowledge exchange and networking among the science system
actors in sub-Saharan Africa.","Journal","https://idl-bnc-idrc.dspacedirect.org/bitstream/handle/10625/59538/59686.pdf"
"Pacillo et al.","2022","1","Is climate a “risk multiplier” in the Central American dry corridor? A CGIAR/World Food Programme (WFP) study","Fact Sheet","https://reliefweb.int/sites/reliefweb.int/files/resources/WFP-0000137636.pdf"
"Paini et al.","2016","1","Global threat to agriculture from invasive species","Journal article","https://doi.org/10.1073/pnas.1602205113"
"Pan et al.","2021","1","Mechanisms of Waterlogging Tolerance in Plants: Research Progress and Prospects","Journal article","https://www.frontiersin.org/articles/10.3389/fpls.2020.627331/full"
"Papademetriou","2021","1","RICE PRODUCTION IN THE ASIA-PACIFIC REGION: ISSUES AND PERSPECTIVES","Journal article","https://www.fao.org/3/x6905e/x6905e04.htm"
"Pasricha","2021","1","In South Asia, Rising Ocean Pushes Out Those Living at the Shore","Report","https://www.voanews.com/a/south-central-asia_south-asia-rising-ocean-pushes-out-those-living-shore/6219259.html"
"Pena-Ramos et al.","2022","1","Water Conflicts in Sub-Saharan Africa","Journal","https://doi.org/10.3389/fenvs.2022.863903"
"Perez","2020","1","Rural roads: key routes for production, connectivity and territorial development","Report","https://repositorio.cepal.org/bitstream/handle/11362/45865/1/S2000417_en.pdf"
"Perez et al.","2010","1","Climate Change in the High Andes: Implications and Adaptation Strategies for Small-scale Farmers","Journal","https://www.researchgate.net/profile/Stephen-Sherwood/publication/307762405_Climate_Change_in_the_High_Andes_Implications_and_Adaptation_Strategies_for_Small-scale_Farmers/links/57d030d508ae6399a389d3dd/Climate-Change-in-the-High-Andes-Implications-and-Adaptation-Strategies-for-Small-scale-Farmers.pdf?origin=publication_detail"
"Perrings and Halkos","2015","1","Agriculture and the threat to biodiversity in sub-saharan africa","Journal article","https://iopscience.iop.org/article/10.1088/1748-9326/10/9/095015"
"Perrotti","2011","1","The Economic Infrastructural Gap in Latin America and Caribbean",,"https://repositorio.cepal.org/bitstream/handle/11362/36339/FAL-293-WEB-ENG-2_en.pdf"
"Peter et al.","2017","1","Landslide Risk Assessment for the Built Environment in Sub-Saharan Africa.","Book","https://www.researchgate.net/publication/317806384_Landslide_Risk_Assessment_for_the_Built_Environment_in_Sub-Saharan_Africa"
"Petit and Boujenane","2018","1","Importance of determining the climatic domains of sheep breeds.","Journal article","https://www.sciencedirect.com/science/article/pii/S1751731117002944"
"Petley","2010","1","On the impact of climate change and population growth on the occurrence of fatal landslides in South, East and SE Asia","Journal","https://www.researchgate.net/publication/277417820_On_the_impact_of_climate_change_and_population_growth_on_the_occurrence_of_fatal_landslides_in_South_East_and_SE_Asia"
"Peña-Guerrero et al.","2020","1","Drought impacts on water quality and potential
implications for agricultural production in the
Maipo River Basin, Central Chile","Journal article","https://doi.org/10.1080/02626667.2020.1711911"
"Pham et al.","2020","1","Vulnerability assessment of households to flash floods and landslides in the poor upland regions of Vietnam","Journal article","https://doi.org/10.1016/j.crm.2020.100215"
"Phophi et al.","2020","1","Perceptions of Climate Change and Drivers of Insect Pest Outbreaks in Vegetable Crops in Limpopo Province of South Africa","Journal article","https://www.mdpi.com/2225-1154/8/2/27/htm"
"Piechota et al.","2020","1","Evaluating barley landraces collected in North Africa and the Middle East for powdery mildew infection at seedling and adult plant stages.","Journal article","https://doi.org/10.1007/s4297 6-020-00021-4"
"Pipitpukdee et al.","2020","1","Climate Change Impacts on Sugarcane Production
in Thailand","Journal article","https://www.mdpi.com/2073-4433/11/4/408"
"Pivello et al.","2021","1","Understanding Brazil’s catastrophic fires: Causes, consequences and policy needed to prevent future tragedies.","Journal article","https://www.sciencedirect.com/science/article/pii/S2530064421000560?via%3Dihub"
"Pokharel et al.","2018","1","Is conservation agriculture a potential option for
cereal-based sustainable farming system in the
Eastern Indo-Gangetic Plains of Nepal?","Journal article","https://www.tandfonline.com/doi/full/10.1080/23311932.2018.1557582"
"Polade et al.","2014","1","The key role of dry days in changing regional climate and precipitation regimes",,"https://rdcu.be/cMrDf"
"Pons","2021","1","Climate Extremes, Food Insecurity, and Migration in Central America: A Complicated Nexus","Journal article","https://reliefweb.int/report/guatemala/climate-extremes-food-insecurity-and-migration-central-america-complicated-nexus"
"Pontifes et al.","2018","1","Land use/land cover change and extreme climatic 
events in the arid and semi-arid ecoregions of Mexico","Journal article","file:///C:/Users/Gavin/Dropbox/Gav/CRISP/Research/Latin%20America%20Irrigated/Resources/Cattle%20Articles/Pontifes%202018.html
"
"Poole et al.","2007","1","Rural poverty in Mexico: assets and livelihood strategies among the Mayas of Yucata´n.","International Journal of Agricultural Sustainability","www.earthscanjournals.com"
"Poole et al.","2007","2","Rural poverty in Mexico: assets and livelihood strategies among the Mayas of Yucata ́n",,"https://www.researchgate.net/publication/233176668_Rural_poverty_in_Mexico_Assets_and_livelihood_strategies_among_the_Mayas_of_Yucatan"
"Poonam et al.","2018","1","Integrated Rice-based Farming Systems for
 Enhancing Climate Resilience and Profitability in Eastern India","Research paper","https://www.researchgate.net/publication/328199799_Integrated_Rice-based_Farming_Systems_for_Enhancing_Climate_Resilience_and_Profitability_in_Eastern_India"
"Portugal","2020","1","Collective action and water management in
the Moche and Virú valleys of the peruvian coast","Journal article","http://www.scielo.org.mx/scielo.php?pid=S0301-70362020000100077&script=sci_arttext&tlng=en
"
"Poveda et al.","2020","1","High Impact Weather Events In the Andes","Report","https://www.frontiersin.org/articles/10.3389/feart.2020.00162/full"
"Prabhakar et al.","2014","1","Scaling Up Risk Insurance In The Asia-Pacific Region: Issues And Way Forward","Journal","https://www.researchgate.net/publication/267473396_Scaling_Up_Risk_Insurance_In_The_Asia-Pacific_Region_Issues_And_Way_Forward"
"Prager et al.","2020","1","Vulnerability to climate change and economic impacts in the agriculture sector in Latin America and the Caribbean","Journal article","https://publications.iadb.org/publications/english/document/Vulnerability-to-Climate-Change-and-Economic-Impacts-in-the-Agriculture-Sector-in-Latin-America-and-the-Caribbean.pdf"
"Prasad et al.","2010","1","Observations on livestock productivity in sheep fed exclusively on haulms from ten different genotypes of groundnut","Journal article","http://oar.icrisat.org/1113/"
"Priyankari","2016","1","Land Degradation in South Asia","Report","http://www.sacep.org/pdf/News-Letter/Top-Stories/2016/March/2016-03-30/Land-Degradation-in-South-Asia.pdf"
"Rahman et al.","2019","1","Hydrological impacts of climate change on rice cultivated riparian wetlands in the Upper Meghna River Basin (Bangladesh and India).","Journal article","https://www.tandfonline.com/doi/abs/10.1080/02626667.2019.1676427"
"Rajalahti","2021","1","Agricultural Innovation in Developing East Asia Productivity, Safety, and Sustainability","World Bank Report","https://openknowledge.worldbank.org/bitstream/handle/10986/36690/9781464816819.pdf?sequence=1"
"Ramachandran","2022","1","UN Report Concerned About Hunger and Food Insecurity in Latin America and the Caribbean.","UN Report","https://www.indepthnews.net/index.php/sustainability/covid-19/4994-un-report-concerned-about-hunger-and-food-insecurity-in-latin-america-and-the-caribbean"
"Ramirez-Cabral et al.","2017","1","Global alterations in areas of suitability for maize production from climate change and using a mechanistic species distribution model (CLIMEX)","Journal article","https://www.nature.com/articles/s41598-017-05804-0"
"Rampa et al.","2020","1","Land Reform in the Era of Global Warming—Can
Land Reforms Help Agriculture Be Climate-Smart?","Journal article","https://www.mdpi.com/2073-445X/9/12/471"
"Rasu et al.","2021","1","Socio-Economic Implications of COVID-19 Pandemic in South Asia: Emerging Risks and Growing Challenges","Journal","https://doi.org/10.3389/fsoc.2021.629693"
"Rasu et al.","2022","2","Current and Future Challenges and Opportunities for Livestock Farming in West Africa: Perspectives from the Case of Senegal","Journal article","https://www.mdpi.com/2073-4395/12/8/1818/pdf?version=1659256266"
"Rattan","2009","1","Soil degradation and environment quality in South Asia","Journal","https://www.researchgate.net/publication/228420002_Soil_degradation_and_environment_quality_in_South_Asia"
"Raufu et al.","2018","1","Technological Gap Analyses of MENA and Southern African Countries’ Agricultural Productivity","Journal article","https://www.researchgate.net/publication/329530615_Technological_Gap_Analyses_of_Mena_and_Southern_African_Countries'_Agricultural_Productivity"
"Ravikumar et al.","2016","1","Is small-scale agriculture really the main driver of deforestation in the Peruvian Amazon? Moving beyond the prevailing narrative.","Journal article","https://www.cifor.org/knowledge/publication/6123/"
"Raza et al.","2021","1","Natural Resource Governance in Asia","Book","https://www.sciencedirect.com/book/9780323857291/natural-resource-governance-in-asia"
"RBP PPM and Climate Change Unit","2021","1","Building Climate Resilience in Latin America and the Caribbean : The World Food Programme's Experience","WFP publication","https://www.wfp.org/publications/building-climate-resilience-latin-america-and-caribbean-world-food-programmes"
"Reda et al.","2015","1","Rain Fed Rice Agriculture under Climate Variability in Southeast Asia: The Case of Thailand","Journal article","https://www.researchgate.net/publication/283577965_Rain_Fed_Rice_Agriculture_under_Climate_Variability_in_Southeast_Asia_The_Case_of_Thailand"
