"D","R"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID, commodities.Name","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Max temperature (°C)"
"commodities.Min elevation (masl), commodities.Min precipitation (mm), commodities.NCBITaxonID, commodities.Name","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Max temperature (°C)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Max elevation (masl), commodities.NCBITaxonID","commodities.Min precipitation (mm)"
"commodities.FS macro region, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.NCBITaxonID","commodities.Min elevation (masl)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Average temperature  (°C)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C)","commodities.NCBITaxonID"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.Min temperature  (°C)","commodities.Average temperature  (°C)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Max temperature (°C)","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max precipitation (mm), commodities.Min temperature  (°C)","commodities.Average precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Average temperature  (°C)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Average precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Name"
"commodities.Average temperature  (°C), commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Max elevation (masl), commodities.Max precipitation (mm), commodities.Min precipitation (mm)","commodities.Max temperature (°C)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.FS macro region, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Max precipitation (mm)"
"commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min precipitation (mm), commodities.Name","commodities.Average temperature  (°C)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.NCBITaxonID","commodities.Min elevation (masl)"
"commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Min precipitation (mm)","commodities.Max THI"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl)","commodities.Livelihood source"
"commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Max precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl)","commodities.FS macro region"
"commodities.FS name, commodities.Min precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Min elevation (masl)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Min elevation (masl), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Max temperature (°C)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Max precipitation (mm)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max precipitation (mm)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Min precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.Min precipitation (mm)"
"commodities.FS macro region, commodities.FS name, commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Max temperature (°C), commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Max precipitation (mm)"
"commodities.Average temperature  (°C), commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max elevation (masl), commodities.NCBITaxonID","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Max precipitation (mm)"
"commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.FS macro region"
"commodities.FS name, commodities.Max temperature (°C), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max precipitation (mm), commodities.NCBITaxonID","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Max temperature (°C)"
"commodities.FS macro region, commodities.Livelihood source, commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max elevation (masl), commodities.NCBITaxonID","commodities.Max temperature (°C)"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.NCBITaxonID","commodities.Average precipitation (mm)"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Name","commodities.Average precipitation (mm)"
"commodities.Average temperature  (°C), commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.Max temperature (°C)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.FS name, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Max precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C)","commodities.Livelihood source"
"commodities.FS name, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.NCBITaxonID","commodities.Max precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Average precipitation (mm)"
"commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Max temperature (°C)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Max temperature (°C)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max elevation (masl), commodities.NCBITaxonID","commodities.Name"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.NCBITaxonID, commodities.Name","commodities.Average precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Max temperature (°C), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.FS macro region, commodities.FS name, commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Livelihood source"
"commodities.FS macro region, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Name"
"commodities.FS macro region, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Max precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Name"
"commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min precipitation (mm), commodities.Name","commodities.Average precipitation (mm)"
"commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Max elevation (masl)","commodities.Min elevation (masl)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Max temperature (°C)","commodities.Name"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Name","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.Min precipitation (mm), commodities.NCBITaxonID, commodities.Name","commodities.Average temperature  (°C)"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.FS macro region, commodities.Max precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Average temperature  (°C)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Min temperature  (°C)","commodities.Max temperature (°C)"
"commodities.FS macro region, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Max precipitation (mm)"
"commodities.Average temperature  (°C), commodities.Max elevation (masl), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Name"
"commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID, commodities.Name","commodities.Average precipitation (mm)"
"commodities.FS macro region, commodities.FS name, commodities.Max precipitation (mm), commodities.Max temperature (°C)","commodities.Min elevation (masl)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min precipitation (mm), commodities.Name","commodities.Min temperature  (°C)"
"commodities.FS macro region, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.NCBITaxonID","commodities.Max precipitation (mm)"
"commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Max temperature (°C)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max temperature (°C)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Max temperature (°C), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Min precipitation (mm), commodities.Name","commodities.Max temperature (°C)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Min precipitation (mm)"
"commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID, commodities.Name","commodities.Average temperature  (°C)"
"commodities.Average precipitation (mm), commodities.Max temperature (°C), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Min precipitation (mm)"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Max THI"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max precipitation (mm)","commodities.Max THI"
"commodities.Average precipitation (mm), commodities.Max temperature (°C), commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Average temperature  (°C)"
"commodities.FS macro region, commodities.Livelihood source, commodities.Min elevation (masl), commodities.Name","commodities.Average precipitation (mm)"
"commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID, commodities.Name","commodities.Max temperature (°C)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C)","commodities.Livelihood source"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Min precipitation (mm)","commodities.Average temperature  (°C)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Livelihood source, commodities.Min elevation (masl)","commodities.FS macro region"
"commodities.Average temperature  (°C), commodities.Max temperature (°C), commodities.NCBITaxonID, commodities.Name","commodities.Min precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Average precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Min temperature  (°C)"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.Min temperature  (°C)","commodities.Average precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.FS macro region, commodities.Max elevation (masl)","commodities.Min elevation (masl)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Average temperature  (°C)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Max temperature (°C), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Max temperature (°C)"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.NCBITaxonID","commodities.Name"
"commodities.FS macro region, commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Min elevation (masl)","commodities.FS macro region"
"commodities.Max precipitation (mm), commodities.Max temperature (°C), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Max elevation (masl)","commodities.Average precipitation (mm)"
"commodities.FS macro region, commodities.Livelihood source, commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Max precipitation (mm)"
"commodities.FS name, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Livelihood source"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Min precipitation (mm), commodities.Name","commodities.Average temperature  (°C)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.Min precipitation (mm), commodities.NCBITaxonID, commodities.Name","commodities.Max temperature (°C)"
"commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Min precipitation (mm), commodities.Name","commodities.Min temperature  (°C)"
"commodities.FS macro region, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Name","commodities.Average precipitation (mm)"
"commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Max temperature (°C), commodities.Min precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.FS name, commodities.Max elevation (masl), commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Max precipitation (mm)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.FS macro region, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Average temperature  (°C)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max temperature (°C)"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Name","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Min precipitation (mm)"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.Min temperature  (°C)","commodities.Average temperature  (°C)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Min elevation (masl), commodities.Min precipitation (mm)","commodities.Max precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min precipitation (mm)","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.NCBITaxonID","commodities.Average precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Max temperature (°C), commodities.Min temperature  (°C)","commodities.Average temperature  (°C)"
"commodities.FS macro region, commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Max temperature (°C)","commodities.Max THI"
"commodities.Average precipitation (mm), commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.Max elevation (masl), commodities.Max temperature (°C), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.Livelihood source, commodities.Max elevation (masl), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Min elevation (masl)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Min precipitation (mm)","commodities.Max THI"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Max temperature (°C)"
"commodities.FS macro region, commodities.Max temperature (°C), commodities.Min precipitation (mm), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.FS macro region, commodities.Min precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Max temperature (°C)"
"commodities.Average temperature  (°C), commodities.Max temperature (°C), commodities.NCBITaxonID, commodities.Name","commodities.Max precipitation (mm)"
"commodities.Livelihood source, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Max precipitation (mm)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max temperature (°C), commodities.Min elevation (masl)","commodities.Max precipitation (mm)"
"commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min precipitation (mm), commodities.Name","commodities.Max precipitation (mm)"
"commodities.FS name, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.NCBITaxonID","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max elevation (masl), commodities.Min precipitation (mm)","commodities.Max temperature (°C)"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.Average temperature  (°C), commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.Max temperature (°C)"
"commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Max temperature (°C), commodities.NCBITaxonID","commodities.Min temperature  (°C)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.Max elevation (masl), commodities.NCBITaxonID","commodities.Max temperature (°C)"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max precipitation (mm)","commodities.Name"
"commodities.FS macro region, commodities.Max temperature (°C), commodities.Min elevation (masl), commodities.Min temperature  (°C)","commodities.Min precipitation (mm)"
"commodities.Average temperature  (°C), commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Name"
"commodities.Average precipitation (mm), commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Max temperature (°C)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS macro region, commodities.FS name, commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.Min precipitation (mm), commodities.NCBITaxonID, commodities.Name","commodities.Min temperature  (°C)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.FS macro region"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Livelihood source"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Max temperature (°C)","commodities.NCBITaxonID"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.Name"
"commodities.Average temperature  (°C), commodities.FS name, commodities.Max THI, commodities.Max elevation (masl), commodities.Min temperature  (°C)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm), commodities.Min elevation (masl)","commodities.Max elevation (masl)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Min precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Name"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Min precipitation (mm), commodities.Min temperature  (°C), commodities.NCBITaxonID","commodities.Max elevation (masl)"
"commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Max precipitation (mm), commodities.Min temperature  (°C)","commodities.Name"
"commodities.FS macro region, commodities.FS name, commodities.Max elevation (masl), commodities.Max precipitation (mm), commodities.Min temperature  (°C)","commodities.Average precipitation (mm)"
"commodities.Average precipitation (mm), commodities.FS name, commodities.Livelihood source, commodities.Max elevation (masl), commodities.Max precipitation (mm)","commodities.NCBITaxonID"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Min elevation (masl)"
"commodities.Average precipitation (mm), commodities.FS macro region, commodities.FS name, commodities.Livelihood source, commodities.Max precipitation (mm)","commodities.Max elevation (masl)"
