"Dependant","Referenced"
"impact_chain_models.csv.Impact chain model,
 impact_chain_models.csv.FS macro region","commodity_resources.csv.FS name,
 commodity_resources.csv.FS macro region"
"impact_chain_models.csv.Impact chain model,
 impact_chain_models.csv.FS macro region","commodities.csv.FS name,
 commodities.csv.FS macro region"
"fs_resources.csv.Resource ID,
 fs_resources.csv.Resource year,
 fs_resources.csv.Resource number","resources.csv.Citation,
 resources.csv.Year,
 resources.csv.Number"
"M49_Intermediate_Regions.csv.Intermediate Region Code,
 M49_Intermediate_Regions.csv.Sub-region Code","M49_Countries.csv.Intermediate Region Code,
 M49_Countries.csv.Sub-region Code"
"connection_resources.csv.Citation,
 connection_resources.csv.Number,
 connection_resources.csv.Year","resources.csv.Citation,
 resources.csv.Number,
 resources.csv.Year"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region","impact_chain_models.csv.Impact chain model,
 impact_chain_models.csv.FS macro region"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region","fs_resources.csv.FS name,
 fs_resources.csv.FS macro region"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region","fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region","fs_factors.csv.FS name,
 fs_factors.csv.FS macro region"
 "icm_resources.csv.FS name,
 icm_resources.csv.FS macro region","fs_country_assignments.csv.Farming system,
 fs_country_assignments.csv.FS macro region"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region","farming_systems.csv.Farming system,
 farming_systems.csv.Macro region"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region","connections.csv.FS name,
 connections.csv.FS macro region"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region","commodity_soils.csv.FS name,
 commodity_soils.csv.FS macro region"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region","commodity_resources.csv.FS name,
 commodity_resources.csv.FS macro region"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region","commodities.csv.FS name,
 commodities.csv.FS macro region"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region,
 icm_resources.csv.Resource year","fs_resources.csv.FS name,
 fs_resources.csv.FS macro region,
 fs_resources.csv.Resource year"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region,
 icm_resources.csv.Resource ID,
 icm_resources.csv.Resource number","fs_resources.csv.FS name,
 fs_resources.csv.FS macro region,
 fs_resources.csv.Resource ID,
 fs_resources.csv.Resource number"
"icm_resources.csv.FS name,
 icm_resources.csv.Resource ID","fs_resources.csv.FS name,
 fs_resources.csv.Resource ID"
"icm_resources.csv.FS name,
 icm_resources.csv.Resource ID,
 icm_resources.csv.Resource year","fs_resources.csv.FS name,
 fs_resources.csv.Resource ID,
 fs_resources.csv.Resource year"
 "icm_resources.csv.FS macro region,
 icm_resources.csv.Resource ID","fs_resources.csv.FS macro region,
 fs_resources.csv.Resource ID"
"icm_resources.csv.FS macro region,
 icm_resources.csv.Resource ID,
 icm_resources.csv.Resource year","fs_resources.csv.FS macro region,
 fs_resources.csv.Resource ID,
 fs_resources.csv.Resource year"
"commodity_soils.csv.FS name,
 commodity_soils.csv.Name,
 commodity_soils.csv.FS macro region,
 commodity_soils.csv.Livelihood source","commodity_resources.csv.FS name,
 commodity_resources.csv.Name,
 commodity_resources.csv.FS macro region,
 commodity_resources.csv.Livelihood source"
"commodity_soils.csv.FS name,
 commodity_soils.csv.Name,
 commodity_soils.csv.FS macro region,
 commodity_soils.csv.Livelihood source","commodities.csv.FS name,
 commodities.csv.Name,
 commodities.csv.FS macro region,
 commodities.csv.Livelihood source"
"icm_resources.csv.FS name,
 icm_resources.csv.Resource year","fs_resources.csv.FS name,
 fs_resources.csv.Resource year"
"icm_resources.csv.FS macro region,
 icm_resources.csv.Resource year","fs_resources.csv.FS macro region,
 fs_resources.csv.Resource year"
"commodity_soils.csv.FS name,
 commodity_soils.csv.Name,
 commodity_soils.csv.FS macro region","commodity_resources.csv.FS name,
 commodity_resources.csv.Name,
 commodity_resources.csv.FS macro region"
"commodity_soils.csv.FS name,
 commodity_soils.csv.Name,
 commodity_soils.csv.FS macro region","commodities.csv.FS name,
 commodities.csv.Name,
 commodities.csv.FS macro region"
"icm_resources.csv.Resource ID,
 icm_resources.csv.Resource year","resources.csv.Citation,
 resources.csv.Year"
"icm_resources.csv.Resource ID,
 icm_resources.csv.Resource year","fs_resources.csv.Resource ID,
 fs_resources.csv.Resource year"
 "icm_resources.csv.Resource ID,
 icm_resources.csv.Resource year","fs_factor_resources.csv.Citation,
 fs_factor_resources.csv.Year"
"icm_resources.csv.Resource ID,
 icm_resources.csv.Resource year","connection_resources.csv.Citation,
 connection_resources.csv.Year"
"commodity_soils.csv.FS name,
 commodity_soils.csv.FS macro region","impact_chain_models.csv.Impact chain model,
 impact_chain_models.csv.FS macro region"
"commodity_soils.csv.FS name,
 commodity_soils.csv.FS macro region","fs_resources.csv.FS name,
 fs_resources.csv.FS macro region"
"commodity_soils.csv.FS name,
 commodity_soils.csv.FS macro region","fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region"
"commodity_soils.csv.FS name,
 commodity_soils.csv.FS macro region","fs_factors.csv.FS name,
 fs_factors.csv.FS macro region"
"commodity_soils.csv.FS name,
 commodity_soils.csv.FS macro region","fs_country_assignments.csv.Farming system,
 fs_country_assignments.csv.FS macro region"
"commodity_soils.csv.FS name,
 commodity_soils.csv.FS macro region","farming_systems.csv.Farming system,
 farming_systems.csv.Macro region"
"commodity_soils.csv.FS name,
 commodity_soils.csv.FS macro region","connections.csv.FS name,
 connections.csv.FS macro region"
"commodity_soils.csv.FS name,
 commodity_soils.csv.FS macro region","commodity_resources.csv.FS name,
 commodity_resources.csv.FS macro region"
 "commodity_soils.csv.FS name,
 commodity_soils.csv.FS macro region","commodities.csv.FS name,
 commodities.csv.FS macro region"
"icm_resources.csv.FS name,
 icm_resources.csv.FS macro region,
 icm_resources.csv.Resource ID,
 icm_resources.csv.Resource year","fs_resources.csv.FS name,
 fs_resources.csv.FS macro region,
 fs_resources.csv.Resource ID,
 fs_resources.csv.Resource year"
"fs_resources.csv.FS name,
 fs_resources.csv.FS macro region","impact_chain_models.csv.Impact chain model,
 impact_chain_models.csv.FS macro region"
"fs_resources.csv.FS name,
 fs_resources.csv.FS macro region","fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region"
"fs_resources.csv.FS name,
 fs_resources.csv.FS macro region","fs_factors.csv.FS name,
 fs_factors.csv.FS macro region"
"fs_resources.csv.FS name,
 fs_resources.csv.FS macro region","fs_country_assignments.csv.Farming system,
 fs_country_assignments.csv.FS macro region"
"fs_resources.csv.FS name,
 fs_resources.csv.FS macro region","farming_systems.csv.Farming system,
 farming_systems.csv.Macro region"
"fs_resources.csv.FS name,
 fs_resources.csv.FS macro region","connections.csv.FS name,
 connections.csv.FS macro region"
"fs_resources.csv.FS name,
 fs_resources.csv.FS macro region","commodity_resources.csv.FS name,
 commodity_resources.csv.FS macro region"
"fs_resources.csv.FS name,
 fs_resources.csv.FS macro region","commodities.csv.FS name,
 commodities.csv.FS macro region"
 "icm_resources.csv.FS name,
 icm_resources.csv.FS macro region,
 icm_resources.csv.Resource ID","fs_resources.csv.FS name,
 fs_resources.csv.FS macro region,
 fs_resources.csv.Resource ID"
"icm_resources.csv.FS name,
 icm_resources.csv.Resource number","fs_resources.csv.FS name,
 fs_resources.csv.Resource number"
"icm_resources.csv.FS macro region,
 icm_resources.csv.Resource number","fs_resources.csv.FS macro region,
 fs_resources.csv.Resource number"
"fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region","impact_chain_models.csv.Impact chain model,
 impact_chain_models.csv.FS macro region"
"fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region","fs_resources.csv.FS name,
 fs_resources.csv.FS macro region"
"fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region","fs_factors.csv.FS name,
 fs_factors.csv.FS macro region"
"fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region","fs_country_assignments.csv.Farming system,
 fs_country_assignments.csv.FS macro region"
"fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region","farming_systems.csv.Farming system,
 farming_systems.csv.Macro region"
"fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region","connections.csv.FS name,
 connections.csv.FS macro region"
"fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region","commodity_resources.csv.FS name,
 commodity_resources.csv.FS macro region"
 "fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region","commodities.csv.FS name,
 commodities.csv.FS macro region"
"icm_resources.csv.Resource ID,
 icm_resources.csv.Resource number","resources.csv.Citation,
 resources.csv.Number"
"icm_resources.csv.Resource ID,
 icm_resources.csv.Resource number","fs_resources.csv.Resource ID,
 fs_resources.csv.Resource number"
"icm_resources.csv.Resource ID,
 icm_resources.csv.Resource number","fs_factor_resources.csv.Citation,
 fs_factor_resources.csv.Number"
"icm_resources.csv.Resource ID,
 icm_resources.csv.Resource number","connection_resources.csv.Citation,
 connection_resources.csv.Number"
"icm_resources.csv.Resource year,
 icm_resources.csv.Resource number","resources.csv.Year,
 resources.csv.Number"
"icm_resources.csv.Resource year,
 icm_resources.csv.Resource number","fs_resources.csv.Resource year,
 fs_resources.csv.Resource number"
"icm_resources.csv.Resource year,
 icm_resources.csv.Resource number","fs_factor_resources.csv.Year,
 fs_factor_resources.csv.Number"
"icm_resources.csv.Resource year,
 icm_resources.csv.Resource number","connection_resources.csv.Year,
 connection_resources.csv.Number"
"commodity_soils.csv.FS name,
 commodity_soils.csv.Livelihood source","fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.Dominant livelihood source"
 "commodity_soils.csv.FS name,
 commodity_soils.csv.Livelihood source","commodity_resources.csv.FS name,
 commodity_resources.csv.Livelihood source"
"commodity_soils.csv.FS name,
 commodity_soils.csv.Livelihood source","commodities.csv.FS name,
 commodities.csv.Livelihood source"
"commodity_resources.csv.Resource ID,
 commodity_resources.csv.Resource year,
 commodity_resources.csv.Resource number","resources.csv.Citation,
 resources.csv.Year,
 resources.csv.Number"
"commodity_soils.csv.FS macro region,
 commodity_soils.csv.Livelihood source","fs_livelihood_sources.csv.FS macro region,
 fs_livelihood_sources.csv.Dominant livelihood source"
"commodity_soils.csv.FS macro region,
 commodity_soils.csv.Livelihood source","commodity_resources.csv.FS macro region,
 commodity_resources.csv.Livelihood source"
"commodity_soils.csv.FS macro region,
 commodity_soils.csv.Livelihood source","commodities.csv.FS macro region,
 commodities.csv.Livelihood source"
"fs_landscapes.csv.Farming system,
 fs_landscapes.csv.FS macro region","impact_chain_models.csv.Impact chain model,
 impact_chain_models.csv.FS macro region"
"fs_landscapes.csv.Farming system,
 fs_landscapes.csv.FS macro region","fs_resources.csv.FS name,
 fs_resources.csv.FS macro region"
"fs_landscapes.csv.Farming system,
 fs_landscapes.csv.FS macro region","fs_livelihood_sources.csv.FS name,
 fs_livelihood_sources.csv.FS macro region"
"fs_landscapes.csv.Farming system,
 fs_landscapes.csv.FS macro region","fs_factors.csv.FS name,
 fs_factors.csv.FS macro region"
 "fs_landscapes.csv.Farming system,
 fs_landscapes.csv.FS macro region","fs_country_assignments.csv.Farming system,
 fs_country_assignments.csv.FS macro region"
"fs_landscapes.csv.Farming system,
 fs_landscapes.csv.FS macro region","farming_systems.csv.Farming system,
 farming_systems.csv.Macro region"
"fs_landscapes.csv.Farming system,
 fs_landscapes.csv.FS macro region","connections.csv.FS name,
 connections.csv.FS macro region"
"fs_landscapes.csv.Farming system,
 fs_landscapes.csv.FS macro region","commodity_resources.csv.FS name,
 commodity_resources.csv.FS macro region"
"fs_landscapes.csv.Farming system,
 fs_landscapes.csv.FS macro region","commodities.csv.FS name,
 commodities.csv.FS macro region"
"connection_resources.csv.Citation,
 connection_resources.csv.Year","resources.csv.Citation,
 resources.csv.Year"
