"From","Link type","To","Description","Bibliographic resources","Tags","Type","Connection"
"Poor livestock management","Is mitigated by","Improve veterinary care","Capacity building by extension services on good animal management practices and improved access to veterinary services would improve livestock productivity in the agricultural system. ","(Mohamed et al., 2019)","Human capacity; Institutions and policy; Policy-level; Community-level; Farm-level","MENA Dryland Mixed",
"Inadequate policy","Is mitigated by","Policy reform
","Current policy encourages the modernisation of agriculture, involving the promotion of large intensively cultivated monoculture on private farms. Small farms are typically excluded from policy and subsequently do not benefit from public support or bank loans, thereby restricting their access to modern technologies and improved practices. There is a need for policy reform that supports smallholder farmers. ","(OECD/FAO, 2018); (Devkota et al., 2022); (Yigezu et al., 2021)","Institutions and policy;  Policy-level","MENA Dryland Mixed",
"Inadequate policy","Is mitigated by","Invest in agricultural research and development","Evidence generated by agricultural research needs to inform policy and institutional reforms for climate-smart reconstruction, resilience and stabilisation. ","(Govind, 2022); (Devkota et al., 2022); (Dixon et al., 2001)","Institutions and policy;  Policy-level; Research and development","MENA Dryland Mixed",
"Inadequate policy","Is mitigated by","Develop policies for building climate change resilience","Evidence generated by agricultural research needs to inform policy and institutional reforms for climate-smart reconstruction, resilience and stabilisation. Resource management planning activities should be encouraged and adopted by the provincial and district planning bodies. Such bodies should include diverse stakeholder membership and inclusive engagement.","(Govind, 2022); (Devkota et al., 2022); (Dixon et al., 2001)","Institutions and policy;  Policy-level; Research and development","MENA Dryland Mixed",
" "," "," "," "," "," ","MENA Dryland Mixed",
"Low access to credit","Is mitigated by","Policy reform
","Small farms are typically excluded from policy and so have limited access to credit facilities, thereby restricting their adoption of modern technologies and improved practices. There is a need for policy reform that supports smallholder farmers. ","(OECD/FAO, 2018); (Devkota et al., 2022); (Yigezu et al., 2021)","Institutions and policy;  Policy-level; Finance","MENA Dryland Mixed",
" "," "," "," "," "," ","MENA Dryland Mixed",
"Water scarce area","Is mitigated by","Invest in water harvesting and storage infrastructure","Water harvesting and storage practices and technologies can be used to supply irrigation and water for livestock in times of scarcity.","(Dixon et al., 2001)","Weather and environment; Infrastructure; Farm-level; Community-level","MENA Dryland Mixed",
"Water scarce area","Is mitigated by","Implement efficient water management","Capacity building by extension services on efficient water management could improve farmers' resilience in the face of increasing drought events and decreasing precipitation patterns.","(Dixon et al., 2001)","Weather and environment; Climate-smart agriculture; Farm-level","MENA Dryland Mixed",
"Unsuitable crop varieties","Is mitigated by","Adopt disease tolerant varieties","Barley is affected by over 250 pathogens, one of the worst being powdery mildew which causes
yield losses of up to 50%. Resistance breeding and adoption of improved varieties by farmers is an economically effective and environmentally friendly method of controlling the spread of the pathogen.","(Piechota et al., 2020)","Research and development; Pests and diseases; Climate-smart agriculture; Farm-level","MENA Dryland Mixed",
"Unsuitable crop varieties","Is mitigated by","Adopt drought tolerant varieties






","The development and adoption of drought tolerant varieties could enhance farmers' resilience in the face of increasing drought events and decreasing precipitation patterns.","(Dixon et al., 2001)","Research and development; Climate-smart agriculture; Farm-level","MENA Dryland Mixed",
"Unfavourable soil conditions","Is mitigated by","Implement conservation agriculture practices","The quality of soils can be improved through conservation agriculture practices such as no tillage, mulching, organic fertilisers from integrated livestock-cropping systems, cover crops, and planting of trees. ","(OECD/FAO, 2018); (Dixon et al., 2001)","Weather and environment; Human capacity; Conservation agriculture; Farm-level","MENA Dryland Mixed",
"High prevalence of land degradation","Is mitigated by","Plant trees/shrubs for windbreaks","Wind erosion can be prevented by planting trees and shrubs as windbreaks. ","(OECD/FAO, 2018); (Dixon et al., 2001)","Weather and environment; Human capacity; Conservation agriculture; Ecosystem-based adaptation;  Farm-level","MENA Dryland Mixed",
" "," "," "," "," "," ","MENA Dryland Mixed",
"High poverty levels 






","Is mitigated by","Improve opportunities for off-farm income generation","There is scope for poverty reduction through improved access to off-farm income generation.","(Dixon et al., 2001)","Governance; Institutions and policy; Finance; Policy-level","MENA Dryland Mixed",
"High poverty levels 






","Is mitigated by","Land tenure reform","There is scope for poverty reduction through better regulatory measures to secure smallholder farmers’ access to land, water and technology.","(Dixon et al., 2001)","Governance; Institutions and policy; Finance; Policy-level","MENA Dryland Mixed",
"Low access to agricultural extension services","Is mitigated by","Improve access to agricultural extension services","Extension services need to improve dryland farmers’ access to improved crop varieties, build their capacities in conservation agriculture practices, reinstall traditional water management techniques, and promote intercropping and the application of appropriate technologies.","(Dixon et al., 2001)","Governance; Institutions and policy; Policy-level","MENA Dryland Mixed",
"Inadequate agri research and development","Is mitigated by","Invest in agricultural research and development","Regional climate change research is lacking, but can be improved through institutional collaboration, network development, database building and capacity development. The evidence generated needs to inform policy and institutional reforms for climate-smart reconstruction, resilience and stabilisation. Research and development need to be participatory, involving smallholder farmers and women in particular. There is a lack of data on rangeland livestock resources and pastoralist herds.","(Govind, 2022); (Mohamed et al., 2019); (Dixon et al., 2001)","Research and development; Institutions and policy; Policy-level","MENA Dryland Mixed",
"Conflict prone area","Is mitigated by","Policy reform
","There is potential to reduce conflict in the region by strengthening institutions and improving natural resource management, such as frameworks for effective water management.","(Govind, 2022)","Governance; Institutions and policy; Policy-level","MENA Dryland Mixed",
"Low level of education","Is mitigated by","Improve access to agricultural extension services","Low levels of education in the older generations of farmers in the region and the associated low uptake of modern technologies and practices can be improved through access to agricultural extension services and demonstration plots. ","(Devkota et al., 2022)","Governance; Institutions and policy; Policy-level","MENA Dryland Mixed",
"Farmers engaged in agri system","Exposed to","Loss of livelihoods ","Climate change threatens the viability of agriculture and rural livelihoods in the Middle East and North Africa drylands.  ","(Govind, 2022)"," ","MENA Dryland Mixed",
"Farmers engaged in agri system","Exposed to","Food insecurity","Food security amongst the population of the dryland mixed system is poor, with a heavy dependence on food imports, and is expected to worsen with climate change.","(Dixon et al., 2001); (Durrell, 2018)"," ","MENA Dryland Mixed",
"Farmers engaged in agri system","Exposed to","Chronic poverty 
","Poor smallholder farmers in remote areas of the dryland mixed agricultural system are particularly vulnerable to increasing climate hazards and are at risk of chronic poverty. ","(Govind, 2022); (Jobbins and Henley, 2015)"," ","MENA Dryland Mixed",
"Decrease in average precipitation","Leads to","Reduced crop productivity/failure","Decreased average precipitation leads to loss of soil moisture content and redcued water supply leading to reduced crop productivity.","Dixon et al., 2020","Rainfall related","MENA Highland Mixed-Connection-1","MENA-Highland-Mixed-Connection-1"
"Increase in extreme rainfall events","Leads to","Increased flooding
","increased flooding events occur after intense and short-duration rainstorm
events, causing severe damage to infrastructure and often leading to human losses","Dixon et al., 2020; ESCWA et al. 2017","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-2"
"Increase in average temperatures","Leads to","Reduced crop productivity/failure","Productivity of certain crops and livestock reduces with increased temperature conditions beyond the required scale. With increasing temperatures in the agrisystem, productivity is likely to be further impacted.","Dixon et al., 2020","Temperature related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-3"
"Increase in average precipitation","Leads to","Increased flooding
","Recently, extreme and frequent flash floods have occurred in most of the MENA arid zones, resulting in significant economic and property losses.","Loudyi, 2020","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-4"
"Increase in drought events","Leads to","Water scarcity","Its effects include decreased water supplies, as well as loss of harvest and livestock, which, in turn, threaten food security and often cause widespread malnutrition. ","ESCWA et al. 2017","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-5"
"Increasingly erratic rainfall","Leads to","Unpredictable planting period","Many farmers in the region depend on rainfall especially in the rural areas and an increase in erratic rainfall patterns impacts on farmers ability to rely on the traditional planiting periods due to shifting onset of rains.","ESCWA et al. 2017","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-6"
"Rising sea levels","Leads to","Increased flooding
","The World Bank declared in 2016 that the MENA region is among the most vulnerable places on earth to rising sea levels. Forecasting a 0.5-metre rise by 2099, its report warned that ""low-lying coastal areas in Tunisia, Qatar, Libya, UAE, Kuwait and particularly Egypt are at particular risk"". As sea levels rise, high waters are flooding basements of buildings leading to fatal collapses.","World Economic Forum, 2019","Maritime related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-7"
"Increase in strong winds","Leads to","Reduced crop productivity/failure","Strong winds leads to crop damage hence leading to reduced production.","Dixon et al., 2020","Weather and environment","MENA Highland Mixed","MENA-Highland-Mixed-Connection-8"
"Decrease in average precipitation","Leads to","Water scarcity"," Climate change and decreased precipitation will reduce internal renewable water, which refers to rivers and aquifers leading to water scarcity.","Ninar. F and  Frederic W., 2022","Temperature related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-9"
"Increase in extreme rainfall events","Leads to","Soil erosion","Climate projections suggest that rainfall intensity will increase in Middle East and North Africa, which is likely to increase soil erosion.","Glada Lahn, 2022","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-10"
"Increase in average temperatures","Leads to","Crop stress/damage/mortality","Rising temperatures leads to crop stress/damage , causing poor production which leads to food insecurity , especially those in rural areas and urban peripheries, migrants and refugees, informal sector workers, and other vulnerable communities. ","Ninar. F and  Frederic W., 2022","Temperature related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-11"
"Increase in average temperatures","Leads to","Livestock mortalities","Rising temperatures and their pernicious effects on health, especially livestock mortality rates. ","Ninar. F and  Frederic W., 2022","Temperature related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-12"
"Increase in average precipitation","Leads to","Unpredictable planting period","Increased precipitation causes that heavy rainfalls that leads to unpredictable planting periods.","D Loudyi ,2020","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-13"
"Rising sea levels","Leads to","Soil salinisation","The MENA region is also one of the most vulnerable regions to rising sea levels caused by climate change; according to some studies, the mean global sea level is set to rise 30–122 centimeters (1 to 4 feet) by the end of the century. When sea levels rise, seawater can intrude into coastal aquifers and wells, thus salinizing the water there and devastating littoral agricultural communities.","Ninar. F and  Frederic W., 2022","Temperature related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-14"
"Rising sea levels","Leads to","Coastal inundation","Rising sea level leads to inundation of coastal areas makinge some waterfront cities and towns in the MENA region uninhabitable, adding to economic and migration-related stresses on already beleaguered governments.","Ninar. F and  Frederic W., 2022","Temperature related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-15"
"Increasingly erratic rainfall","Leads to","Landslide events","Flash floods caused by erratic rainfalls leads to landslide events. ","D Loudyi ,2020","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-16"
"Increasingly erratic rainfall","Leads to","Increased flooding
"," Flash floods in arid or semi-arid regions are often generated by erratic rainfalls in mountainous areas, where huge water volumes are accumulated.","D Loudyi ,2020","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-17"
"Increase in average temperatures","Leads to","Desertification","Rising temperatures and decreasing water resources will accelerate the rate of desertification in the region, even though climate change by itself is not the sole driver for this and other forms of soil degradation and ecological depletion, which have been features of the MENA region since well before the industrial age.","Ninar. F and  Frederic W., 2022","Temperature related ","MENA Highland Mixed","MENA-Highland-Mixed-Connection-18"
"Increase in extreme rainfall events","Leads to","Damage to infrastructure","Heavy rainfall leads to flooding that has emerged as one of the most frequent environmental hazards in the MENA region. Increasing instances of heavy rainfall events in towns and cities, have caused significant damage to infrastructure. ","Glada Lahn, 2022","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-19"
"Rising sea levels","Leads to","Damage to infrastructure","In case of Alexandria, Egypt, a 0.5 meter rise would leave more than 2 million people displaced, with $35 billion in losses in land, property, and infrastructure, as well as incalculable losses of historic and cultural assets.","Broom, 2019","Temperature related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-20"
"Increase in average precipitation","Leads to","Soil erosion","Increased in average precipitation leads to soil erosion, and an increase in flood risk due to heavy rains.","World bank, 2013","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-21"
"Increase in extreme rainfall events","Leads to","Livestock mortalities","Flooding due to heavy rainfalls , have caused loss of life and increase livestock mortalities. ","Glada Lahn, 2022","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-22"
"Increase in extreme rainfall events","Leads to","Loss of income","Extreme rainfall events experienced in the area cause disasters such as floodng that reign havoc and destroy infrastrucutre and agricultural land leading to ","ESCWA et al. 2017","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-23"
"Increase in average temperatures","Leads to","Increase in food insecurity","The relationship between increasing temperatures and increase in food secutry is decribed by reduced crop and livvestock yields.","ESCWA et al. 2017","Temperature related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-24"
"Decrease in average precipitation","Leads to","Increase in food insecurity","Changing precipitation patterns, rising temperatures and more extreme weather contributed to mounting food insecurity in the region.","ESCWA et al.,2017","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-25"
"Decrease in average precipitation","Leads to","Competition for resources","The MENA region is projected to be among the first in the world to “effectively run out of water,” as water resources are being used faster than they’re being replenished by precipitation, leading to competition of water resources by the expanding population.","Ninar. F and  Frederic W., 2022","Temperature related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-26"
"Increase in average temperatures","Leads to","Increase in migration","The effects of rising temperatures force people to migrate through summer vacations to Europe.Temperatures are set to rise in the region by at least 4°C by 2050 that is, if greenhouse gases continue to increase at the current rate and heat waves are set to be experienced ten times more frequently by the same year. Future temperatures in the region are projected to exceed a threshold for human adaptability, leading to higher mortality rates for children and the elderly.","Ninar. F and  Frederic W., 2022","Temperature related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-27"
"Increase in average precipitation","Leads to","Increase in food insecurity","The potential impacts of heavy precipitation include crop damage, due to heavy rains hence leading to increased food insecurity.","World bank, 2013","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-28"
"Increase in drought events","Leads to","Increase in malnutrition/ Reduced calorie intake","Millions of children in the Middle East and North Africa at increased risk of malnutrition amid increase drought events. ","Ninar. F and  Frederic W., 2022","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-29"
"Increase in drought events","Leads to","Increase in poverty","The drought produced unprecedented poverty, paving the way for migration to the peripheries of Syria's main cities, which were already burdened.","Ranj Alaaldin, 2022","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-30"
"Increase in drought events","Leads to","Loss of income","Unfavorable weather such as drought events can lower crop yields and decimate livestock. This means that income goes down for farmers and their families, sending people to lose their source of income.","Ranj Alaaldin, 2022","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-31"
"Increasingly erratic rainfall","Leads to","Increase in food spoilage/wastage","Erratic rainfall causes floods that spoils food at the farm, especially the potatoes. ","D Loudyi ,2020","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-32"
"Rising sea levels","Leads to","Increase in migration","In case of Alexandria, Egypt, a 0.5 meter rise would leave more than 2 million people displaced, hence leading to increased migration.","Ranj Alaaldin, 2022","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-33"
"Increase in drought events","Leads to","Increase in food insecurity","Changing temperatures and rain patterns, particularly droughts, have detrimental effects on farmers and can cause food insecurity.","Ranj Alaaldin, 2022","Rainfall related","MENA Highland Mixed","MENA-Highland-Mixed-Connection-34"
"Soil erosion","Leads to","Reduced crop productivity/failure","Soil erosion due to flooding events and unsustainable agricultural practices have led reduced crop and livestock productivity and with the increased climatc hazards, the fertility and quality of soil is expected to decline further if interventions are not scaled up.","ESCWA et al. 2017","Biophysical","MENA Highland Mixed","MENA-Highland-Mixed-Connection-35"
"Reduced water quality","Leads to","Food health and safety issues","Reduced water quality has a direct impact on food health and safety where contamination  occurs affecting human health","ESCWA et al. 2017","Biophysical; socioeconomic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-36"
"Water scarcity","Leads to","Reduced crop productivity/failure","With the region being on of the most water scarce regions in the world, population pressure in the agrisystem coupled with climatic hazards has lead to further water scarcity impacts. ","ESCWA et al. 2017","Biophysical","MENA Highland Mixed","MENA-Highland-Mixed-Connection-37"
"Land degradation","Leads to","Change in production zone suitability","degradation of rangelands and desertification due to recurrent droughts leads to dwindling water- and feed-resource impacting on suitability of crop and livestock prodution in the system. ","ESCWA et al. 2017","Biophysical;","MENA Highland Mixed","MENA-Highland-Mixed-Connection-38"
"Reduced crop productivity/failure","Leads to","Increase in food insecurity","Inrease in drought and flooding events have negatively impacted on agricultural activities in the farming system with farmers experiencing reduced crop and livestock productivity/failure which leads to food insecurity.","ESCWA et al. 2017","socioeconomic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-39"
"Reduced groundwater tables","Leads to","Water scarcity","Extraction of large volumes of groundwater without equivalent replenishment leads to faster depletion of water table, leading to water scarcity.","Namdar et al., 2021","Biophysical","MENA Highland Mixed","MENA-Highland-Mixed-Connection-40"
"Increased flooding
","Leads to","Damage to infrastructure","Flood is the frequent disaster occurring in very high vulnerable countries, currently. The 2008 flood in Yemen caused USD 1.6 billion (6% of Yemen’s GDP) damages to this country. Moreover, climate change is expected to significantly increase the frequency of floods in the low vulnerable group.","Namdar et al., 2021","Biophysical, socioeconomic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-41"
"Unpredictable planting period","Leads to","Loss of income"," Loss of agricultural income due to reduced yields and higher costs of inputs and unpredictable planting seasons leads to loss of income.","M East  et al., 2015 ","Socieconomic ","MENA Highland Mixed","MENA-Highland-Mixed-Connection-42"
"Desertification","Leads to","Water scarcity","Continued water scarcities will affect the region’s social and economic potential, increase land vulnerability to salinization and desertification and raise the risk for political conflict around the limited water available.","Tropp, Hakan, Jagerskog, Anders. 2006","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-43"
"Increase in food imports","Leads to","Reduced crop productivity/failure","The MENA region continues to face an ongoing food crisis that has translated into increases in food prices and at times civil unrest leading to reduced crop productivity.","John Njiraini, 2022","Socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-44"
"Increase in migration","Leads to","Reduced crop productivity/failure","A study led by the United Nations Development Programme, the Swiss Agency for Development and Cooperation, the United Nations International Organization for Migration, and the Tunisian government notes that changes in the environment are a major factor behind the migration of rural populations who previously practiced agricultural and pastoral activities. "," A. Chibani, 2022","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-45"
"Loss of income","Leads to","Increase in poverty","Apart from income inequality, other factors increasing poverty in the region are foreign direct investment, population growth and inflation rate."," M Ncube  et al.,2013","Socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-46"
"Lack of willingness to invest in sustainable agricultural practices","Leads to","Reduced crop productivity/failure","Lack of willingness to invest in sustainable agricultural practices leads to reduced wheat production.","U Grote  et al., 2021","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-47"
"Increase in poverty","Leads to","Increase in malnutrition","Rising food prices as a result of the Russian invasion of Ukraine are increasing the risk of malnutrition for millions of children in the MENA .","fao, 2022","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-48"
"Food health and safety issues"," ","Increase in food insecurity","Developing countries including the Middle East region are expected to be at higher risk of foodborne diseases due to the weakness and fragment of food systems.","Ioannis N. Savvaidis et al., 2022","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-49"
"Change in production zone suitability","Leads to","Unpredictable planting period","Change in production zone leads to unpredictable planting periods.","U Grote  et al., 2021","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-50"
"Increase in migration","Leads to","Loss of income","Individuals migrate from their home regions when the ecosystems they’ve relied on are degraded and fragile leading to low agricultural productivity and hence loss of agricultural incomes. "," A. Chibani, 2022","Socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-51"
"Damage to infrastructure","Leads to","Loss of income","In Lebanon, economic collapse has had a catastrophic impact on public utilities and people's livelihoods leading to loss of income.","World Bank, 2022","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-52"
"Soil salinisation","Leads to","Reduced crop productivity/failure","Aeolian Erosion and the active movement of sand dunes is responsible for a 25% crop productivity decrease and affects up to 16% of the old valley's territories.","FAO, 2014","Biophysical","MENA Highland Mixed","MENA-Highland-Mixed-Connection-53"
"Competition for resources","Leads to","Desertification","Supplementary feed sources for livestock are scarce. Hungry animals and land shortages lead to over-grazing, causing desertification.","M Winslow et al., 2007","Biophysical","MENA Highland Mixed","MENA-Highland-Mixed-Connection-54"
"Livestock mortalities","Leads to","Loss of income"," Livestock deaths, it disrupts the flow of income and food sources.","World Bank, 2016","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-55"
"Landslide events","Leads to","Damage to infrastructure","Egypt has faced 23 large disaster events in the last 20 years—floods, earthquakes, and landslides—causing over. US$1.3 billion in damages","World Bank, 2014","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-56"
"Increase in food spoilage/wastage","Leads to","Food health and safety issues","Food safety, nutrition and food security are inextricably linked. ","Ioannis N. Savvaidis et al., 2022","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-57"
"Crop stress/damage/mortality","Leads to","Reduced crop productivity/failure","Key risks to agriculture include reduced crop productivity associated with heat and drought stress .","U Grote  et al., 2021","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-58"
"Coastal inundation","Leads to","Damage to infrastructure","Some of the more obvious impacts include destruction of houses and buildings and damage to built infrastructure such as roads and bridges","FAO, 2022","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-59"
"Dependence on food aid","Leads to","Increase in food imports","T he challenge in MENA region is diet and nutrition. They are exceptionally dependent on food imports, especially of wheat and other staple grains.","world bank, 2021","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-60"
"Loss of income","Leads to","Increase in malnutrition","Rising food prices as a result of the Russian invasion of Ukraine are increasing the risk of malnutrition for millions of children in the Middle due to loss of income.","U Grote  et al., 2021","socio-economic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-61"
"Unsustainable natural resource use","Leads to","Reduced water quality","Within the Highland Mixed System, inadequate maintenance of terraces in recent years has led to a decline in the quality of the natural resource base, and to increasing water erosion that has reduced productivity.","Dixon et al., 2001","Human capacity; Governance; Finance; Institutions and policy; Technology; Research and development; Infrastructure","MENA Highland Mixed","MENA-Highland-Mixed-Connection-62"
"Unsustainable natural resource use","Leads to","Soil erosion","A decline in soil fertility, resulting from continuous cropping and low nutrient return, is an issue in some plateau areas. Where livestock are present, overgrazing close to settlements and water points has further contributed to soil degradation","Dixon et al., 2001","Human capacity; Governance; Finance; Institutions and policy; Technology; Research and development; Infrastructure","MENA Highland Mixed","MENA-Highland-Mixed-Connection-63"
"Demographic pressure on land","Leads to","Increase in poverty","As the population increases, the demand for food, fuel and construction materials increases. In the highland mixed farming system the large population increase has led to a decline in forests, farm productivity and water availability, which has been leading communities to a downward spiral of poverty.","Dixon et al., 2020","Human capacity; Governance; Finance; Institutions and policy; Technology; Infrastructure; socioecoomic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-64"
"Demographic pressure on land","Leads to","Land degradation","Demographic pressure on land in the agrisystem is caused by Increase in population coupled with associated unsustainable natural resource use. Therefore, land degradation is prone to occur faster with these conditions","ESCWA et al. 2017","Biophysical","MENA Highland Mixed","MENA-Highland-Mixed-Connection-65"
"Poor water use efficiency and management","Leads to","Water scarcity","Iran as an example, is already using more than 80 percent of its renewable water, is rendered one of the most water-stressed states in the world. The adverse effects of climate change will force Iran to face numerous intensified water security challenges combined with land degradation, desertification, drought, sand and dust storms, the loss of forest cover, vegetation, and biodiversity","Lewis e al., 2018","Human capacity; Infrastructure","MENA Highland Mixed","MENA-Highland-Mixed-Connection-66"
"High poverty levels 






","Leads to","Dependence on food aid","High poverty levels with limited alternative sources of livelihood is worsened by long conflicts and other factors make hunger more common leading to food insecurity and dependence on food aid","ESCWA et al. 2017","socioeconomic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-67"
"Reliance on rainfed agriculture","Leads to","Increase in food insecurity","The overdependence on rainfall leaves the countries extremely vulnerable to droughts, floods and extreme weather conditions leading to massive agricultural losses and food insecurity","ESCWA et al. 2017","Socioeconomic; Biophysical","MENA Highland Mixed","MENA-Highland-Mixed-Connection-68"
"Dependent on a single crop type","Leads to","Increase in food imports","More than fifty percent of the food consumed in the Middle East and North Africa (MENA) region is imported, making it the largest food importing region.","world bank, 2013","Governance; Finance; Institutions and policy;","MENA Highland Mixed","MENA-Highland-Mixed-Connection-69"
"Unsustainable land management practices","Leads to","Competition for resources","Land degradation, resulting from unsustainable land management practices, is a threat to the environment in  the MENA region","World Bank, 2019","Human capacity; Governance; Finance; Institutions and policy; ","MENA Highland Mixed","MENA-Highland-Mixed-Connection-70"
"Dependence on groundwater","Leads to","Reduced groundwater tables","Weak environmental legislation leads to groundwater pollution, which further decreases groundwater quality throughout the region. ","Tropp, Hakan, Jagerskog, Anders. 2006","Human capacity; Biophysical","MENA Highland Mixed","MENA-Highland-Mixed-Connection-71"
"High poverty levels 






","Leads to","Competition for resources","25% of the MENA population may be poor and 7% undernourished. The key to increased national and household-level food security is pro-poor growth, leading to competition for the available resources.","Bachar Ibrahim*, Henry Mensah","Human capaacity; Finance; Ecosystems","MENA Highland Mixed","MENA-Highland-Mixed-Connection-72"
"Weak land tenure ","Leads to","Lack of willingness to invest in sustainable agricultural practices","The current fragmented land use system is a disincentive for agricultural mechanization and commercial farming and this increases the lack of willingness to invest in sustainable agricultural practices.","Dixon et al., 2020","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-73"
"Conflict prone area","Leads to","Loss of income","Long periods of war ravaging through the MENA region has lead to loss of income generating activities leaving communities in poverty and hgh prevelance of food insecurity.","ESCWA et al. 2017","Governance; Socioeconomic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-74"
"Weak land tenure ","Leads to","Reduced crop productivity/failure","Besides climate and weather variability, land tenure insecurity can inhibit agricultural productivity and food security among agrarian households.","Dixon et al., 2020","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-75"
"Conflict prone area","Leads to","Increase in migration","Large-scale conflicts are a major challenge for the Middle East and North Africa (MENA) leading to increased migration.","ESCWA et al. 2017","Governance; Socioeconomic","MENA Highland Mixed","MENA-Highland-Mixed-Connection-76"
"Low access to markets","Leads to","Increase in post-harvest losses","Lack of a well developed infrastrucutre system and measures to increase market access leaves frmers with post harvest losses.","ESCWA et al. 2017","Finance; Governance","MENA Highland Mixed","MENA-Highland-Mixed-Connection-77"
"Low access to credit","Leads to","Reduced crop productivity/failure","Low access to credit facilities impacts productivity negatively due to the fact that smallholder farmers can't afford inputs.","World Bank, 2022","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-78"
"Low access to markets","Leads to","Loss of income","Inequality, which is a component of market failure, can eventually lead to poverty when wealth is not distributed equally throughout society.","ESCWA et al. 2017","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-79"
"Low access to credit","Leads to","Lack of willingness to invest in sustainable agricultural practices"," Inadequate access to finance and insurance causes smallholder farmers to confine themselves to low-risk/low-yield crops.","World Bank, 2022","Governance; institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-80"
"High prevalence of land degradation","Leads to","Reduced crop productivity/failure","Demographic pressure on land due to increased populations in the area causes high prevelance of land degradation which is worsened by climate change and consequently leading to reduced crop and livestock productivity.","Dixon et al., 2020","Governance; Institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-81"
"Unfavourable soil conditions","Leads to","Reduced water quality"," Unfavourable soil conditions leads to increase in soil salinity and alkalinity due to sedimentation and bad irrigation; thus reducing the quality of water.","FAO, 2014","Governance; Institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-82"
"Water scarce area","Leads to","Reduced crop productivity/failure","Water has always posed great challenges for the Middle East and North Africa.","World Bank, 2017","Governance; Institution and policy","MENA Highland Mixed","MENA-Highland-Mixed-Connection-83"
