"Label","Type-1","Type-2","Description","Tags","Bibliographic resource","Developer and name of external database","Link to external database","Type"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
"Invest in road infrastructure","Adaptation option","Physical capital","There is a poor but expanding road network in the farming system. In Ethiopia for instance, the road density grew more than 70 per cent between 1997 and 2009, and the average distance to an all-weather road decreased from 21.4 km to 11.8 km. Nevertheless, the vast majority of the highland communities are yet to be connected.","Dixon et al., 2020","Infrastructure; Governance; institution and policy; partnerships required; community level"," "," ","MENA Highland Mixed"
"Invest in water harvesting and storage infrastructure","Adaptation option","Physical capital","Several countries under the agrisystem are imlemeting water harvesting and storage such as Egypt  which is constructing 633 water storage facilities, with a capacity of 266.34 million m3. It explained that 160 dams, 307 artificial lakes, and 39 protection bridges, 93 barriers and artificial canals have been implemented, as well as the repairing and construction of 34 flood waterholes","Namdar et al., 2021","Conservation agriculture;
Climate-smart agriculture; Institutions and policy; 
Technology; Farm-level ; 
Community-level"," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
"Implement efficient water management","Adaptation option","Human capital","There are various water management strategies that are being implemented for example the Participatory Watershed Management and Poverty Reduction approach in Tunisia.","Dixon et al., 2001","Conservation agriculture; 
Climate-smart agriculture; Institutions and policy; 
Technology; Infrastructure; Farm-level; 
Community-level"," "," ","MENA Highland Mixed"
"Diversify livelihoods","Adaptation option","Human capital","Remittances from off-farm work are a major source of income (about half of males work outside their district), which is supplemented by traditional income sources such as almonds, walnuts, carob pods and aromatic plants.","World Agroforesty","Capacity building"," "," ","MENA Highland Mixed"
"Adopt drought tolerant varieties






","Adaptation option","Human capital","In both the north and west of the country, most small-scale farmers also keep livestock, mostly sheep. Sheep are the least affected livestock group, and this is especially the case in mixed farming systems such as those in Iran. Maintaining sheep populations and breeding drought and heat tolerate sheep could be an effective livelihood adaptation strategy for these farmers","Lewis., 2018; FAO et al., 2017","Climate-smart agriculture; Technology; Research and development; Farm-level 
Community-level"," "," ","MENA Highland Mixed"
"Capacity building on sustainable agricultural practices","Adaptation option","Human capital","Aggressive sustainable land management government programs, including construction of terraces and water harvesting structures, rehabilitation exclosures of degraded landscapes as well as watershed management schemes have been implemented","Garrity et al., 2012","Capacity building; Conservation agriculture;
Climate-smart agriculture; Institutions and policy; Technology; Research and development; Farm-level; 
Community-level"," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
"Improve networking and knowledge exchange","Adaptation option","Social capital","Improving agricultural growth and productivity demands the development and promotion of an environment that encourages knowledge to be produced, communicated and applied to a nation’s needs (Joint Science Academies statement 2006). The current weak institutional capacity, sectoral policies and fragmented institutional arrangements need to be amended to facilitate knowledge flow and improve communication","Dixon et al., 2020","Partnership required; Community-level"," "," ","MENA Highland Mixed"
"Establish farmer organisations","Adaptation option","Social capital","Farmer organizations play a vital role in helping farmers gain access to the resources necessary to increase yields and increase income. This ultimately supports their shift from subsistence farming to farming as a business. An example is  Nuru Ethiopia-supported farmer organizations which are led and owned by the local community members. Local ownership and leadership allow for the important knowledge that farmers gain through their respective farmer organizations to be continuously recycled back into the organization and the local community. This continuous improvement allows farmer organizations to adapt to new challenges. "," ","capacity building; community level"," "," ","MENA Highland Mixed"
"Build capacity on advocacy","Adaptation option","Social capital"," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
"Policy reform
","Adaptation option","Political capital ","Public policies and programmes have played an extremely important role in shaping market conditions and private sector investment","Dixon et al., 2020","Policy-level; Institutions and policy; partnerships required"," "," ","MENA Highland Mixed"
"Develop policies for building climate change resilience","Adaptation option","Political capital ","A few MENA countries have prepared themselves against natural and man-made disasters. The example countries are Egypt, Algeria, Morocco and Lebanon. These countries have composed specific policies, in addition to setting up intra-governmental risk management units, to decrease their extent of vulnerability. The established units are meant to assess risk by taking advantage from early warning systems, knowledge centers and risk management laboratories ","Namdar et al., 2021","Policy-level; Institutions and policy; Governance"," "," ","MENA Highland Mixed"
"Invest in agricultural research and development","Adaptation option","Political capital "," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
"Improve access to markets","Adaptation option","Financial capital","Domestic markets in the region are generally tightly integrated into global agricultural markets and this interdependence is certain to continue and expected to deepen for products such as wheat and maize.","Dixon et al., 2020","Institutions and policy; Finance; Governance; Partnership required; community level"," "," ","MENA Highland Mixed"
"Diversify markets","Adaptation option","Financial capital","Specific mountain products and services including mountain tourism, medicinals, highland fruits, flowers, honey and other organic food items are in increasing global demand (ICIMOD 2011). Highland farmers could effectively compete in national and international markets if they are able to exploit their distinct agroecology and traditions by producing superior quality products with certified food origins that meet sanitary requirements and other policies of niche markets.","Dixon et al., 2020","Partnership required; Institutions and policy"," "," ","MENA Highland Mixed"
"Support local value chains","Adaptation option","Financial capital","MENA governments have subsidised wheat production for many years using three main policy interventions: guaranteed prices, input subsidies, and import tariffs. The purpose of these policies is to raise the price and lower the costs for domestic production of wheat in order to increase self- sufficiency in wheat production. In Iraq, for example, the Ministry of Trade supports wheat producers through a guaranteed price for no. 1 wheat that exceeds the import price of wheat.","OECD, 2018","Governance; Finance;
Institutions and policy; Partnership required; community level"," "," ","MENA Highland Mixed"
"Improve access to credit","Adaptation option","Financial capital"," "," "," "," "," ","MENA Highland Mixed"
" "," "," "," "," "," "," "," ","MENA Highland Mixed"
"Area of land used","Exposure "," ","The highland mixed farming system falls under the Semiarid - subhumid agroecological zone covering an area of 74 million ha."," "," "," "," ","MENA Highland Mixed"
"Farmers engaged in agri system","Exposure "," "," "," "," "," "," ","MENA Highland Mixed"
"Risk to farmers of chronic poverty due to Climate Change 
","Risk"," ","Around 43 percent of the MENA region’s population live in rural areas, which in turn are highly affected by the poverty that results from exclusion from the region’s economic growth; 70 percent of the region’s poor currently live in rural areas and are largely dependent on agriculture for their livelihoods. There is a higher prevalence of rural poverty in the highland mixed farming system and household economies. Of these, small-scale farmers with limited access to irrigation sources and net food buyers are amongst the poorest in the region.","Lewis et al., 2018"," "," "," ","MENA Highland Mixed"
"Risk to farmers of food insecurity due to Climate Change","Risk"," ","While it is important to understand the impacts of climate change on small-scale farmers
to ensure they can transition out of poverty and hunger, there are also broader implications for the food security of those living in the region. With around 40 percent of the region’s overall food supply coming from imports, this region is highly dependent on international markets and is susceptible to the price fluctuations that are likely to arise as agricultural production globally becomes less predictable","Lewis et al., 2018; Marty, 2015"," "," "," ","MENA Highland Mixed"
"Risk to farmers of loss of livelihoods due to Climate Change ","Risk"," ","Income and employment may be lost as a result of more frequent droughts in rural areas, and to floods and sea surges in urban and coastal areas. Changes in temperature and precipitation patterns may result in damage to strategic economic sectors such as tourism or others with growth potential such as high-value-added agriculture","Dixon et al., 2020"," "," "," ","MENA Highland Mixed"
"Increase in average temperatures","Hazard","Temperature related","The MENA Region including countries with the rainfed mixed agrisystem, is one of the World’s most exposed regions to negative climate change impacts.  Heat extremes and water shortages are quite prevalent. With 4°C global warming the mean summer temperatures can increase by up to 8°C, water runoff could decrease by 75%, and land aridity could increase in many parts of the region by more than 60%. In particular vulnerable to negative climate change impacts is the rain fed agricultural production and livelihoods of poor farmers.","Waha et al., 2017","Temperature related"," "," ","MENA Rainfed Mixed"
"Increase in drought events","Hazard","Rainfall related","Drought is the most prevalent climate hazard in the agrisystem its impacts on livelihoods are severe and cause the highest human losses. Its effects include decreased water supplies, as well as loss of harvest and livestock. which, in turn, threaten food security and often cause widespread malnutrition.","ESCWA et al. 2017","Rainfall related"," "," ","MENA Rainfed Mixed"
"Increase in tropical cyclones/hurricanes","Hazard","Wind related","Heavy flood conditions also often follow tropical cyclones events, which are widespread in the vicinity of the Indian Ocean and Arabian Sea, and can have long-lasting impacts on coastal settlements and natural systems. ","ESCWA et al. 2017","wind related"," "," ","MENA Rainfed Mixed"
"Rising sea levels","Hazard","Maritime related","Countries in the region within the agrisystem are also particularly vulnerable to sea level rise due to climate change. About seven percent of the total population in MENA countries lives in areas where elevation is less than five metres above sea level and a large share of economic activities especially agriculture and population is concentrated in coastal areas which are exposed to increasing risks of flooding, inundation, land erosion and salinization. The effect of sea level rise could be extremely disruptive for climate-sensitive activities especially agriculture and fishing.","Borghesi and Ticci, 2019","Maritime related"," "," ","MENA Rainfed Mixed"
"Shorter growing season","Hazard","Rainfall related","The agrisystem is impacted by low rainfal period and higher temperatures which leads to shorter growing periods especially for the wheat value chain commodity.","Ferrise et al. 2013; Mougou et al. 2010.","Rainfall related"," "," ","MENA Rainfed Mixed"
"Increase in extreme heat (no. of hot days)","Hazard","Temperature related","The most immediate threat posed by climate change to the agrisystem, one that is in the forefront of climate adaptation efforts, is extreme heat. In extreme heat-prone regions such as the rainfed mixed farming system and the coastal communities  excessive temperatures that could push well into the 50-60°C range, coupled with humidity and sea level rise, the cumulative effect can be devastating to infrastructure and human populations. Extreme heat has direct implications for three important aspects of society that are relevant in the context of the farming system: public health, safety, and development.","Mahmoud, 2021","Temperature related"," "," ","MENA Rainfed Mixed"
"Decrease in average precipitation","Hazard","Rainfall related","The observational record for most countries in the North Africa and the Middle East where the farming system occurs, indicates an overall reduction in extreme precipitation events since the 1960s, despite a local positive trend over the Atlas mountains since the 1980s.","Donat et al., 2014","Rainfall related"," "," ","MENA Rainfed Mixed"
"Increase in extreme rainfall events","Hazard","Rainfall related","Extreme rainfall events recorded in the agrisystem have lead to flooding events which causes destrcution of infrastructure and agricultural produce in the farms.","ESCWA et al., 2017","Rainfall related"," "," ","MENA Rainfed Mixed"
"Increasingly erratic rainfall","Hazard","Rainfall related"," "," ","Rainfall related"," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
"Soil erosion","Impact","Biophysical","The rainfed farming system agricultural area is impacted by  soil erosion especially during rainstorms and erosion by wind on light, over-cultivated, exposed soils.","Dixon et al., 2001","Biophysical"," "," ","MENA Rainfed Mixed"
"Change in production zone suitability","Impact","Biophysical","Warmer and drier climate is projected to shift vegetation and agricultural zones northwards, e.g., by 75 km for 2090–2099 relative to 2000–2009 in a 4°C world (Evans, 2009). Ferrise et al. (2013) also projected a shift northward for olive plantations.","Evan, 2009; Ferrise et al., 2013","Biophysical"," "," ","MENA Rainfed Mixed"
"Shorter growing seasons","Impact","Biophysical","Lower rainfalls and higher temperatures will shorten growing periods for wheat in the farming system region by about two weeks by mid-century (2031-2050). The wheat growing period in Tunisia is expected to be shortened by 10 days for 1.3°C, by 16 days for 2°C, by 20 days for 2.5°C and by 30 days for 4°C warming.","Ferrise et al., 2013; Mougou et al.,2010.","Biophysical"," "," ","MENA Rainfed Mixed"
"Reduced crop productivity/failure","Impact","Biophysical","Most agricultural activities in the MENA region take place in the semi-arid climate zone, either close to the coast or in the highlands. Crop yields are expected to decline by 30 percent with 1.5-2°C warming without considering adaptation.","Waha et al., 2017","Biophysical"," "," ","MENA Rainfed Mixed"
"Reduced livestock productivity","Impact","Biophysical","Climate change impacts on livestock production through various pathways, such as, changes in the quantity and quality of available feeds, changes in the length of the grazing season, additional heat stress, reduced drinking water, and changes in livestock diseases and disease vectors. The vulnerability of livestock production systems to droughts was recently demonstrated in north-eastern Syria, where herders lost almost 85 percent of their livestock as a result of the recurring droughts between 2005 and 2010. ","Waha et al., 2017","Biophysical"," "," ","MENA Rainfed Mixed"
"Reduced groundwater tables","Impact","Biophysical","Ground water is the major source of water in the agrisystem and there is a substaincial reduction in ground water levels due to a combination of precipitation scarcity, high population growth and geographic concentration of the population. This is the most water-stressed area in the world.","Waha et al., 2017","Biophysical"," "," ","MENA Rainfed Mixed"
"Desertification","Impact","Biophysical","Climatic variations and human activities are the main driving factors of desertification in areas of the farming system. Deforestation for extensive agricultural activities in the vulnerable ecosystems of arid and semi-arid areas, which are thus strained beyond their capacity, coupled with increase in temperatures and reduced precipitation causes desertification","Waha et al., 2017","Biophysical"," "," ","MENA Rainfed Mixed"
"Land degradation","Impact","Biophysical","Poor farming practices, iland pollution and extreme weather particularly drought leads to land degradation. ","Dixon et al., 2001","Biophysical"," "," ","MENA Rainfed Mixed"
"Crop stress/damage/mortality","Impact","Biophysical","High temperatures causes heat stress leading to crop damage and failure. ","Waha et al., 2017","Temperature related"," "," ","MENA Rainfed Mixed"
"Water scarcity","Impact","Biophysical","Increase in drought events leads to water scarcity. ","ESCWA et al., 2017","Rainfall related"," "," ","MENA Rainfed Mixed"
"Increased flooding
","Impact","Biophysical"," "," "," "," "," ","MENA Rainfed Mixed"
"Unpredictable planting period","Impact","Biophysical"," "," "," "," "," ","MENA Rainfed Mixed"
"Damage to infrastructure","Impact","Biophysical"," "," "," "," "," ","MENA Rainfed Mixed"
"Riverine flooding","Impact","Biophysical"," "," "," "," "," ","MENA Rainfed Mixed"
"Reduced water quality","Impact","Biophysical"," "," "," "," "," ","MENA Rainfed Mixed"
"Reduced forage availability","Impact","Biophysical"," "," "," "," "," ","MENA Rainfed Mixed"
"Landslide events","Impact","Biophysical"," "," "," "," "," ","MENA Rainfed Mixed"
"Increase in soil water deficit","Impact","Biophysical"," "," "," "," "," ","MENA Rainfed Mixed"
"Biodiversity loss","Impact","Biophysical","Human activities such as competition for resources leads to biodiversity loss.","Waha et al., 2017","socioeconomic"," "," ","MENA Rainfed Mixed"
"Increase in migration","Impact","Socioeconomic","As a consequence of worsening extreme heat, drought and aridity conditions under climate change, deteriorating rural livelihoods associated with declining agricultural productivity will continue to contribute to migration flows, often to urban areas as already observed","Waha et al., 2017","socioeconomic"," "," ","MENA Rainfed Mixed"
"Competition for resources","Impact","Socioeconomic","The region could be heavily challenged by both rising food and water demand given its projected increase in population that may double by 2070. As a result, the regions already substantial import dependency could increase and thus its vulnerability to agricultural impacts well beyond its country borders.","Waha et al., 2017","socioeconomic"," "," ","MENA Rainfed Mixed"
"Conflict over resources","Impact","Socioeconomic","A severe and sustained pressure on resources could contribute to further social unrest in the already unstable political environment that currently characterizes parts of the region.","Waha et al., 2017","socioeconomic"," "," ","MENA Rainfed Mixed"
"Increase in food insecurity","Impact","Socioeconomic","Farmers in the agrisystem have traditionally coped with harsh climatic conditions, and climate change adds to the existing challenges. Most agricultural activities take place in the semiarid climate zones close to the coast or in the highlands, where rainfall and thus water availability are predicted to decline most strongly. Therefore, climate change impacts have important implications for farmers’ livelihoods, national economies, food security and poverty .","Al-Riffai and Breisinger 2012; Waha et al., 2017","socioeconomic"," "," ","MENA Rainfed Mixed"
"Increase in food imports","Impact","Socioeconomic","The major impact of water scacity prevailing in the areas of the farming system prevents  countries from producing all required food domestically and makes the region dependent on food imports.","Waha et al., 2017","socioeconomic"," "," ","MENA Rainfed Mixed"
"Increase in food prices","Impact","Socioeconomic","Increase in food importation due to poor poor productivity leads to increased foor prices. ","Waha et al., 2017","socioeconomic"," "," ","MENA Rainfed Mixed"
"Increase in women's workload","Impact","Socioeconomic","The region is facing unequal opportunities for women hence leading to increase in women workload.","Verner, 2012","Socioeconomic "," "," ","MENA Rainfed Mixed"
"Lack of willingness to invest in sustainable agricultural practices","Impact","Socioeconomic"," "," "," "," "," ","MENA Rainfed Mixed"
"Loss of income","Impact","Socioeconomic"," "," "," "," "," ","MENA Rainfed Mixed"
"Demographic pressure on land","Vulnerability","Human capital, gender and agricultural knowledge","A principal trend and issue concern the poor access to quality land faced by increasing numbers of small scale farmers.","Dixon et al., 2001","Human capacity; Governance; infrastructure"," "," ","MENA Rainfed Mixed"
"Unequal opportunities for women ","Vulnerability","Human capital, gender and agricultural knowledge","Women are becoming increasingly marginalised in the production process and their labour is being progressively displaced, as men dominate the mechanisation processes for all the main crops.","Dixon et al., 2001","Human capacity; technology; gender"," "," ","MENA Rainfed Mixed"
"High poverty levels 






","Vulnerability","Human capital, gender and agricultural knowledge","High poverty levels especially among the rural farmers is high due to the problem of water scarcity that impacts on agriculture which is their main source of livelihood. Poverty also affects the ability of the farmers to cope with climate change.","Al-Riffai and Breisinger, 2012","Human capacity, weather and environment. "," "," ","MENA Rainfed Mixed"
"Poor water use efficiency and management","Vulnerability","Human capital, gender and agricultural knowledge","Despite its extreme water scarcity, countries within the agrisystem and the MENA region consume more water per capita than the global average, with Arab residential water and energy markets among the most heavily subsidized in the world. Reevaluation and redesigning of irrigation, and water-harvesting practices to sustain a healthy agricultural sector must be improved where economically viable. ","Al-Riffai and Breisinger, 2012; Waha et al., 2017","Conservation agriculture
Climate-smart agriculture"," "," ","MENA Rainfed Mixed"
"Unsustainable natural resource use","Vulnerability","Human capital, gender and agricultural knowledge","The renewable natural resources on which smallholder farmers depend are increasingly being degraded, posing significant risks to natural resources. ","EcoMENA, 2021","Conservation Agriculture "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
"Inconsistencies in policy implementation","Vulnerability","Institutions and policies","There appears to be little commitment by many governments to supporting the sector - particularly the smaller farmers - through regulation of imports and specific support to poor farmers.","Dixon et al., 2001","Governance; institution and policy"," "," ","MENA Rainfed Mixed"
"Conflict prone area","Vulnerability","Institutions and policies","Social unrest and political instability is a characteristic of many part of the MENA region and this coupled with climate change impacts heavily on agricultural production.","Waha et al., 2017","Governance"," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
"Unstable commodity prices","Vulnerability","Economic, financial and markets","Water and land constraints in the agrisystem impacts on agricultural productivity forcing countries within the system to rely on imports making them also vulnerable to price shocks on the global markets and harvest failures in other world regions.","Waha et al., 2017","Finance; Institutions and policy"," "," ","MENA Rainfed Mixed"
"Low access to markets","Vulnerability","Economic, financial and markets","Low access to market is caused by heavy importation of food commodities due to low agricultural productivity. Increasing and diversifying exports of goods and services will allow countries in the agrisystem to accumulate foreign reserves, which allows for importing additional food in times of droughts and other crises.","Al-Riffai and Breisinger, 2012","Finance; Institutions and policy"," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
"High prevalence of land degradation","Vulnerability","Sensitivity/
susceptibility to harm","Land degradation is prevalent within the farming system due to increasing demographic pressure coupled with extreme climatic hazards such as droughts and floods that impact on existing natural resources.","Al-Riffai and Breisinger, 2012","Human capacity"," "," ","MENA Rainfed Mixed"
"Water scarce area","Vulnerability","Sensitivity/
susceptibility to harm","Countries within the farming system are some of the most water stressed countries in the world. High temperatures and low precipitation  is likely to result in further increased pressures on water resources and agriculture.","Waha et al., 2017","Institutions and policy; 
Technology; Infrastructure"," "," ","MENA Rainfed Mixed"
"High levels of deforestation","Vulnerability","Sensitivity/
susceptibility to harm","Mismanagement of natural resources allowing for heavy deforestation rates and forest fires for example in Syria further exacerbates the impacts of climate change and hinders mitigation strategies","Abumoghli and Goncalves, 2016","Governance; institution and policy; Technology; Infrastructure"," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
"High poverty levels 






","Vulnerability","Lack of capacity to cope and adapt","The prevalence of poverty is extensive among farmers in the system because of poor infrastructure, the degradation of natural resources, low rainfall and weak market linkages. Poverty also largely results from lack of access to resources, including inequitable sharing of water, food, and energy resources. Land management practices are often inefficient and many policies favor urban populations and the supply of cheap food instead of supporting rural development. Addressing these factors could considerably reduce the risk of climate change contributing to increased poverty.","Waha et al., 2017","Human capacity"," "," ","MENA Rainfed Mixed"
"Reliance on rainfed agriculture","Vulnerability","Lack of capacity to cope and adapt","Seventy percent of the region’s agriculture production is on rain-fed land. Taking into account that most of the land area receives less than 300 mm of annual rainfall and that the lower limit for rain-fed agriculture is between 200 and 300 mm annual rainfall, the agrisystem is highly vulnerable to temperature and precipitation changes, with associated consequences for food security and rural livelihoods.","Selvaraju, 2013","human capacity"," "," ","MENA Rainfed Mixed"
"Lack of irrigation infrastructure ","Vulnerability","Lack of capacity to cope and adapt","Reevaluation and redesigning of irrigation, and water-harvesting practices to sustain a healthy agricultural sector must be improved where economically viable to get “more crop per drop”. Irrigated crops are less affected by droughts; however, expanding irrigation is possible only to a limited extent, especially in Syria and all other countries in the MENA region, which have severely constrained water resources.","Al-Riffai and Breisinger, 2012","Human capacity: Institutions and policy; Technology; 
Research and development;
Infrastructure"," "," ","MENA Rainfed Mixed"
"Inadequate agri research and development","Vulnerability","Lack of capacity to cope and adapt","Agricultural sector in the region is vulnerable to inadequate agricultural research and development due to poor organisation of resources and lack of entrepreneurship. ","Dixon et al., 2020","Research and development; instituitons and policy"," "," ","MENA Rainfed Mixed"
"Dependent on a single crop type","Vulnerability","Lack of capacity to cope and adapt"," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
"Implement reforestation practices","Adaptation option","Natural capital","Reforestation projects in the countries within the agrisystem are an inexpensive and effective way of reducing air pollution, lowering temperatures by producing shade, improving health, and even raising property values. The return on investment (ROI) for tree planting is often more financially beneficial than other more costly investments, but ROI projections fluctuate when measuring effects in different areas.","EcoMENA, 2021","Agroforestry; farm level; community level."," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
"Invest in irrigation infrastructure","Adaptation option","Physical capital","The most important change leading to better water management is improving water efficiency in agricultural irrigation. Traditional water management techniques have an important role in many Middle East and North African (MENA) countries under the rainfed mixed farming system. Due to their efficiency, revitalized traditional techniques for irrigation management of scarce water resources have been suggested as a way to at least partially cope with the present water crises","EcoMENA, 2021","infrastructure, farm level; community level"," "," ","MENA Rainfed Mixed"
"Invest in water harvesting and storage infrastructure","Adaptation option","Physical capital","The region has coped with its water scarcity through a variety of means: abstraction of groundwater, water harvesting and storage, wastewater reuse.","Waha et al., 2017","infrastructure, farm level; community level"," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
"Diversify livelihoods","Adaptation option","Human capital","There are increasing attempts by farmers in the agrisystem to diversify crops in oorder to access a wider market and also involvement of individuals in substantial off-farm income generating activities, mostly from seasonal employment in the city.","Dixon et al., 2001","Farm-level; Community-level"," "," ","MENA Rainfed Mixed"
"Invest in agricultural research and development","Adaptation option","Human capital","Land reform programmes should be continued and with the active participation of small farmer groups, continuing research is needed on systems of land and water management including traditional techniques used in the region. More adaptive, systemic research is required, both agricultural and socio-economic, on crop-livestock integration and risk reduction, and the stability and sustainability of farming systems.","Dixon et al., 2001","Research and development; institution and policy; partnerships required"," "," ","MENA Rainfed Mixed"
"Implement efficient water management","Adaptation option","Human capital","In combination with other important water management actions, there is a need to identify economic incentives for improved water resource management and to develop communally based initiatives for the long-term management of water catchments - including the rehabilitation of terrace systems and the reintroduction of intercropping systems. Water scarcity is being addressed through a variety of means: abstraction of groundwater, water harvesting and storage, wastewater reuse, desalinization plants, and food imports. ","Dixon et al., 2001","Conservation agriculture; Climate-smart agriculture; Institutions and policy; Community-level; Partnership required"," "," ","MENA Rainfed Mixed"
"Build women's  capacity ","Adaptation option","Human capital","The success of adaptation measures such as efficient water management and land reforms will depend to a large extent upon strengthening the role of women in active partivipation fro example watershed resource management and restoration.","Dixon et al., 2001","Capacity building; Institutions and policy; Gender; community level; partnerships required; network dependent"," "," ","MENA Rainfed Mixed"
"Adopt post-harvest technologies","Adaptation option","Human capital","Connected with the need to diversify markets and improve livelioods, there is a place for the development of simple processing methods, direct marketing by producers, and storage facilities at strategic points to preserve and improve the quality of produce.","Dixon et al., 2001","Technology; farm level; community level; "," "," ","MENA Rainfed Mixed"
"Implement conservation agriculture practices","Adaptation option","Human capital","Adoption of conservation agriculture (CA) in the rainfed farming is an emerging dimension for recycling biomass into soil system and improving SOC stock in the surface layer","Srinivasarao et al., 2013","Conservation agriculture;
Climate-smart agriculture; farm level; community level"," "," ","MENA Rainfed Mixed"
"Build women's  capacity ","Adaptation option","Human capital","If rural women taking on new roles (due to migration of men to look for income) do not have the skills to generate productive livelihoods, as a result of discriminatory social norms and limited education opportunities, then they are at risk of falling into poverty. Promoting gender equity, by tackling both discriminatory norms and inequalities in access to resources, is thus a vital component of effective climate-change adaptation strategies","Verner, 2012","Gender; partnerships required; network dependent"," "," ","MENA Rainfed Mixed"
"Adopt drought tolerant varieties






","Adaptation option","Human capital","Scientific advancement in breeding more drought-resistant varieties will be crucial in the future of rainfed agriculture in the countries under the farming system. Investing in the development of drought-resistant seeds and encouraging farmers to adopt these seeds may mitigate adverse consequences on rainfed agriculture and safeguard farmers from drought-induced yield losses","Al-Riffai and Breisinger, 2012","Climate-smart agriculture; Research and development; Technology; farm level; community level"," "," ","MENA Rainfed Mixed"
"Capacity building on sustainable agricultural practices","Adaptation option","Human capital"," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
"Improve networking and knowledge exchange","Adaptation option","Social capital","Networking and knowledge exchange platforms can be enhanced at the community level to bring farmers together through extension services. Multistakeholder platfoms also known as innovation platforms or learning alliancess can be effective in networking and knowledge exchange by bringing together multiple stakeholders in the different sectors involved.","Mwongera and Gichuru, 2021","Capacity building; Institutions and policy; Community-level; Partnership required; network dependent"," "," ","MENA Rainfed Mixed"
"Build capacity on advocacy","Adaptation option","Social capital","capacity building on advocacy is crucial for example  through awareness among citizens on their rights and responsibilities related to water, illegal water connections and tampering with meter readings.","Al-Alaween et al., 2016","Capacity building; parnerships required; community level"," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
"Policy reform
","Adaptation option","Political capital ","Policies are required to control a range of actions and practices with major negative environmental impacts; these include frequent, deep ploughing, excessive use of pesticides and excessive water extraction for irrigation. Improved natural resource management, enterprise diversification and off-farm income opportunities should also be promoted.","Dixon et al., 2001","Policy-level; Institutions and policy; Partnership required"," "," ","MENA Rainfed Mixed"
"Develop policies for building climate change resilience","Adaptation option","Political capital ","Policies around food systems, water security and resilient natural capital is an effective climate-smart approach to agriculture and natural resource management in the countries within the agrisystem and is also instrumental to achieve food security and preserve biodiversity, while ensuring peace and stability.​","World Bank, 2022","Institutions and policy; policy level; parnerships required"," "," ","MENA Rainfed Mixed"
"Develop/improve early warning systems","Adaptation option","Political capital "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
" "," "," "," "," "," "," "," ","MENA Rainfed Mixed"
