"FS name",FS macro region,"From","Link type","To","Description"
"Maize-beans (Mesoamerica)",LAC,"Dependent on a single crop type","Is mitigated by","Plant multiple crop types","Maize intercropping, such as with faba beans in the milpa system of the Guatemalan highlands, provide mechanisms for interspecific root interactions where maize root exudates promote nodulation of the faba bean. Maize-faba bean intercrops are typically more efficient than their monocrops. "
"Maize-beans (Mesoamerica)",LAC,"High poverty levels 






","Is mitigated by","Diversify to livestock value chains","A key farm-level adaptation strategy involves the diversification of agriculture to increase food and income sources. For example, aqua-agro-silvo-pastoral systems can produce a wide range of products for local consumption as well as for market. This creates alternative livelihoods, which diminish household vulnerability to lower maize and bean production. Furthermore, improved integration of crops and animals can enhance nutrient cycling resulting in higher crop yields, better soil and water quality and increased biodiversity together with lower greenhouse gas emissions and increased carbon sequestration."
"Maize-beans (Mesoamerica)",LAC,"High poverty levels 






","Is mitigated by","Diversify livelihoods","Income diversification in rural areas is essential for lowering the vulnerability of rural communities, reducing migration and improving the quality of life of smallholder producers. Since poor farmers will be most vulnerable to decreases in maize and bean yields, they will need to adopt new livelihood options to generate additional sources of income. For example, farmers  growing arabica coffee may need to replace it with lower-value robusta coffee, cattle pastures or food crops. The accessibility of alternative livelihood options to smallholder farmers varies from country to country. "
"Maize-beans (Mesoamerica)",LAC,"Low access to agricultural extension services","Is mitigated by","Improve networking and knowledge exchange","A survey of 188 coffee farmers in Central America highlighted the need for technical support (requested by 40.4% of farmers)  and training (requested by 18% of farmers). In the same study, basic grain farmers were found have lower access to technical support than coffee farmers with only 13.1% of basic grain farmers having been visited by agronomists in the last two years, as opposed to 31.3% of coffee farmers. Improving farmer networking and knowledge exchange allows sustainable agricultural practices from one location to be transferred to others with similar climate and socio-economic conditions (regional cooperation)."
"Maize-beans (Mesoamerica)",LAC,"Low access to agricultural extension services","Is mitigated by","Improve access to agricultural extension services","A survey of 188 coffee farmers in Central America highlighted the need for technical support (requested by 40.4% of farmers)  and training (requested by 18% of farmers). In the same study, basic grain farmers were found have lower access to technical support than coffee farmers with only 13.1% of basic grain farmers having been visited by agronomists in the last two years, as opposed to 31.3% of coffee farmers. Strengthening of extension services is key for providing technical support to farmers on how to enhance their resilience to climate change. The strategies and practices of existing agricultural extension services should be reassessed. Strengthening the adaptive capacity of the most vulnerable groups should be prioritised but done in such a way as to encourage communities to generate their own solutions."
"Maize-beans (Mesoamerica)",LAC,"Limited uptake of modern technologies","Is mitigated by","Invest in agricultural research and development","Monitoring and evaluation strategies need to be designed for the transfer of agricultural technologies, so that bottlenecks to technology adoption can quickly be identified. More research is needed to identify technological constraints and to address them effectively."
"Maize-beans (Mesoamerica)",LAC,"Crop is highly susceptible to pests ","Is mitigated by","Apply integrated pest and diseases management","Integrated pest and disease management plans based on economic thresholds as well as technical knowledge should be identified to reduce yield losses. For example, in Guatemala, Honduras and El Salvador, optimised pest and disease control resulted in an average maize yield increase of 16% across all sites, but did not significantly improve bean yields overall. "
"Maize-beans (Mesoamerica)",LAC,"Crop is highly susceptible to diseases ","Is mitigated by","Apply integrated pest and diseases management","Integrated pest and disease management plans based on economic thresholds as well as technical knowledge should be identified to reduce yield losses. For example, in Guatemala, Honduras and El Salvador, optimised pest and disease control resulted in an average maize yield increase of 16% across all sites, but did not significantly improve bean yields overall. "
"Maize-beans (Mesoamerica)",LAC,"Low access to agricultural extension services","Is mitigated by","Establish farmer organisations","A survey of 188 coffee farmers in Central America highlighted the need for technical support (requested by 40.4% of farmers)  and training (requested by 18% of farmers). In the same study, basic grain farmers were found have lower access to technical support than coffee farmers with only 13.1% of basic grain farmers having been visited by agronomists in the last two years, as opposed to 31.3% of coffee farmers. Farmer organisations play an important role in fostering cooperation amongst farmers and in linking them to markets and extension services. "
"Maize-beans (Mesoamerica)",LAC,"Farmers engaged in agri system","Exposed to","Chronic poverty 
","Climate change impacts will translate into significant losses for the smallholder farmers whose livelihoods depend on maize and bean cultivation. Rural poverty is already high (>30% of the population in Nicaragua and Honduras, 25% in Guatemala, and 20% in El Salvador) and will be exacerbated by declining incomes from maize and bean crops."
"Maize-beans (Mesoamerica)",LAC," "," "," "," "
"Dryland mixed",MENA,"Decrease in average precipitation","Leads to","Change in production zone suitability","As the rainfed agricultural system is vulnerable to reduced precipitation, it is projected that the demand for irrigation will increase, and some areas will revert to rangeland."
"Dryland mixed",MENA,"Decrease in average precipitation","Leads to","Reduced crop productivity/failure","Dry conditions during planting cause crop failure due to a lack of water for seed germination. "
"Dryland mixed",MENA,"Increase in average temperatures","Leads to","Shorter growing season","Higher temperatures have shortened the growing season by ten days."
"Dryland mixed",MENA,"Increase in drought events","Leads to","Desertification","Desertification in the dryland mixed system is due to periods of prolonged drought and human exploitation of arid land. "
"Dryland mixed",MENA,"Increase in drought events","Leads to","Reduced crop productivity/failure","Intense and prolonged drought in 2007 and 2008 significantly impacted wheat and barley production in Syria, Iran and Iraq. "
"Dryland mixed",MENA,"Decrease in average precipitation","Leads to","Increase in soil water deficit","Winter crops are dependent on soil moisture which is negatively impacted by drought, declining rainfall patterns and increasing temperatures. "
"Dryland mixed",MENA,"Increase in average temperatures","Leads to","Increase in soil water deficit","Winter crops are dependent on soil moisture which is negatively impacted by drought, declining rainfall patterns and increasing temperatures. "
"Dryland mixed",MENA,"Increase in drought events","Leads to","Increase in soil water deficit","Winter crops are dependent on soil moisture which is negatively impacted by drought, declining rainfall patterns and increasing temperatures. "
"Dryland mixed",MENA,"Increase in drought events","Leads to","Reduced fodder availability","Rainfed cropping systems are particularly vulnerable to drought and water scarcity, leading to reductions in biomass production thereby affecting the quantity of livestock fodder available. "
"Dryland mixed",MENA,"Increase in drought events","Leads to","Reduced forage availability","Rainfed grazing systems are particularly vulnerable to drought and water scarcity, leading to reductions in biomass production and species composition thereby affecting the quantity and quality of livestock forage. With the recent drought events and overgrazing, forage availability is low and prices are increasing."
"Dryland mixed",MENA,"Increase in extreme heat (no. of hot days)","Leads to","Reduced crop productivity/failure","Climate change effects such as extreme heat are having adverse impacts on the agricultural sector in the Middle East and North Africa region."
"Dryland mixed",MENA,"Increase in drought events","Leads to","Reduced livestock productivity","Livestock production in the Middle East and North Africa drylands is constrained by drought events."
"Dryland mixed",MENA,"Increase in average temperatures","Leads to","Reduced crop productivity/failure","Crop yields are expected to decline by 30% in the region with 1.5–2˚C warming and up to 60% with 3–4 ˚C warming. Higher temperatures reduce grain yields because the crops mature earlier at higher temperatures, therefore shortening the critical growth period."
"Dryland mixed",MENA,"Increase in extreme heat (no. of hot days)","Leads to","Increase in heat stress","Heat stress in livestock is expected to worsen in the region as incidences of extreme heat increase. "
"Dryland mixed",MENA,"Increase in average temperatures","Leads to","Increase in diseases","Higher temperatures and changing rainfall patterns could cause the spread of vector-borne diseases, ticks, and macro-parasites, as well as the emergence of new diseases in livestock."
"Dryland mixed",MENA,"Increase in drought events","Leads to","Increase in diseases","Increases in drought incidences are likely to cause a rapid spread of livestock diseases due to forced to forced gatherings at water sources and areas with available forage. Furthermore, underweight livestock are more susceptible to diseases."
"Dryland mixed",MENA,"Increase in average temperatures","Leads to","Increase in pests ","Higher temperatures are expected to increase insect pest numbers. A 2˚C increase in average global surface temperatures could cause yield losses of 46% for wheat due to pests."
"Dryland mixed",MENA,"Increase in drought events","Leads to","Increase in pests ","Increased incidences of drought could cause sudden outbreaks of pests."
"Dryland mixed",MENA,"Increase in drought events","Leads to","Livestock mortalities","Recurring drought can cause livestock mortalities, for example, in Syria, herders lost almost 85% of their livestock between 2005 and 2010 as a result of drought."
"Dryland mixed",MENA,"Rising sea levels","Leads to","Saline intrusion","Coastal communities are increasingly exposed to enhanced erosion and saltwater intrusion into coastal aquifers due to rising sea levels."
"Dryland mixed",MENA,"Decrease in average precipitation","Leads to","Water scarcity","Due to regional warming and changes in precipitation patterns, water availability is projected to
decrease in most parts of the region throughout the twenty-first century."
"Dryland mixed",MENA,"Increase in average temperatures","Leads to","Reduced livestock productivity","Rising temperatures and heat stress reduce the feed intake of livestock leading to weight loss and lower meat and milk production. High temperatures also threaten livestock reproductive efficiency. Furthermore, higher temperatures are known to cause longer postpartum periods in female sheep and goats."
"Dryland mixed",MENA,"Decrease in average precipitation","Leads to","Competition for resources","As the rainfed agricultural system is vulnerable to reduced precipitation, it is projected that the demand and competition for water for irrigation will increase."
"Dryland mixed",MENA,"Decrease in average precipitation","Leads to","Increase in migration","Climate change has influenced migration patterns in the region and displacement is expected to increase as conditions become hotter and drier. By 2015, over six million refugees worldwide originated in the Middle East and North Africa (4.9 million from Syria alone), and the region accounted for 40% of the world’s Internally Displaced People."
"Dryland mixed",MENA,"Increase in average temperatures","Leads to","Increase in migration","Climate change has influenced migration patterns in the region and displacement is expected to increase as conditions become hotter and drier. By 2015, over six million refugees worldwide originated in the Middle East and North Africa (4.9 million from Syria alone), and the region accounted for 40% of the world’s Internally Displaced People."
"Dryland mixed",MENA,"Reduced crop productivity/failure","Leads to","Increase in food insecurity","Lower agricultural productivity will cause many dryland countries to become even more dependent on costly food imports increasing their vulnerability to changes in global market systems."
"Dryland mixed",MENA,"Reduced crop productivity/failure","Leads to","Increase in poverty","Land degradation causes reduced agricultural productivity and thereby enhances poverty."
"Dryland mixed",MENA," "," "," "," "
"Dryland mixed",MENA,"Increase in soil water deficit","Leads to","Reduced crop productivity/failure","Winter crops are dependent on soil moisture which is negatively impacted by drought, declining rainfall patterns and increasing temperatures. Dry conditions during planting cause crop failure due to a lack of water for seed germination. "
"Dryland mixed",MENA,"Increase in pests ","Leads to","Reduced crop productivity/failure","Damage to crops by agricultural pests results in a decline in yields."
"Dryland mixed",MENA,"Increase in pests ","Leads to","Reduced livestock productivity","Livestock pests directly reduce animal productivity as well as contribute to increasing production costs and/or missed marketing opportunities."
"Dryland mixed",MENA,"Increase in diseases","Leads to","Reduced livestock productivity","Increased outbreaks of livestock diseases affect animal health and reduce productivity."
"Dryland mixed",MENA,"Reduced livestock productivity","Leads to","Loss of income","Climate change hazards reduce livestock productivity (e.g. due to heat stress, pests and diseases, inadequate feed quality and quantity) resulting in income losses for farmers."
"Dryland mixed",MENA,"Livestock mortalities","Leads to","Loss of income","Drought and heat stress can increase livestock mortalities resulting in significant economic losses for farmers."
"Dryland mixed",MENA,"Reduced crop productivity/failure","Leads to","Increase in food insecurity","Reduced crop yields are expected to enhance regional food insecurity."
"Dryland mixed",MENA,"Loss of income","Leads to","Increase in poverty","Climate change threatens the viability of agriculture and rural livelihoods in the Middle East and North Africa region. Poor smallholder farmers in remote areas of the dryland mixed agricultural system are particularly vulnerable to increasing climate hazards and are at risk of chronic poverty. "
"Dryland mixed",MENA,"Reduced crop productivity/failure","Leads to","Loss of income","Climate change impacts on crop productivity are expected to reduce farmers' income levels and financial stability."
"Dryland mixed",MENA,"Desertification","Leads to","Reduced forage availability","Desertification, soil degradation and a resulting long-term loss of vegetation negatively impact forage availability."
"Dryland mixed",MENA,"Desertification","Leads to","Reduced crop productivity/failure","Desertification, soil degradation and a resulting long-term loss of vegetation negatively impact crop productivity."
"Dryland mixed",MENA,"Land degradation","Leads to","Reduced forage availability","Land degradation, reduced soil fertility and a long-term loss of vegetation cover negatively impact forage availability for livestock."
"Dryland mixed",MENA,"Land degradation","Leads to","Reduced crop productivity/failure","Land degradation in the Middle East and North Africa region significantly and negatively impacts crop productivity. "
"Dryland mixed",MENA,"Low adoption of modern technology and practices","Leads to","Reduced livestock productivity","Low adoption of modern technologies and practices limits agricultural productivity."
"Dryland mixed",MENA,"Low adoption of modern technology and practices","Leads to","Reduced crop productivity/failure","Low adoption of modern technologies and practices limits agricultural productivity."
"Dryland mixed",MENA,"Reduced forage availability","Leads to","Reduced livestock productivity","Livestock productivity is expected to decrease due to declining forage quality and quantity."
"Dryland mixed",MENA,"Reduced crop productivity/failure","Leads to","Reduced fodder availability","Climate change hazards that enhance aridity can greatly affect forage and crop yields and feed quality."
"Dryland mixed",MENA,"Reduced fodder availability","Leads to","Reduced livestock productivity","Livestock productivity is likely to be negatively impacted through decreased feed availability and quality."
"Dryland mixed",MENA,"Saline intrusion","Leads to","Reduced availability of fresh water","Saltwater intrusion threatens coastal regions by contaminating fresh water resources, reducing its productive and consumptive value."
"Dryland mixed",MENA,"Reduced availability of fresh water","Leads to","Reduced livestock productivity","In arid and semi-arid regions, the increased frequency of droughts is a challenge for sustaining water supply to livestock and feed production. Furthermore, high salt concentrations in water and feed reduce livestock feed intake and productivity."
"Dryland mixed",MENA,"Increase in heat stress","Leads to","Reduced livestock productivity","Heat stress negatively impacts animal welfare and productivity. Heat stress also affects livestock production through changes to fertility and susceptibility to disease."
"Dryland mixed",MENA,"Shorter growing season","Leads to","Reduced crop productivity/failure","Wheat yields in Tunisia have already declined as higher temperatures have shortened the growing season by ten days. "
"Dryland mixed",MENA,"Unsustainable land management practices","Leads to","Land degradation","Conventional tillage coupled with monocropping, limited recycling of crop residues, rangeland mismanagement such as overgrazing, unsustainable harvesting of fuelwood and increased water abstraction have contributed to reduced agricultural productivity and land degradation in the Middle East and North Africa region. "
"Dryland mixed",MENA,"Unsustainable land management practices","Leads to","Reduced crop productivity/failure","Unsustainable land management practices such as conventional tillage coupled with monocropping, limited recycling of crop residues, overgrazing, and unsustainable harvesting of fuelwood have contributed to land degradation and reduced crop productivity. "
"Dryland mixed",MENA,"Unsustainable land management practices","Leads to","Reduced livestock productivity","Rangeland mismanagement such as overgrazing has contributed to reduced livestock productivity and land degradation. "
"Dryland mixed",MENA,"Poor livestock management","Leads to","Reduced livestock productivity","Livestock productivity is adversely affected by poor management of animal health and feed. "
"Dryland mixed",MENA," "," "," "," "
"Dryland mixed",MENA,"Inadequate policy","Leads to","Land degradation","Government subsidies for cheap animal feed and the modification of land tenure and use rights have lead to a significant increase in sheep numbers and a loss of traditional land management tools contributing to land degradation. "
"Dryland mixed",MENA,"Weak land tenure ","Leads to","Reduced livestock productivity","Regulatory measures for access and use of land and water resources needs to be improved in the dryland mixed system. Unfair land tenure and use right allocations limit livestock production. "
"Dryland mixed",MENA," "," "," "," "
"Dryland mixed",MENA,"Low access to markets","Leads to","Loss of income","Income generated by livestock productivity in the Middle East and North Africa region is affected by inadequate marketing facilities and market information."
"Dryland mixed",MENA,"Low access to credit","Leads to","Reduced livestock productivity","Livestock productivity in the Middle East and North Africa region is affected by a lack of access to credit."
"Dryland mixed",MENA,"Large contributor to national/regional GDP","Leads to","Loss of livelihoods","The region is heavily dependent on agricultural production, for example, in Algeria, rangelands cover 39% of the country, support 38% of the human population and 48% of sheep units, and contribute about half of the country's GDP. A loss in productivity due to climate change will negatively affect rural livelihoods and household incomes. "
"Dryland mixed",MENA," "," "," "," "
"Dryland mixed",MENA,"High prevalence of land degradation","Leads to","Reduced crop productivity/failure","There is a high prevalence of degraded land due to wind and water erosion, a loss of biodiversity and unsustainable farming practices, which is adversely impacting agricultural productivity. Furthermore, intensive cultivation practices to feed growing populations exacerbates land degradation causing reduced agricultural productivity and poverty."
"Dryland mixed",MENA,"Unfavourable soil conditions","Leads to","Reduced crop productivity/failure","Farmed soils are severely degraded in the region, resulting in declines in productivity of 30%-35% of their potential. "
"Dryland mixed",MENA,"Water scarce area","Leads to","Reduced crop productivity/failure","The region is a water scarce area and projected increases in temperature and reduced precipitation will cause further declines in rainfed crop yields which already have below average productivity. By 2100, it is projected that total agricultural production in the region could decrease by up to 21% (2000 baseline). "
"Dryland mixed",MENA,"High prevalence of land degradation","Leads to","Increase in migration","Land degradation has led to land abandonment and increased migration to urban areas in the drylands of the Middle East and North Africa. "
"Dryland mixed",MENA,"Unsuitable crop varieties","Leads to","Reduced crop productivity/failure","Unsuitable wheat varieties are highly affected by water stress leading to decreased yields. Drought tolerant varieties can improve crop productivity and yield stability under soil moisture deficient conditions."
"Dryland mixed",MENA," "," "," "," "
"Dryland mixed",MENA,"Major source of employment","Leads to","Increase in poverty","Agriculture (both crops and livestock) is a critical source of employment in the region. The livelihoods of poor smallholder farmers in remote areas of the dryland mixed agricultural system are particularly vulnerable to climatic hazards, thereby increasing the likelihood of chronic poverty in rural areas."
"Dryland mixed",MENA,"Low access to agricultural extension services","Leads to","Reduced crop productivity/failure","Extension services in the Middle East and North Africa region are typically inadequate, they do not meet the needs of farmers and therefore have limited impact on agricultural productivity."
"Dryland mixed",MENA,"Low access to agricultural extension services","Leads to","Reduced livestock productivity","Extension services in the Middle East and North Africa region are typically inadequate, they do not meet the needs of farmers and therefore have limited impact on agricultural productivity."
"Dryland mixed",MENA,"Limited off-farm income opportunities","Leads to","Increase in poverty","The adaptive capacity of smallholder farmers is affected by limited opportunities for off-farm income generation. "
"Dryland mixed",MENA,"Conflict prone area","Leads to","Increase in poverty","Post-war geopolitical complexities such as migration compound (and in some cases are caused by) the negative impacts of climate change, thereby enhancing regional poverty."
"Dryland mixed",MENA,"Reliance on rainfed agriculture","Leads to","Loss of income","High risk rainfed cropping and deteriorating environmental conditions negatively impact the incomes of smallholder farmers and herders. "
"Dryland mixed",MENA,"Low level of education","Leads to","Low adoption of modern technology and practices","The complexity of conservation agriculture systems pose a challenge for uneducated farmers to comprehend and adopt."
"Dryland mixed",MENA,"Lack of access to improved crop varieties","Leads to","Reduced crop productivity/failure","The development and adoption of crop varieties resilient to drought, pests and diseases could improve yields and enhance resilience to climate change. "
"Dryland mixed",MENA,"Low access to markets","Leads to","Loss of income","There is potential to increase livestock production and associated income in the region through improved marketing facilities and better access to market information. "
"Dryland mixed",MENA," "," "," "," "
"Dryland mixed",MENA,"Unsustainable land management practices","Is mitigated by","Undertake crop rotation","Crop rotation with legumes enhances soil nitrogen content reducing the need for nitrogen-based fertilisers and increases income. For example, the adoption of faba bean-wheat rotations in Morocco's rainfed areas resulted in a two-year average gross margin 48% higher than wheat monocropping.  "
"Dryland mixed",MENA,"Unsustainable land management practices","Is mitigated by","Plant multiple crop types","In intercropping, the main cereal and a secondary crop are cultivated at the same time and in close proximity to each other. This enables a more efficient use of water and soil nutrients. Relay cropping with a combination of secondary crops (lentil/bean, lentil/chickpea, lentil/quinoa and lentil/onion) in Morocco increased farm revenues per hectare more than the common wheat-lentil system."
"Dryland mixed",MENA,"Unsustainable land management practices","Is mitigated by","Provide incentives for sustainable land management practices","To increase the productivity of dryland wheat-based systems incentive mechanisms should be developed to encourage farmers to adopt no-tillage and legume-based rotations."
"Dryland mixed",MENA,"Poor livestock management","Is mitigated by","Adopt hardy livestock breeds","Adopt drought and heat tolerant small stock breeds for improved productivity. "
"Dryland mixed",MENA,"Unsustainable land management practices","Is mitigated by","Implement conservation agriculture practices","Conservation agriculture was found to have several benefits to agricultural production in the Middle East and North Africa region including higher and more stable yields and profits; reduced risk of crop loss, labour requirements and soil erosion; and improved soil moisture and quality. "
"Dryland mixed",MENA,"Poor livestock management","Is mitigated by","Improve veterinary care","Capacity building by extension services on good animal management practices and improved access to veterinary services would improve livestock productivity in the agricultural system. "
"Dryland mixed",MENA,"Inadequate policy","Is mitigated by","Policy reform
","Current policy encourages the modernisation of agriculture, involving the promotion of large intensively cultivated monoculture on private farms. Small farms are typically excluded from policy and subsequently do not benefit from public support or bank loans, thereby restricting their access to modern technologies and improved practices. There is a need for policy reform that supports smallholder farmers. "
"Dryland mixed",MENA,"Inadequate policy","Is mitigated by","Invest in agricultural research and development","Evidence generated by agricultural research needs to inform policy and institutional reforms for climate-smart reconstruction, resilience and stabilisation. "
"Dryland mixed",MENA,"Inadequate policy","Is mitigated by","Develop policies for building climate change resilience","Evidence generated by agricultural research needs to inform policy and institutional reforms for climate-smart reconstruction, resilience and stabilisation. Resource management planning activities should be encouraged and adopted by the provincial and district planning bodies. Such bodies should include diverse stakeholder membership and inclusive engagement."
"Dryland mixed",MENA," "," "," "," "
"Dryland mixed",MENA,"Low access to credit","Is mitigated by","Policy reform
","Small farms are typically excluded from policy and so have limited access to credit facilities, thereby restricting their adoption of modern technologies and improved practices. There is a need for policy reform that supports smallholder farmers. "
"Dryland mixed",MENA," "," "," "," "
"Dryland mixed",MENA,"Water scarce area","Is mitigated by","Invest in water harvesting and storage infrastructure","Water harvesting and storage practices and technologies can be used to supply irrigation and water for livestock in times of scarcity."
"Dryland mixed",MENA,"Water scarce area","Is mitigated by","Implement efficient water management","Capacity building by extension services on efficient water management could improve farmers' resilience in the face of increasing drought events and decreasing precipitation patterns."
"Dryland mixed",MENA,"Unsuitable crop varieties","Is mitigated by","Adopt disease tolerant varieties","Barley is affected by over 250 pathogens, one of the worst being powdery mildew which causes
yield losses of up to 50%. Resistance breeding and adoption of improved varieties by farmers is an economically effective and environmentally friendly method of controlling the spread of the pathogen."
"Dryland mixed",MENA,"Unsuitable crop varieties","Is mitigated by","Adopt drought tolerant varieties






","The development and adoption of drought tolerant varieties could enhance farmers' resilience in the face of increasing drought events and decreasing precipitation patterns."
"Dryland mixed",MENA,"Unfavourable soil conditions","Is mitigated by","Implement conservation agriculture practices","The quality of soils can be improved through conservation agriculture practices such as no tillage, mulching, organic fertilisers from integrated livestock-cropping systems, cover crops, and planting of trees. "
"Dryland mixed",MENA,"High prevalence of land degradation","Is mitigated by","Plant trees/shrubs for windbreaks","Wind erosion can be prevented by planting trees and shrubs as windbreaks. "
"Dryland mixed",MENA," "," "," "," "
"Dryland mixed",MENA,"High poverty levels 






","Is mitigated by","Improve opportunities for off-farm income generation","There is scope for poverty reduction through improved access to off-farm income generation."
"Dryland mixed",MENA,"High poverty levels 






","Is mitigated by","Land tenure reform","There is scope for poverty reduction through better regulatory measures to secure smallholder farmers’ access to land, water and technology."
"Dryland mixed",MENA,"Low access to agricultural extension services","Is mitigated by","Improve access to agricultural extension services","Extension services need to improve dryland farmers’ access to improved crop varieties, build their capacities in conservation agriculture practices, reinstall traditional water management techniques, and promote intercropping and the application of appropriate technologies."
"Dryland mixed",MENA,"Inadequate agri research and development","Is mitigated by","Invest in agricultural research and development","Regional climate change research is lacking, but can be improved through institutional collaboration, network development, database building and capacity development. The evidence generated needs to inform policy and institutional reforms for climate-smart reconstruction, resilience and stabilisation. Research and development need to be participatory, involving smallholder farmers and women in particular. There is a lack of data on rangeland livestock resources and pastoralist herds."
"Dryland mixed",MENA,"Conflict prone area","Is mitigated by","Policy reform
","There is potential to reduce conflict in the region by strengthening institutions and improving natural resource management, such as frameworks for effective water management."
"Dryland mixed",MENA,"Low level of education","Is mitigated by","Improve access to agricultural extension services","Low levels of education in the older generations of farmers in the region and the associated low uptake of modern technologies and practices can be improved through access to agricultural extension services and demonstration plots. "
"Dryland mixed",MENA,"Farmers engaged in agri system","Exposed to","Loss of livelihoods ","Climate change threatens the viability of agriculture and rural livelihoods in the Middle East and North Africa drylands.  "
"Dryland mixed",MENA,"Farmers engaged in agri system","Exposed to","Food insecurity","Food security amongst the population of the dryland mixed system is poor, with a heavy dependence on food imports, and is expected to worsen with climate change."
"Dryland mixed",MENA,"Farmers engaged in agri system","Exposed to","Chronic poverty 
","Poor smallholder farmers in remote areas of the dryland mixed agricultural system are particularly vulnerable to increasing climate hazards and are at risk of chronic poverty. "
"Highland Mixed",MENA,"Decrease in average precipitation","Leads to","Reduced crop productivity/failure","Decreased average precipitation leads to loss of soil moisture content and redcued water supply leading to reduced crop productivity."
"Highland Mixed",MENA,"Increase in extreme rainfall events","Leads to","Increased flooding
","increased flooding events occur after intense and short-duration rainstorm
events, causing severe damage to infrastructure and often leading to human losses"
"Highland Mixed",MENA,"Increase in average temperatures","Leads to","Reduced crop productivity/failure","Productivity of certain crops and livestock reduces with increased temperature conditions beyond the required scale. With increasing temperatures in the agrisystem, productivity is likely to be further impacted."
"Highland Mixed",MENA,"Increase in average precipitation","Leads to","Increased flooding
","Recently, extreme and frequent flash floods have occurred in most of the MENA arid zones, resulting in significant economic and property losses."
"Highland Mixed",MENA,"Increase in drought events","Leads to","Water scarcity","Its effects include decreased water supplies, as well as loss of harvest and livestock, which, in turn, threaten food security and often cause widespread malnutrition. "
"Highland Mixed",MENA,"Increasingly erratic rainfall","Leads to","Unpredictable planting period","Many farmers in the region depend on rainfall especially in the rural areas and an increase in erratic rainfall patterns impacts on farmers ability to rely on the traditional planiting periods due to shifting onset of rains."
"Highland Mixed",MENA,"Rising sea levels","Leads to","Increased flooding
","The World Bank declared in 2016 that the MENA region is among the most vulnerable places on earth to rising sea levels. Forecasting a 0.5-metre rise by 2099, its report warned that ""low-lying coastal areas in Tunisia, Qatar, Libya, UAE, Kuwait and particularly Egypt are at particular risk"". As sea levels rise, high waters are flooding basements of buildings leading to fatal collapses."
"Highland Mixed",MENA,"Increase in strong winds","Leads to","Reduced crop productivity/failure","Strong winds leads to crop damage hence leading to reduced production."
"Highland Mixed",MENA,"Decrease in average precipitation","Leads to","Water scarcity"," Climate change and decreased precipitation will reduce internal renewable water, which refers to rivers and aquifers leading to water scarcity."
"Highland Mixed",MENA,"Increase in extreme rainfall events","Leads to","Soil erosion","Climate projections suggest that rainfall intensity will increase in Middle East and North Africa, which is likely to increase soil erosion."
"Highland Mixed",MENA,"Increase in average temperatures","Leads to","Crop stress/damage/mortality","Rising temperatures leads to crop stress/damage , causing poor production which leads to food insecurity , especially those in rural areas and urban peripheries, migrants and refugees, informal sector workers, and other vulnerable communities. "
"Highland Mixed",MENA,"Increase in average temperatures","Leads to","Livestock mortalities","Rising temperatures and their pernicious effects on health, especially livestock mortality rates. "
"Highland Mixed",MENA,"Increase in average precipitation","Leads to","Unpredictable planting period","Increased precipitation causes that heavy rainfalls that leads to unpredictable planting periods."
"Highland Mixed",MENA,"Rising sea levels","Leads to","Soil salinisation","The MENA region is also one of the most vulnerable regions to rising sea levels caused by climate change; according to some studies, the mean global sea level is set to rise 30–122 centimeters (1 to 4 feet) by the end of the century. When sea levels rise, seawater can intrude into coastal aquifers and wells, thus salinizing the water there and devastating littoral agricultural communities."
"Highland Mixed",MENA,"Rising sea levels","Leads to","Coastal inundation","Rising sea level leads to inundation of coastal areas makinge some waterfront cities and towns in the MENA region uninhabitable, adding to economic and migration-related stresses on already beleaguered governments."
"Highland Mixed",MENA,"Increasingly erratic rainfall","Leads to","Landslide events","Flash floods caused by erratic rainfalls leads to landslide events. "
"Highland Mixed",MENA,"Increasingly erratic rainfall","Leads to","Increased flooding
"," Flash floods in arid or semi-arid regions are often generated by erratic rainfalls in mountainous areas, where huge water volumes are accumulated."
"Highland Mixed",MENA,"Increase in average temperatures","Leads to","Desertification","Rising temperatures and decreasing water resources will accelerate the rate of desertification in the region, even though climate change by itself is not the sole driver for this and other forms of soil degradation and ecological depletion, which have been features of the MENA region since well before the industrial age."
"Highland Mixed",MENA,"Increase in extreme rainfall events","Leads to","Damage to infrastructure","Heavy rainfall leads to flooding that has emerged as one of the most frequent environmental hazards in the MENA region. Increasing instances of heavy rainfall events in towns and cities, have caused significant damage to infrastructure. "
"Highland Mixed",MENA,"Rising sea levels","Leads to","Damage to infrastructure","In case of Alexandria, Egypt, a 0.5 meter rise would leave more than 2 million people displaced, with $35 billion in losses in land, property, and infrastructure, as well as incalculable losses of historic and cultural assets."
"Highland Mixed",MENA,"Increase in average precipitation","Leads to","Soil erosion","Increased in average precipitation leads to soil erosion, and an increase in flood risk due to heavy rains."
"Highland Mixed",MENA,"Increase in extreme rainfall events","Leads to","Livestock mortalities","Flooding due to heavy rainfalls , have caused loss of life and increase livestock mortalities. "
"Highland Mixed",MENA,"Increase in extreme rainfall events","Leads to","Loss of income","Extreme rainfall events experienced in the area cause disasters such as floodng that reign havoc and destroy infrastrucutre and agricultural land leading to "
"Highland Mixed",MENA,"Increase in average temperatures","Leads to","Increase in food insecurity","The relationship between increasing temperatures and increase in food secutry is decribed by reduced crop and livvestock yields."
"Highland Mixed",MENA,"Decrease in average precipitation","Leads to","Increase in food insecurity","Changing precipitation patterns, rising temperatures and more extreme weather contributed to mounting food insecurity in the region."
