ID,"Label","Type","Type-1","Type-2","Tags","Description"
911,"Adopt drought tolerant varieties","MENA Rainfed Mixed","Adaptation option","Human capital","Climate-smart agriculture; Research and development; Technology; farm level; community level","Scientific advancement in breeding more drought-resistant varieties will be crucial in the future of rainfed agriculture in the countries under the farming system. Investing in the development of drought-resistant seeds and encouraging farmers to adopt these seeds may mitigate adverse consequences on rainfed agriculture and safeguard farmers from drought-induced yield losses"
912,"Capacity building on sustainable agricultural practices","MENA Rainfed Mixed","Adaptation option","Human capital",,
913,"Improve networking and knowledge exchange","MENA Rainfed Mixed","Adaptation option","Social capital","Capacity building; Institutions and policy; Community-level; Partnership required; network dependent","Networking and knowledge exchange platforms can be enhanced at the community level to bring farmers together through extension services. Multistakeholder platfoms also known as innovation platforms or learning alliancess can be effective in networking and knowledge exchange by bringing together multiple stakeholders in the different sectors involved."
914,"Build capacity on advocacy","MENA Rainfed Mixed","Adaptation option","Social capital","Capacity building; parnerships required; community level","capacity building on advocacy is crucial for example  through awareness among citizens on their rights and responsibilities related to water, illegal water connections and tampering with meter readings."
915,"Policy reform","MENA Rainfed Mixed","Adaptation option","Political capital ","Policy-level; Institutions and policy; Partnership required","Policies are required to control a range of actions and practices with major negative environmental impacts; these include frequent, deep ploughing, excessive use of pesticides and excessive water extraction for irrigation. Improved natural resource management, enterprise diversification and off-farm income opportunities should also be promoted."
916,"Develop policies for building climate change resilience","MENA Rainfed Mixed","Adaptation option","Political capital ","Institutions and policy; policy level; parnerships required","Policies around food systems, water security and resilient natural capital is an effective climate-smart approach to agriculture and natural resource management in the countries within the agrisystem and is also instrumental to achieve food security and preserve biodiversity, while ensuring peace and stability.​"
917,"Develop/improve early warning systems","MENA Rainfed Mixed","Adaptation option","Political capital ",,
918,"Target niche markets","MENA Rainfed Mixed","Adaptation option","Financial capital","Finance; Institutions and policy; community level; parnerships requrired; network dependent","There would appear to be a place for the development of niche (e.g. ethnic) and organic food production for international markets, e.g. olives, vines, pistachio, fruits, raisins, dates, spices, herbs and vegetables. Assistance with market entry is needed for small farmer groups."
919,"Farmers engaged in agri system","MENA Rainfed Mixed","Exposure ",,"Socioeconomic","Many farms are intensively capitalised with a high level of inputs, and farmers are very sensitive to market opportunities. There are a number of specialised dairy and poultry enterprises within the system. In the drier areas, cereals become more dominant and there is often a greater interdependence among farming families who frequently share resources and equipment. Farm systems are diversified and there is a seasonal interaction with livestock (mainly sheep and goat) owners in the use of crop residues and other fodder. "
920,"Area of land used","MENA Rainfed Mixed","Exposure ",,"Socioeconomic","The total are under the farming system that is expsed to climatic hazards and demographic pressures is 17m ha"
921,"Risk to farmers of food insecurity due to Climate Change","MENA Rainfed Mixed","Risk",,,
922,"Risk to farmers of loss of livelihoods due to Climate Change ","MENA Rainfed Mixed","Risk",,,
923,"Risk to farmers of chronic poverty due to Climate Change ","MENA Rainfed Mixed","Risk",,,
924,"Increase in average temperatures","SA Rainfed Mixed","Hazard","Temperature related","Temperature related","The region has experienced increased average annual temperatures by 0.06–0.08°C per decade (1901–2013), with substantially stronger warming of 0.14–0.25°C per decade over the last 30 years."
925,"Increase in extreme rainfall events","SA Rainfed Mixed","Hazard","Rainfall related","Rainfall related","There is an increased in the frequency and intensity of heavy precipitation events. However, there is lack of agreement on overall precipitation trends – global data show no change from 1901–2013 and national data show reduced precipitation in areas of central India."
926,"Rising sea levels","SA Rainfed Mixed","Hazard","Maritime related","Maritime related","Rise in sea levels over the last 50 years, ranging from 0.8–1.3 mm per year (west coast) to 5.2 mm per year (Bay of Bengal)"
927,"Increase in drought events","SA Rainfed Mixed","Hazard","Rainfall related","Rainfall related","The northwestern region of India is projected to see an increase in droughts in the future and eastern India is expected to see an increase in the length of dry spells. By 2030, it is estimated that the agricultural losses in India will be over $7 billion and affect 10% of the populations’ income, but this estimate could be reduced by 80% if climate resilience and adaptation policies are employed."
928,"Increase in extreme rainfall events","SA Rainfed Mixed","Hazard","Rainfall related","Rainfall related","Floods are on average the greatest source of annual losses to disaster in India, costing an estimated $7 billion every year (UNISDR, 2014). During the 20th century, flood hazard increased across a majority of India. The implications of the general trend towards more intense extreme precipitation events are serious for potential future flood extent."
929,"Increase in tropical cyclones/hurricanes","SA Rainfed Mixed","Hazard","Wind related","Wind related","Cyclone activity makes a large contribution to disaster risk in India, notably along the east coast. he 1999 cyclone “Orissa” caused over 10,000 people to lose their lives, and overwhelmed and damaged buildings, lifeline infrastructure, and economic assets along many coastal districts. 86% of all deaths from tropical cyclones are accounted for in India and Bangladesh."
930,"Increase in extreme heat (no. of hot days)","SA Rainfed Mixed","Hazard","Temperature related","Temperature related","The region regularly experiences some of the world’s highest maximum temperatures, with an average monthly maximum of around 30°C and an average maximum of 36°C."
931,"Increasingly erratic rainfall","SA Rainfed Mixed","Hazard","Rainfall related",,
932,"Reduced crop productivity/failure","SA Rainfed Mixed","Impact","Biophysical","Biophysical","Increase in temperatures in the region have impacted on the productivity of a number of crops for example In the fertile Indo-Gangetic Plains, an area that produces 14–15 percent of the global wheat yield, a 50 percent reduction in wheat yield due to heat stress is projected in the most productive areas by 2050."
933,"Shift in growing season","SA Rainfed Mixed","Impact","Biophysical","Biophysical","Climate change may shift the boundary of the farming-pastoral regions in northern high-altitude parts of the Indian subcontinent. A shift to more dryland ecosystems due to global warming may increase the area for farming and livestock production (due to reduced frost and cold damage), but could also increase the risk of desertification"
934,"Soil erosion","SA Rainfed Mixed","Impact","Biophysical","Biophysical","Climate change poses risks to soil in the region, the most fundamental component of terrestrial ecosystems. Research suggests that a large proportion of India’s land surface is already experiencing processes which lead to land degradation.  While land management practices play a very large role, climate change is likely to further to exacerbate these issues, particularly through dryland expansion and desertification processes. India’s central regions where the rainfed mixed system is dominant are most at risk"
935,"Reduced livestock productivity","SA Rainfed Mixed","Impact","Biophysical","Biophysical","Increased heat stress impact on livestock rearing, affecting both productivity levels and the viable range of species and varieties"
936,"Leaching of soil nutrients","SA Rainfed Mixed","Impact","Biophysical","Biophysical","Flooding which is the main hazard impacting the agriculture system causes leaching of soil nutrients where the running surface water carries the nutrients downward (eluviated) and are generally redeposited (illuviated) in a lower layer."
937,"Land degradation","SA Rainfed Mixed","Impact","Biophysical","Biophysical","Occurrence of extreme weather events over a long period of time in the region has exercebated land degradtion including desertification"
938,"Water scarcity","SA Rainfed Mixed","Impact","Biophysical","Biophysical","water scarcity caused by a decrease in average precipitation impacts the region and influences a shift in income generating activities."
939,"Increase in soil water deficit","SA Rainfed Mixed","Impact","Biophysical","Biophysical","India’s southern and central zones face maximum exposure to extreme drought events. The southern zone is also the most sensitive to extreme drought events as it has shown the most change in soil moisture levels since the 2005s"
940,"Reduced water quality","SA Rainfed Mixed","Impact","Biophysical","Biophysical","Changes in key climate variables; namely temperature, precipitation and humidity, may have significant long term implications for the quality and quantity of water. The possible impacts of climate change on the water resources of the river basins of India have been assessed using the hydrologic model SWAT (Soil and Water Assessment Tool)"
941,"Increase in diseases","SA Rainfed Mixed","Impact","Biophysical","Biophysical",
942,"Crop stress/damage/mortality","SA Rainfed Mixed","Impact","Biophysical","Biophysical",
943,"Reduced groundwater tables","SA Rainfed Mixed","Impact","Biophysical","Biophysical",
944,"Waterlogging","SA Rainfed Mixed","Impact","Biophysical","Biophysical",
945,"Flash floods","SA Rainfed Mixed","Impact","Biophysical","Biophysical",
946,"Increased flooding","SA Rainfed Mixed","Impact","Biophysical","Biophysical",
947,"Unpredictable planting period","SA Rainfed Mixed","Impact","Biophysical","Biophysical",
948,"Change in production zone suitability","SA Rainfed Mixed","Impact","Biophysical","Biophysical",
949,"Reduced produce quality","SA Rainfed Mixed","Impact","Biophysical","Biophysical",
950,"Delays in transportation","SA Rainfed Mixed","Impact","Biophysical","Biophysical",
951,"Desertification","SA Rainfed Mixed","Impact","Biophysical",,
952,"Coastal inundation","SA Rainfed Mixed","Impact","Biophysical",,
953,"Damage to infrastructure","SA Rainfed Mixed","Impact","Biophysical","Biophysical",
954,"Increase in post-harvest losses","SA Rainfed Mixed","Impact","Socioeconomic","Socioeconomic","Poor road infrastructure coupled by flooding events especially in the rural areas limit the transportation of produce to the markets in time leading to post harvest losses"
955,"Lack of willingness to invest in sustainable agricultural practices","SA Rainfed Mixed","Impact","Socioeconomic","socioeconomic","The rainfed mixed farming system is predominantly subsistence and is faced with a lack of willingness to invest in sustainable agricultural practices influnced by lack of resources and overall high poverty levels"
956,"Increase in food insecurity","SA Rainfed Mixed","Impact","Socioeconomic","socioeconomic",
957,"Dependence on food aid","SA Rainfed Mixed","Impact","Socioeconomic","socioeconomic",
958,"Loss of income","SA Rainfed Mixed","Impact","Socioeconomic","socioeconomic",
959,"Increase in malnutrition","SA Rainfed Mixed","Impact","Socioeconomic","socioeconomic",
960,"Competition for resources","SA Rainfed Mixed","Impact","Socioeconomic","socioeconomic",
961,"Increase in migration","SA Rainfed Mixed","Impact","Socioeconomic","socioeconomic",
962,"Increase in food imports","SA Rainfed Mixed","Impact","Socioeconomic","socioeconomic",
963,"High poverty levels ","SA Rainfed Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity; finance","A large proportion of the rural population in the Rainfed-Mixed Farming System lives in chronic poverty, aggravated by periodic drought-induced severe transient poverty. The persistent poverty rates in the region include 25 percent in rural areas and 14 percent in urban areas."
964,"Reliance on rainfed agriculture","SA Rainfed Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity; Technology; Infrastrcuture","The rainfed mixed farming system faces relatively high levels of risk due to overdependence on rainfall as a water source for agriculture."
965,"Demographic pressure on land","SA Rainfed Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity; governance; ; institution and policy","Human action impacts landscape attributes (land use and land cover, soil moisture, groundwater, slope, and elevation, among others) by disrupting physical processes. This alters the frequency and intensity of extreme events. An analysis by CEEW found that the Indian subcontinent has witnessed more than 478 extreme events since 1970 and has experienced a spurt in their frequency after 2005."
966,"Limited uptake of modern technologies","SA Rainfed Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity; finance; institution and policy; Technology","Limited uptake of modern technologies in the region due to small scale subsistence farming is a major factor that increases the vulnerabilty of farmers to climate hazards."
967,"Demographic pressure on land","SA Rainfed Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity; governance; Institution and policy","Projections suggest that densely populated regions will be more prone to droughts than other regions, and that the frequency of droughts is likely to increase "
968,"Unsustainable natural resource use","SA Rainfed Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity; governance; Institution and policy"," The region has a high share of income from natural resources (agriculture and allied services) which put pressure on the natural resources."
969,"Inability to interpret climate information","SA Rainfed Mixed","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity","The climate information (CI) provided to smallholder farmers through forecasts in most cases is too general (untailored), with much use of technical terms which farmers find difficult to understand and act on. As a result, farmers fail to properly apply the necessary coping strategies meant to reduce the risk of crop failure and deaths of livestock."
970,"Poor water use efficiency and management","SA Rainfed Mixed","Vulnerability","Human capital, gender and agricultural knowledge",,
971,"Weak land tenure ","SA Rainfed Mixed","Vulnerability","Institutions and policies","Governance; institutions and policy","Land tenure is often an issue and farmers may not have sufficiently clear titles to their land to be able to use it as collateral for obtaining institutional credit. "
972,"Inadequate climate information services","SA Rainfed Mixed","Vulnerability","Institutions and policies",,
973,"Lack of access to risk insurance","SA Rainfed Mixed","Vulnerability","Economic, financial and markets","Finance, institutions and policy","Crop insurance helps farming households mitigate losses caused by climate risks. This enhances their adaptive capacity . The risk and insurance market to promote adaptation to climate change in the agriculture sector is still not fully developed in South-Asian countries "
974,"High prevalence of land degradation","SA Rainfed Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""","Governance; institutions and policy; infrastructure","The region has a long history of intensive agriculture, which has led to substantial resource degradation in some locations"
975," ""High disease prevalence""","SA Rainfed Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""","Pests and diseases","There is an increase in epidemic of diseases and increased pest infestation"
976,"Unfavourable soil conditions","SA Rainfed Mixed","Vulnerability"," ""Sensitivity/susceptibility to harm""","Technology; research and development; infrastructure; Weather and environment","Soil moisture level is also used to estimate and project flood events, as there is a positive correlation between rainfall and soil moisture content. Indeed, high initial soil moisture content can double the peak of a flood, and low moisture can decrease its impact. Our analysis suggests that abrupt changes in soil moisture were observed between 2005 and 2019."
977," ""Lack of irrigation infrastructure ""","SA Rainfed Mixed","Vulnerability","Lack of capacity to cope and adapt","Human capacity; infrastructure","The system is not supported by any large irrigation system, but in many instances relatively small areas irrigated from tanks reduce vulnerability to drought and permit dry season cropping"
978,"Predominantly small-scale subsistence farming","SA Rainfed Mixed","Vulnerability","Lack of capacity to cope and adapt","Human capacity","Agriculture in the rainfed mixed farming systems is oriented towards subsistence with a typical rainfed mixed poor farm household with six family members cultivating 3 ha of land in Madhya Pradesh, India. The crops include one ha sorghum (post-rainy season) with a yield of 1.3 t/ha, about 0.5 ha of chickpea yielding 0.85 t/ha, 0.2 ha of pigeon pea yielding 0.5 t/ha, 0.3 ha of groundnuts yielding 0.6 t/ha, 0.2 ha of rapeseed yielding 0.7 t/ha"
979,"Lack of road infrastructure","SA Rainfed Mixed","Vulnerability","Lack of capacity to cope and adapt","Governance; infrastructure","Most areas under this farming system are located in areas that are poorly served by infrastructure and services, and are remote from markets. The shortage of roads in remote and sparsely populated areas pushes up input and product transport costs"
980,"Low access to agricultural extension services","SA Rainfed Mixed","Vulnerability","Lack of capacity to cope and adapt","Governance; institutions and policy","Agricultural extension services in these areas are typically weak, farmers mostly use traditional technology with a strong bias towards risk avoidance"
981,"Lack of access to risk insurance","SA Rainfed Mixed","Vulnerability","Lack of capacity to cope and adapt","Finance, institutions and policy","Crop insurance helps farming households mitigate losses caused by climate risks. This enhances their adaptive capacity . The risk and insurance market to promote adaptation to climate change in the agriculture sector is still not fully developed in South-Asian countries "
982,"High poverty levels ","SA Rainfed Mixed","Vulnerability","Lack of capacity to cope and adapt","Human capacity","States with relatively high vulnerability are mostly poor states with a low per capita income and low Human Development Index, indicating a low overall adaptive capacity"
983,"Low access to credit","SA Rainfed Mixed","Vulnerability","Lack of capacity to cope and adapt","Finance, institutions and policy","The farmers in the region have very very low coverage access to credit for inputs and adaptation intervention which is a major driver of vulnerabilty and exposes the farmers to climate risk and impacts. The access to credit for agricultural practices to promote adaptation to climate change in the agriculture sector is still not fully developed in South-Asian countries"
984,"Implement reforestation practices","SA Rainfed Mixed","Adaptation option","Natural capital","Agroforestry; farm level; community level; partnerships required; conservation agriculture","India is one of the few countries where forest and tree cover has increased in recent years transforming country’s forests into a net sink owing to national policies aimed at conservation and sustainable management of forests. As per the latest assessment, forests and tree cover has increased from 23.4% in 2005 to 24% of the geographical area in2013. Government of India’s long term goal is to bring 33% of its geographical area under forest cover eventually."
985,"Implement agroforestry practices","SA Rainfed Mixed","Adaptation option","Natural capital",,
986,"Implement conservation agriculture practices","SA Rainfed Mixed","Adaptation option","Natural capital",,
987,"Invest in irrigation infrastructure","SA Rainfed Mixed","Adaptation option","Physical capital","Conservation agriculture;","The traditional tank-based supplemental system commonly used in the region has been further enlarged in recent decades by the use of tubewells. Producton has expanded where tank irrigation is available, driven by market forces."
988,"Invest in water harvesting and storage infrastructure","SA Rainfed Mixed","Adaptation option","Physical capital","Conservation agriculture;","A number of successful participatory, community-based pilot watershed management projects in the Rainfed Mixed system have provided the methodology and experience to improve the management of the large number of critical watersheds in the region."
989,"Invest in road infrastructure","SA Rainfed Mixed","Adaptation option","Physical capital",,
990,"Invest in agricultural research and development","SA Rainfed Mixed","Adaptation option","Human capital","Research and development; Technology; Institutions and policy; Network dependent; ","The germplasm banks held by the NARS and the Consultative Group on International Agricultural Research (CGIAR), the latter under FAO custodianship, will be an important resource for public sector research and are also being utilised in private sector plant breeding efforts. Investments in support of agricultural research and extension - including livestock, forestry and fishery - will pay off handsomely if carried out using a problem oriented, farmer-centred multi-disciplinary approach."
991,"Diversify livelihoods","SA Rainfed Mixed","Adaptation option","Human capital","Finance; Capacity building; ","There are a number of instances where communities venture into alternative income generation activities and create opportunities to cover for the losses incurred due to climatic hazards."
992,"Capacity building on sustainable agricultural practices","SA Rainfed Mixed","Adaptation option","Human capital","Capacity building; Conservation agriculture;","The GIZ has participated in enabling farmers collective action for managing climate risks through climate resilient agriculture and natural resource management. numerous capacity building initiatives have been undertaken in India. A vital aspect of this process has been the participation by the central and state government agencies, research institutions, non- government organizations and industry."
993,"Improve climate change awareness","SA Rainfed Mixed","Adaptation option","Human capital","Farm-level; Community-level; Policy-level; Network dependent; Partnership required","The Government of India has created mechanisms for increasing awareness on climate change issues through outreach and education initiatives. The Environmental Information System (ENVIS) centres throughout the country generate and provide environmental information to decision makers, policy planners, scientists, researchers and students through web-enabled centres."
994,"Crop diversification, cropping system optimization, and managemen","SA Rainfed Mixed","Adaptation option","Human capital","Human capacity; farm level; community level","Crop diversification in space (substituting one crop for another) and time (changing crop rotation or cropping system) can be a rational and cost-effective way to build the resilience of agricultural system under climate change "
995,"Plant multiple crop types","SA Rainfed Mixed","Adaptation option","Human capital",,
996,"Apply integrated pest and diseases management","SA Rainfed Mixed","Adaptation option","Human capital",,
997,"Implement soil and water conservation practices","SA Rainfed Mixed","Adaptation option","Human capital",,
998,"Adopt disease tolerant varieties","SA Rainfed Mixed","Adaptation option","Human capital",,
999,"Undertake soil rehabilitation ","SA Rainfed Mixed","Adaptation option","Human capital",,
1000,"Implement climate smart agriculture practices","SA Rainfed Mixed","Adaptation option","Human capital",,
1001,"Adopt drought tolerant varieties","SA Rainfed Mixed","Adaptation option","Human capital",,
1002,"Improve access to modern processing technologies","SA Rainfed Mixed","Adaptation option","Human capital",,
1003,"Implement efficient water management","SA Rainfed Mixed","Adaptation option","Human capital",,
1004,"Improve networking and knowledge exchange","SA Rainfed Mixed","Adaptation option","Social capital","Community-level; Network dependent;  Partnership required","GIZ has partici[ated in providing agro-advisory services to farmers in identifired districts using Network for Information on Climate (Ex) Change (NICE) Platform "
1005,"Build capacity on advocacy","SA Rainfed Mixed","Adaptation option","Social capital","Community-level; Network dependent;  Partnership required","An example of advocacy in the region is the Southern Voices Capacity Building Programme that aims to support and strengthen the advocacy skills and institutional capacity of southern climate networks to benefit those who are most vulnerable to climate change."
1006,"Invest in agricultural research and development","SA Rainfed Mixed","Adaptation option","Political capital ","Research and development; partnerships required","During the past 30 years - against all odds - the research and agricultural support services of the system have generated growth in food production in excess of population growth, and reduced the proportion of people living in poverty."
1007,"Develop policies for building climate change resilience","SA Rainfed Mixed","Adaptation option","Political capital ","Institutions and policy; policy level; partnerships required","With high levels of climate risk, India has shown commitment to international processes and domestic policies that address climate change through adaptation. India’s Ministry of Environment, Forests and Climate Change leads government initiatives on climate change. An Advisory Council on Climate Change chaired by the Prime Minister with broad stakeholder representation guides national climate change strategy. "
1008,"Establish links to NDC and NAP","SA Rainfed Mixed","Adaptation option","Political capital ","Policy-leve; Institutions and policy","The National Action Plan on Climate Change works through designated national missions to address climate change adaptation and mitigation."
1009,"Build climate information services","SA Rainfed Mixed","Adaptation option","Political capital ","Technology; Network dependent;  Partnership required; community level","According to the WBG’s Country Partnership Framework (CPF) with India (FY18–FY22) the World Bank Group will support the Government of India’s climate mitigation and adaptation efforts across the portfolio. The WBG will support India’s efforts to address climate change through a mix of climate-focused operations and across CPF objectives. In addition, the WBG will work with the private sector to support the development of market mechanisms to tap private sector financing and knowhow to tackle India’s climate change-related challenges"
1010,"Build capacity on usage of climate information","SA Rainfed Mixed","Adaptation option","Political capital ",,
1011,"Improve access to climate information services","SA Rainfed Mixed","Adaptation option","Political capital ",,
1012,"Land tenure reform","SA Rainfed Mixed","Adaptation option","Political capital ",,
1013,"Policy reform","SA Rainfed Mixed","Adaptation option","Political capital ",,
1014,"Implement disaster recovery strategies","SA Rainfed Mixed","Adaptation option","Political capital ","Capacity building; Infrastructure; Community-level","The National Disaster Management Act (2005) directs states and districts to establish disaster management plans. Further, it requires these plans to be revised annually to enhance resilience and adaptive capacity."
1015,"Improve access to risk insurance schemes","SA Rainfed Mixed","Adaptation option","Financial capital","finance; community level; institutions and policy","Crop insurance helps farming households mitigate losses caused by climate risks. This enhances their adaptive capacity. The region has area covered under centrally funded crop insurance schemes such as Pradhan Mantri Fasal Bima Yojna (PMFBY) and Revised Weather-based Crop Insurance Scheme (RWBCIS)"
1016,"Establish payment for ecosystem services schemes","SA Rainfed Mixed","Adaptation option","Financial capital","Ecosystem-based adaptation; community level","The GIZ has aided in ecosystem based climate proofing watershed in Jawadhu hills Thiruvannamalai, Tamil Nadu."
1017,"Diversify markets","SA Rainfed Mixed","Adaptation option","Financial capital","Community-level;","The government is promoting SD through innovative and new forms of"
1018,"Improve access to credit","SA Rainfed Mixed","Adaptation option","Financial capital",,
1019,"Farmers engaged in agri system","SA Rainfed Mixed","Exposure ",,,"The agricultural population of the rainfed mixed farmng system is 226 million"
1020,"Area of land used","SA Rainfed Mixed","Exposure ",,,"The total are (ha) of land used in the agri system is 174 m ha with 8 m ha of cultivated land."
1021,"Risk to farmers of food insecurity due to Climate Change","SA Rainfed Mixed","Risk",,,
1022,"Risk to farmers of loss of livelihoods due to Climate Change","SA Rainfed Mixed","Risk",,,
1023,"Risk to farmers of chronic poverty due to Climate Change","SA Rainfed Mixed","Risk",,,
1024,"Increase in average temperatures","SA Rice Wheat","Hazard","Temperature related","Temperature related","In South Asia, it is projected that the annual average maximum temperature will increase by 1.4–1.8 °C by 2030 and 2.1–2.6 °C by 2050, and thus, heat-stressed areas in the region could increase by 12% in 2030 and 21% in 2050. The increase in temperature is projected to be higher during the Kharif season in areas with already high temperatures. Whereas, during Rabi, an increase in mean temperature (of up to 2°C) is projected for areas which are currently cooler."
1025,"Increase in extreme heat (no. of hot days)","SA Rice Wheat","Hazard","Temperature related","Temperature related","Some locations within the Indo Gangetic Plains will experience an increase in days with temperatures above 45°C. Projections indicate that by 2080, a substantial number of days will incur maximum temperatures above 50°C, particularly in northern India."
1026,"Increase in extreme rainfall events","SA Rice Wheat","Hazard","Rainfall related","Rainfall related","Extreme rainfall events are projected to be more frequent, particularly with regards to rainfall intensity. A study of rainfall events in the Indo Gangetic Plain over 1901-2010 found a significant decrease in heavy and very heavy rainfall events. However, moderate and heavy rainfall events were found to increase during the withdrawal period of the Indian summer monsoon season."
1027,"Increase in drought events","SA Rice Wheat","Hazard","Rainfall related","Rainfall related","A study of rainfall events in the Indo Gangetic Plain over 1901-2010 found a signiﬁcant interannual and inter-decadal ﬂuctuation in rainfall frequency and magnitude.  Such changes in rainfall pattern may lead to increased drought risk."
1028,"Increasingly erratic rainfall","SA Rice Wheat","Hazard","Rainfall related","Rainfall related","A study of rainfall events in the Indo Gangetic Plain over 1901-2010 found a signiﬁcant interannual and inter-decadal ﬂuctuation in rainfall frequency and magnitude."
1029,"Emergence of new pests","SA Rice Wheat","Impact","Biophysical","Pests and diseases; Biophysical","New breeds of insect-pests/diseases (resistant to insecticides) have appeared over the last few decades. Blast and stem borers previously only targeted long basmati rice varieties but now cause damage to short varieties too. "
1030,"Increase in pests ","SA Rice Wheat","Impact","Biophysical","Pests and diseases; Biophysical","Changes in temperature and precipitation patterns in South Asia are likely to increase the incidence of crop pests. "
1031,"Reduced crop productivity/failure","SA Rice Wheat","Impact","Biophysical","Biophysical","Productivity of the rice-wheat agricultural system is declining. "
1032,"Increase in heat stress","SA Rice Wheat","Impact","Biophysical","Biophysical","An increase in extreme hot days is resulting in heat stress in wheat, and to a lesser extent rice crops. "
1033,"Water scarcity","SA Rice Wheat","Impact","Biophysical","Biophysical","Water availability is expected to decline due to increasing average temperatures and extreme hot days and the overconsumption of groundwater resources.  "
1034,"Change in production zone suitability","SA Rice Wheat","Impact","Biophysical","Biophysical","It is projected that almost half of the Indo-Gangetic Plain, the major food basket of the South Asian region, will become unsuitable for wheat production by 2050."
1035,"Increase in crop productivity/yields","SA Rice Wheat","Impact","Biophysical","Biophysical","In some areas, such as the mountainous regions of Nepal, wheat yields may increase. "
1036,"Flash floods","SA Rice Wheat","Impact","Biophysical","Biophysical","Flooding following extreme rainfall events is a common occurrence in the Indo Gangetic Plain."
1037,"Reduced produce quality","SA Rice Wheat","Impact","Biophysical","Biophysical","Climate change impacts and other environmental factors such as polluted groundwater negatively affect grain quality."
1038,"Increase in weeds","SA Rice Wheat","Impact","Biophysical","Biophysical","Weeds are a major challenge in intensive rice-wheat farming systems. "
1039,"Emergence of new diseases","SA Rice Wheat","Impact","Biophysical","Pests and diseases; Biophysical","New breeds of insect-pests/diseases (resistant to insecticides) have appeared over the last few decades. For example, sheath blight was previously only found at the borders of rice production areas but now affects the entire system. "
1040,"Increase in food insecurity","SA Rice Wheat","Impact","Socioeconomic","Socioeconomic","Around 30% of the globe’s malnourished people live in South Asia and wheat and rice yields are expected to decline due to climate change."
1041,"Loss of income","SA Rice Wheat","Impact","Socioeconomic","Socioeconomic","The incomes of smallholder farmers are declining with a decrease in crop productivity."
1042,"Increase in income","SA Rice Wheat","Impact","Socioeconomic","Socioeconomic; Finance","Improved agricultural yields enhance farmers' sales and generate increased income. "
1043,"Increase in poverty","SA Rice Wheat","Impact","Socioeconomic","Socioeconomic","Poverty is widespread in the rice-wheat agricultural system and the incomes of smallholder farmers are expected to decline further with a decrease in crop productivity."
1044,"Increase in food prices","SA Rice Wheat","Impact","Socioeconomic","Socioeconomic","Climate change in South Asia is expected to reduce food supplies and increase market prices. It is projected that food prices for major food crops (e.g. rice, wheat, maize and soybean) in 2050 will be 2.5 times higher than those in 2000, and 1.5 times higher for livestock products."
1045,"Unsustainable land management practices","SA Rice Wheat","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity","Conventional tillage under wet conditions has led to the structural degradation of soil and the burning of rice residues has led to a loss of soil nutrients."
1046,"Poor water use efficiency and management","SA Rice Wheat","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity","Approximately 35% to 55% of irrigation water is lost before reaching the fields."
1047,"Poor efficiency of farming","SA Rice Wheat","Vulnerability","Human capital, gender and agricultural knowledge","Human capacity","Traditional crop management practices such as conventional wet tillage in rice-wheat cropping systems entails higher production costs and leads degradation of the natural resource base, lower input-use efficiency and higher environmental footprints. The conventional rice planting method also leads to delayed sowing of the wheat crop. Wet tillage is labour, water, time, energy and carbon inefficient, deteriorates soil health and results in lower wheat yields (8%–9%), compared with direct seeding. Traditional wheat planting involves repetitive dry tillage which leads to further delays in wheat seeding (a week later than if using zero tillage planting)."
1048,"Inadequate natural resource management policy","SA Rice Wheat","Vulnerability","Institutions and policies","Governance; Institutions and policy","In general, water management policies are inadequate due to a lack of robust data on the regional water balance."
1049,"Lack of access to risk insurance","SA Rice Wheat","Vulnerability","Economic, financial and markets","Finance","Farmers in South Asia typically lack access to crop insurance."
1050,"Unfavourable soil conditions","SA Rice Wheat","Vulnerability"," ""Sensitivity/susceptibility to harm""","Biophysical","Poor soil health (i.e. structural, low organic matter, macro- and micro-nutrient imbalances) is prevalent in the rice-wheat cropping system largely due to conventional farming practices and monocropping. For example, puddling, a conventional rice-wheat system practice causes soil compaction; intensive tillage results in the destruction of large aggregates; and burning of rice residue destroys soil nutrient content."
1051," ""Declining groundwater levels""","SA Rice Wheat","Vulnerability"," ""Sensitivity/susceptibility to harm""","Biophysical","Irrigated rice is a heavy water consumer,  approximately 3,000-5,000 litres of water is needed to produce 1 kg of rice. Rice–wheat cropping system consumes about 11,650 m3/ha water (7,650 m3/ha by rice). Thus, the groundwater levels in some areas are declining at an alarming rate. For example, in some parts of Pakistan and India, groundwater tables are declining by 1.0–3.5 m and 6 m/ annum, respectively."
1052," ""Poor water quality""","SA Rice Wheat","Vulnerability"," ""Sensitivity/susceptibility to harm""","Biophysical","Excessive use of fertilisers and insecticides in the rice-wheat farming has polluted underground water."
