"Label","Type","Type-2"
"Reduced forage availability","MENA Rainfed Mixed","Biophysical"
"Landslide events","MENA Rainfed Mixed","Biophysical"
"Increase in soil water deficit","MENA Rainfed Mixed","Biophysical"
"Biodiversity loss","MENA Rainfed Mixed","Biophysical"
"Increase in migration","MENA Rainfed Mixed","Socioeconomic"
"Competition for resources","MENA Rainfed Mixed","Socioeconomic"
"Conflict over resources","MENA Rainfed Mixed","Socioeconomic"
"Increase in food insecurity","MENA Rainfed Mixed","Socioeconomic"
"Increase in food imports","MENA Rainfed Mixed","Socioeconomic"
"Increase in food prices","MENA Rainfed Mixed","Socioeconomic"
"Increase in women's workload","MENA Rainfed Mixed","Socioeconomic"
"Lack of willingness to invest in sustainable agricultural practices","MENA Rainfed Mixed","Socioeconomic"
"Loss of income","MENA Rainfed Mixed","Socioeconomic"
"Demographic pressure on land","MENA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"Unequal opportunities for women ","MENA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"High poverty levels ","MENA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"Poor water use efficiency and management","MENA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"Unsustainable natural resource use","MENA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"Inconsistencies in policy implementation","MENA Rainfed Mixed","Institutions and policies"
"Conflict prone area","MENA Rainfed Mixed","Institutions and policies"
"Unstable commodity prices","MENA Rainfed Mixed","Economic, financial and markets"
"Low access to markets","MENA Rainfed Mixed","Economic, financial and markets"
"High prevalence of land degradation","MENA Rainfed Mixed","Sensitivity/"
"Water scarce area","MENA Rainfed Mixed","Sensitivity/"
"High levels of deforestation","MENA Rainfed Mixed","Sensitivity/"
"High poverty levels ","MENA Rainfed Mixed","Lack of capacity to cope and adapt"
"Reliance on rainfed agriculture","MENA Rainfed Mixed","Lack of capacity to cope and adapt"
"Lack of irrigation infrastructure ","MENA Rainfed Mixed","Lack of capacity to cope and adapt"
"Inadequate agri research and development","MENA Rainfed Mixed","Lack of capacity to cope and adapt"
"Dependent on a single crop type","MENA Rainfed Mixed","Lack of capacity to cope and adapt"
"Implement reforestation practices","MENA Rainfed Mixed","Natural capital"
"Invest in irrigation infrastructure","MENA Rainfed Mixed","Physical capital"
"Invest in water harvesting and storage infrastructure","MENA Rainfed Mixed","Physical capital"
"Diversify livelihoods","MENA Rainfed Mixed","Human capital"
"Invest in agricultural research and development","MENA Rainfed Mixed","Human capital"
"Implement efficient water management","MENA Rainfed Mixed","Human capital"
"Build women's  capacity ","MENA Rainfed Mixed","Human capital"
"Adopt post-harvest technologies","MENA Rainfed Mixed","Human capital"
"Implement conservation agriculture practices","MENA Rainfed Mixed","Human capital"
"Adopt drought tolerant varieties","MENA Rainfed Mixed","Human capital"
"Capacity building on sustainable agricultural practices","MENA Rainfed Mixed","Human capital"
"Improve networking and knowledge exchange","MENA Rainfed Mixed","Social capital"
"Build capacity on advocacy","MENA Rainfed Mixed","Social capital"
"Policy reform","MENA Rainfed Mixed","Political capital "
"Develop policies for building climate change resilience","MENA Rainfed Mixed","Political capital "
"Develop/improve early warning systems","MENA Rainfed Mixed","Political capital "
"Target niche markets","MENA Rainfed Mixed","Financial capital"
"Farmers engaged in agri system","MENA Rainfed Mixed",""
"Area of land used","MENA Rainfed Mixed",""
"Risk to farmers of food insecurity due to Climate Change","MENA Rainfed Mixed",""
"Risk to farmers of loss of livelihoods due to Climate Change ","MENA Rainfed Mixed",""
"Risk to farmers of chronic poverty due to Climate Change ","MENA Rainfed Mixed",""
"Increase in average temperatures","SA Rainfed Mixed","Temperature related"
"Increase in extreme rainfall events","SA Rainfed Mixed","Rainfall related"
"Rising sea levels","SA Rainfed Mixed","Maritime related"
"Increase in drought events","SA Rainfed Mixed","Rainfall related"
"Increase in tropical cyclones/hurricanes","SA Rainfed Mixed","Wind related"
"Increase in extreme heat (no. of hot days)","SA Rainfed Mixed","Temperature related"
"Increasingly erratic rainfall","SA Rainfed Mixed","Rainfall related"
"","SA Rainfed Mixed",""
"Reduced crop productivity/failure","SA Rainfed Mixed","Biophysical"
"Shift in growing season","SA Rainfed Mixed","Biophysical"
"Soil erosion","SA Rainfed Mixed","Biophysical"
"Reduced livestock productivity","SA Rainfed Mixed","Biophysical"
"Leaching of soil nutrients","SA Rainfed Mixed","Biophysical"
"Land degradation","SA Rainfed Mixed","Biophysical"
"Water scarcity","SA Rainfed Mixed","Biophysical"
"Increase in soil water deficit","SA Rainfed Mixed","Biophysical"
"Reduced water quality","SA Rainfed Mixed","Biophysical"
"Increase in diseases","SA Rainfed Mixed","Biophysical"
"Crop stress/damage/mortality","SA Rainfed Mixed","Biophysical"
"Reduced groundwater tables","SA Rainfed Mixed","Biophysical"
"Waterlogging","SA Rainfed Mixed","Biophysical"
"Flash floods","SA Rainfed Mixed","Biophysical"
"Increased flooding","SA Rainfed Mixed","Biophysical"
"Unpredictable planting period","SA Rainfed Mixed","Biophysical"
"Change in production zone suitability","SA Rainfed Mixed","Biophysical"
"Reduced produce quality","SA Rainfed Mixed","Biophysical"
"Delays in transportation","SA Rainfed Mixed","Biophysical"
"Desertification","SA Rainfed Mixed","Biophysical"
"Coastal inundation","SA Rainfed Mixed","Biophysical"
"Damage to infrastructure","SA Rainfed Mixed","Biophysical"
"Increase in post-harvest losses","SA Rainfed Mixed","Socioeconomic"
"Lack of willingness to invest in sustainable agricultural practices","SA Rainfed Mixed","Socioeconomic"
"Increase in food insecurity","SA Rainfed Mixed","Socioeconomic"
"Dependence on food aid","SA Rainfed Mixed","Socioeconomic"
"Loss of income","SA Rainfed Mixed","Socioeconomic"
"Increase in malnutrition","SA Rainfed Mixed","Socioeconomic"
"Competition for resources","SA Rainfed Mixed","Socioeconomic"
"Increase in migration","SA Rainfed Mixed","Socioeconomic"
"Increase in food imports","SA Rainfed Mixed","Socioeconomic"
"High poverty levels ","SA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"Reliance on rainfed agriculture","SA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"Demographic pressure on land","SA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"Limited uptake of modern technologies","SA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"Unsustainable natural resource use","SA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"Inability to interpret climate information","SA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"Poor water use efficiency and management","SA Rainfed Mixed","Human capital, gender and agricultural knowledge"
"Weak land tenure ","SA Rainfed Mixed","Institutions and policies"
"Inadequate climate information services","SA Rainfed Mixed","Institutions and policies"
"Lack of access to risk insurance","SA Rainfed Mixed","Economic, financial and markets"
"High prevalence of land degradation","SA Rainfed Mixed","Sensitivity/"
"High disease prevalence","SA Rainfed Mixed","Sensitivity/"
"Unfavourable soil conditions","SA Rainfed Mixed","Sensitivity/"
"Lack of irrigation infrastructure ","SA Rainfed Mixed","Lack of capacity to cope and adapt"
"Predominantly small-scale subsistence farming","SA Rainfed Mixed","Lack of capacity to cope and adapt"
"Lack of road infrastructure","SA Rainfed Mixed","Lack of capacity to cope and adapt"
"Low access to agricultural extension services","SA Rainfed Mixed","Lack of capacity to cope and adapt"
"Lack of access to risk insurance","SA Rainfed Mixed","Lack of capacity to cope and adapt"
"High poverty levels ","SA Rainfed Mixed","Lack of capacity to cope and adapt"
"Low access to credit","SA Rainfed Mixed","Lack of capacity to cope and adapt"
"Implement reforestation practices","SA Rainfed Mixed","Natural capital"
"Implement agroforestry practices","SA Rainfed Mixed","Natural capital"
"Implement conservation agriculture practices","SA Rainfed Mixed","Natural capital"
"Invest in irrigation infrastructure","SA Rainfed Mixed","Physical capital"
"Invest in water harvesting and storage infrastructure","SA Rainfed Mixed","Physical capital"
"Invest in road infrastructure","SA Rainfed Mixed","Physical capital"
"Invest in agricultural research and development","SA Rainfed Mixed","Human capital"
"Diversify livelihoods","SA Rainfed Mixed","Human capital"
"Capacity building on sustainable agricultural practices","SA Rainfed Mixed","Human capital"
"Improve climate change awareness","SA Rainfed Mixed","Human capital"
"Crop diversification, cropping system optimization, and managemen","SA Rainfed Mixed","Human capital"
"Plant multiple crop types","SA Rainfed Mixed","Human capital"
"Apply integrated pest and diseases management","SA Rainfed Mixed","Human capital"
"Implement soil and water conservation practices","SA Rainfed Mixed","Human capital"
"Adopt disease tolerant varieties","SA Rainfed Mixed","Human capital"
"Undertake soil rehabilitation ","SA Rainfed Mixed","Human capital"
"Implement climate smart agriculture practices","SA Rainfed Mixed","Human capital"
"Adopt drought tolerant varieties","SA Rainfed Mixed","Human capital"
"Improve access to modern processing technologies","SA Rainfed Mixed","Human capital"
"Implement efficient water management","SA Rainfed Mixed","Human capital"
"Improve networking and knowledge exchange","SA Rainfed Mixed","Social capital"
"Build capacity on advocacy","SA Rainfed Mixed","Social capital"
"Invest in agricultural research and development","SA Rainfed Mixed","Political capital "
"Develop policies for building climate change resilience","SA Rainfed Mixed","Political capital "
"Establish links to NDC and NAP","SA Rainfed Mixed","Political capital "
"Build climate information services","SA Rainfed Mixed","Political capital "
"Build capacity on usage of climate information","SA Rainfed Mixed","Political capital "
"Improve access to climate information services","SA Rainfed Mixed","Political capital "
"Land tenure reform","SA Rainfed Mixed","Political capital "
"Policy reform","SA Rainfed Mixed","Political capital "
"Implement disaster recovery strategies","SA Rainfed Mixed","Political capital "
"Improve access to risk insurance schemes","SA Rainfed Mixed","Financial capital"
"Establish payment for ecosystem services schemes","SA Rainfed Mixed","Financial capital"
"Diversify markets","SA Rainfed Mixed","Financial capital"
"Improve access to credit","SA Rainfed Mixed","Financial capital"
"Farmers engaged in agri system","SA Rainfed Mixed",""
"Area of land used","SA Rainfed Mixed",""
"Risk to farmers of food insecurity due to Climate Change","SA Rainfed Mixed",""
"Risk to farmers of loss of livelihoods due to Climate Change","SA Rainfed Mixed",""
"Risk to farmers of chronic poverty due to Climate Change","SA Rainfed Mixed",""
"Increase in average temperatures","SA Rice Wheat","Temperature related"
"Increase in extreme heat (no. of hot days)","SA Rice Wheat","Temperature related"
"Increase in extreme rainfall events","SA Rice Wheat","Rainfall related"
"Increase in drought events","SA Rice Wheat","Rainfall related"
"Increasingly erratic rainfall","SA Rice Wheat","Rainfall related"
"Emergence of new pests","SA Rice Wheat","Biophysical"
"Increase in pests ","SA Rice Wheat","Biophysical"
"Reduced crop productivity/failure","SA Rice Wheat","Biophysical"
"Increase in heat stress","SA Rice Wheat","Biophysical"
"Water scarcity","SA Rice Wheat","Biophysical"
"Change in production zone suitability","SA Rice Wheat","Biophysical"
"Increase in crop productivity/yields","SA Rice Wheat","Biophysical"
"Flash floods","SA Rice Wheat","Biophysical"
"Reduced produce quality","SA Rice Wheat","Biophysical"
"Increase in weeds","SA Rice Wheat","Biophysical"
"Emergence of new diseases","SA Rice Wheat","Biophysical"
"Increase in food insecurity","SA Rice Wheat","Socioeconomic"
"Loss of income","SA Rice Wheat","Socioeconomic"
"Increase in income","SA Rice Wheat","Socioeconomic"
"Increase in poverty","SA Rice Wheat","Socioeconomic"
"Increase in food prices","SA Rice Wheat","Socioeconomic"
"Unsustainable land management practices","SA Rice Wheat","Human capital, gender and agricultural knowledge"
"Poor water use efficiency and management","SA Rice Wheat","Human capital, gender and agricultural knowledge"
"Poor efficiency of farming","SA Rice Wheat","Human capital, gender and agricultural knowledge"
"Inadequate natural resource management policy","SA Rice Wheat","Institutions and policies"
"Lack of access to risk insurance","SA Rice Wheat","Economic, financial and markets"
"Unfavourable soil conditions","SA Rice Wheat","Sensitivity/"
"Declining groundwater levels","SA Rice Wheat","Sensitivity/"
"Poor water quality","SA Rice Wheat","Sensitivity/"
"High disease prevalence","SA Rice Wheat","Sensitivity/"
"High prevalence of weeds","SA Rice Wheat","Sensitivity/"
"Unsuitable crop varieties","SA Rice Wheat","Sensitivity/"
"High prevalence of pests","SA Rice Wheat","Sensitivity/"
"Major component of local diet","SA Rice Wheat","Lack of capacity to cope and adapt"
"Labour shortages","SA Rice Wheat","Lack of capacity to cope and adapt"
"High poverty levels ","SA Rice Wheat","Lack of capacity to cope and adapt"
"Low access to agricultural extension services","SA Rice Wheat","Lack of capacity to cope and adapt"
"Limited uptake of modern technologies","SA Rice Wheat","Lack of capacity to cope and adapt"
"Lack of access to  inputs ","SA Rice Wheat","Lack of capacity to cope and adapt"
"Invest in irrigation infrastructure","SA Rice Wheat","Physical capital"
"Adopt heat tolerant varieties","SA Rice Wheat","Human capital"
"Adopt early maturing varieties","SA Rice Wheat","Human capital"
"Implement climate smart agriculture practices","SA Rice Wheat","Human capital"
"Implement conservation agriculture practices","SA Rice Wheat","Human capital"
"Capacity building on sustainable agricultural practices","SA Rice Wheat","Human capital"
"Invest in agricultural research and development","SA Rice Wheat","Human capital"
"Build the capacity of agricultural extension agents","SA Rice Wheat","Human capital"
"Implement integrated weed management","SA Rice Wheat","Human capital"
"Undertake crop rotation","SA Rice Wheat","Human capital"
"Plant multiple crop types","SA Rice Wheat","Human capital"
"Implement water conservation irrigation","SA Rice Wheat","Human capital"
"Adjust crop calendar","SA Rice Wheat","Human capital"
"Adopt disease tolerant varieties","SA Rice Wheat","Human capital"
"Adopt high yielding varieties","SA Rice Wheat","Human capital"
"Establish farmer organisations","SA Rice Wheat","Social capital"
"Develop policies for building climate change resilience","SA Rice Wheat","Political capital "
"Policy reform","SA Rice Wheat","Political capital "
"Improve access to agricultural extension services","SA Rice Wheat","Political capital "
"Improve access to risk insurance schemes","SA Rice Wheat","Financial capital"
"Improve access to credit","SA Rice Wheat","Financial capital"
"Farmers engaged in agri system","SA Rice Wheat",""
"Loss of livelihoods ","SA Rice Wheat",""
"Food insecurity","SA Rice Wheat",""
"Increase in average temperatures","SA Rice","Temperature related"
"Increase in drought events","SA Rice","Rainfall related"
"Increase in extreme rainfall events","SA Rice","Rainfall related"
"Decrease in average precipitation","SA Rice","Rainfall related"
"Rising sea levels","SA Rice","Maritime related"
"Increase in average precipitation","SA Rice","Rainfall related"
"Increase in tropical cyclones/hurricanes","SA Rice","Temperature related"
"Increase in extreme heat (no. of hot days)","SA Rice","Temperature related"
"Flash floods","SA Rice","Biophysical"
"Increased flooding","SA Rice","Biophysical"
"Coastal inundation","SA Rice","Biophysical"
"Increase in pests ","SA Rice","Biophysical"
"Reduced crop productivity/failure","SA Rice","Biophysical"
"Increase in crop productivity/yields","SA Rice","Biophysical"
"Increase in diseases","SA Rice","Biophysical"
"Saline intrusion","SA Rice","Biophysical"
"Soil salinisation","SA Rice","Biophysical"
"Increase in soil water deficit","SA Rice","Biophysical"
"Reduced soil fertility","SA Rice","Biophysical"
"Reduced groundwater tables","SA Rice","Biophysical"
"Reduced borehole water availability","SA Rice","Biophysical"
"Increase in heat stress","SA Rice","Biophysical"
"Water scarcity","SA Rice","Biophysical"
"Soil erosion","SA Rice","Biophysical"
"Increase in food insecurity","SA Rice","Socioeconomic"
"Increase in food prices","SA Rice","Socioeconomic"
"Increase in women's workload","SA Rice","Socioeconomic"
"Loss of income","SA Rice","Socioeconomic"
"Increase in income","SA Rice","Socioeconomic"
"Increase in poverty","SA Rice","Socioeconomic"
"Unequal opportunities for women ","SA Rice","Human capital, gender and agricultural knowledge"
"Unsustainable land management practices","SA Rice","Human capital, gender and agricultural knowledge"
"Lack of coherent policy","SA Rice","Institutions and policies"
"Low access to markets","SA Rice","Economic, financial and markets"
"Low access to credit","SA Rice","Economic, financial and markets"
"Lack of access to risk insurance","SA Rice","Economic, financial and markets"
"Water scarce area","SA Rice","Sensitivity/"
"Unsuitable crop varieties","SA Rice","Sensitivity/"
"Lack of road infrastructure","SA Rice","Lack of capacity to cope and adapt"
"Inadequate storage infrastructure","SA Rice","Lack of capacity to cope and adapt"
"Dependent on a single crop type","SA Rice","Lack of capacity to cope and adapt"
"Major component of local diet","SA Rice","Lack of capacity to cope and adapt"
"Inadequate agri research and development","SA Rice","Lack of capacity to cope and adapt"
"Lack of willingness to invest in sustainable agricultural practices","SA Rice","Lack of capacity to cope and adapt"
"High poverty levels ","SA Rice","Lack of capacity to cope and adapt"
"Small farm size","SA Rice","Lack of capacity to cope and adapt"
"Invest in water harvesting and storage infrastructure","SA Rice","Physical capital"
"Invest in storage infrastructure","SA Rice","Physical capital"
"Invest in road infrastructure","SA Rice","Physical capital"
"Invest in irrigation infrastructure","SA Rice","Physical capital"
"Adopt heat tolerant varieties","SA Rice","Human capital"
"Adopt drought tolerant varieties","SA Rice","Human capital"
"Adopt pest tolerant varieties","SA Rice","Human capital"
"Adopt early maturing varieties","SA Rice","Human capital"
"Adopt salinity tolerant varieties","SA Rice","Human capital"
"Plant multiple varieties","SA Rice","Human capital"
"Adopt submergence tolerant varieties","SA Rice","Human capital"
"Plant multiple crop types","SA Rice","Human capital"
"Implement conservation agriculture practices","SA Rice","Human capital"
"Implement climate smart agriculture practices","SA Rice","Human capital"
"Diversify livelihoods","SA Rice","Human capital"
"Adopt an integrated farming system approach","SA Rice","Human capital"
"Adopt disease tolerant varieties","SA Rice","Human capital"
"Implement efficient water management","SA Rice","Human capital"
"Invest in agricultural research and development","SA Rice","Human capital"
"Establish farmer organisations","SA Rice","Social capital"
"Improve networking and knowledge exchange","SA Rice","Social capital"
"Establish water user associations","SA Rice","Social capital"
"Policy reform","SA Rice","Political capital "
"Improve access to credit","SA Rice","Financial capital"
"Improve access to risk insurance schemes","SA Rice","Financial capital"
"Farmers engaged in agri system","SA Rice",""
"Food insecurity","SA Rice",""
"Loss of livelihoods ","SA Rice",""
"Increasingly erratic rainfall","SSA_Agropastoral","Rainfall related"
"Increase in drought events","SSA_Agropastoral","Rainfall related"
"Decrease in average precipitation","SSA_Agropastoral","Rainfall related"
"Increase in average temperatures","SSA_Agropastoral","Temperature related"
"Increase in extreme heat (no. of hot days)","SSA_Agropastoral","Rainfall related"
"Increase in average precipitation","SSA_Agropastoral","Rainfall related"
"Increase in extreme rainfall events","SSA_Agropastoral","Rainfall related"
"Increased flooding","SSA_Agropastoral","Biophysical"
"Increase in diseases","SSA_Agropastoral","Biophysical"
"Reduced crop productivity/failure","SSA_Agropastoral","Biophysical"
"Reduced herd size","SSA_Agropastoral","Biophysical"
"Reduced fodder availability","SSA_Agropastoral","Biophysical"
"Reduced forage quality","SSA_Agropastoral","Biophysical"
"Change in production zone suitability","SSA_Agropastoral","Biophysical"
"Water scarcity","SSA_Agropastoral","Biophysical"
"Increased incidence of bushfires","SSA_Agropastoral","Biophysical"
"Increase in pests ","SSA_Agropastoral","Biophysical"
"Crop stress/damage/mortality","SSA_Agropastoral","Biophysical"
"Unpredictable planting period","SSA_Agropastoral","Biophysical"
"Reduced livestock productivity","SSA_Agropastoral","Biophysical"
"Reduced fodder quality","SSA_Agropastoral","Biophysical"
"Increase in heat stress","SSA_Agropastoral","Biophysical"
"Land degradation","SSA_Agropastoral","Biophysical"
"Decrease in diseases","SSA_Agropastoral","Biophysical"
"Increase in livestock mobility","SSA_Agropastoral","Socioeconomic"
"Competition for resources","SSA_Agropastoral","Socioeconomic"
"Increase in migration","SSA_Agropastoral","Socioeconomic"
"Conflict over resources","SSA_Agropastoral","Socioeconomic"
"Decrease in livestock mobility","SSA_Agropastoral","Socioeconomic"
"Dependence on food aid","SSA_Agropastoral","Socioeconomic"
"Loss of income","SSA_Agropastoral","Socioeconomic"
"Increase in food insecurity","SSA_Agropastoral","Socioeconomic"
"Increase in poverty","SSA_Agropastoral","Socioeconomic"
"Unsustainable natural resource use","SSA_Agropastoral","Human capital, gender and agricultural knowledge"
"Demographic pressure on land","SSA_Agropastoral","Human capital, gender and agricultural knowledge"
"Reliance on rainfed agriculture","SSA_Agropastoral","Human capital, gender and agricultural knowledge"
"High illiteracy rates ","SSA_Agropastoral","Human capital, gender and agricultural knowledge"
"Unequal opportunities for women ","SSA_Agropastoral","Human capital, gender and agricultural knowledge"
"Weak land tenure and access rights for women","SSA_Agropastoral","Institutions and policies"
"Weak land tenure ","SSA_Agropastoral","Institutions and policies"
"Inadequate climate information services","SSA_Agropastoral","Institutions and policies"
"Low access to markets","SSA_Agropastoral","Economic, financial and markets"
"Barriers to trade","SSA_Agropastoral","Economic, financial and markets"
"Lack of access to market information","SSA_Agropastoral","Economic, financial and markets"
"Low access to credit","SSA_Agropastoral","Economic, financial and markets"
"Unstable commodity prices","SSA_Agropastoral","Economic, financial and markets"
"Water scarce area","SSA_Agropastoral","Sensitivity/"
"High prevalence of land degradation","SSA_Agropastoral","Sensitivity/"
"Unfavourable soil conditions","SSA_Agropastoral","Sensitivity/"
"Land fragmentation","SSA_Agropastoral","Sensitivity/"
"Small farm size","SSA_Agropastoral","Lack of capacity to cope and adapt"
"Limited uptake of modern technologies","SSA_Agropastoral","Lack of capacity to cope and adapt"
"High poverty levels ","SSA_Agropastoral","Lack of capacity to cope and adapt"
"Unequal opportunities for women ","SSA_Agropastoral","Lack of capacity to cope and adapt"
"Lack of knowledge on processing/value addition","SSA_Agropastoral","Lack of capacity to cope and adapt"
"Predominantly small-scale subsistence farming","SSA_Agropastoral","Lack of capacity to cope and adapt"
"Conflict prone area","SSA_Agropastoral","Lack of capacity to cope and adapt"
"Lack of willingness to invest in sustainable agricultural practices","SSA_Agropastoral","Lack of capacity to cope and adapt"
"Reliance on rainfed agriculture","SSA_Agropastoral","Lack of capacity to cope and adapt"
"Large contributor to national GDP","SSA_Agropastoral","Lack of capacity to cope and adapt"
"Dependent on a single crop type","SSA_Agropastoral","Lack of capacity to cope and adapt"
"Demographic pressure on land","SSA_Agropastoral","Lack of capacity to cope and adapt"
"Implement reforestation practices","SSA_Agropastoral","Natural capital"
"Invest in water harvesting and storage infrastructure","SSA_Agropastoral","Physical capital"
"Diversify livelihoods","SSA_Agropastoral","Human capital"
"Promote literacy ","SSA_Agropastoral","Human capital"
"Build women's  capacity ","SSA_Agropastoral","Human capital"
"Implement fodder management","SSA_Agropastoral","Human capital"
"Implement efficient water management","SSA_Agropastoral","Human capital"
"Diversify livestock ","SSA_Agropastoral","Human capital"
"Adopt drought tolerant varieties","SSA_Agropastoral","Human capital"
"Plant multiple varieties","SSA_Agropastoral","Human capital"
"Implement agroforestry practices","SSA_Agropastoral","Human capital"
"Improve climate change awareness","SSA_Agropastoral","Human capital"
"Implement conservation agriculture practices","SSA_Agropastoral","Human capital"
"Adjust crop calendar","SSA_Agropastoral","Human capital"
"Livestock mobility to semi-arid/sub-humid zones","SSA_Agropastoral","Human capital"
"Plant multiple crop types","SSA_Agropastoral","Human capital"
"Capacity building on sustainable agricultural practices","SSA_Agropastoral","Human capital"
"Build capacity on value addition","SSA_Agropastoral","Human capital"
"Undertake crop rotation","SSA_Agropastoral","Human capital"
"Establish farmer organisations","SSA_Agropastoral","Social capital"
"Increase awareness of gender equality ","SSA_Agropastoral","Political capital "
"Build the capacity of agricultural extension agents","SSA_Agropastoral","Political capital "
"Invest in agricultural research and development","SSA_Agropastoral","Political capital "
"Land tenure reform","SSA_Agropastoral","Political capital "
"Improve access to climate information services","SSA_Agropastoral","Political capital "
"Improve access to agricultural extension services","SSA_Agropastoral","Political capital "
"Policy reform","SSA_Agropastoral","Political capital "
"Develop/improve early warning systems","SSA_Agropastoral","Political capital "
"Build climate information services","SSA_Agropastoral","Political capital "
"Improve access to markets","SSA_Agropastoral","Financial capital"
"Improve access to credit","SSA_Agropastoral","Financial capital"
"Facilitate access to loans","SSA_Agropastoral","Financial capital"
"Improve access to market information","SSA_Agropastoral","Financial capital"
"Improve access to risk insurance schemes","SSA_Agropastoral","Financial capital"
"Farmers engaged in agri system","SSA_Agropastoral",""
"Area of land used","SSA_Agropastoral",""
"Risk to farmers of loss of livelihoods due to Climate Change","SSA_Agropastoral",""
"Risk to farmers of food insecurity due to Climate Change","SSA_Agropastoral",""
"Risk to farmers of chronic poverty due to Climate Change","SSA_Agropastoral",""
"Increase in drought events","SSA Cereal-root crop mixed","Rainfall related"
"Increasingly erratic rainfall","SSA Cereal-root crop mixed","Rainfall related"
"Increase in average temperatures","SSA Cereal-root crop mixed","Temperature related"
"Increase in extreme rainfall events","SSA Cereal-root crop mixed","Rainfall related"
"Rising sea levels","SSA Cereal-root crop mixed","Rainfall related"
"Increase in tropical cyclones/hurricanes","SSA Cereal-root crop mixed","Maritime related"
"Soil erosion","SSA Cereal-root crop mixed","Biophysical"
"Landslide events","SSA Cereal-root crop mixed","Biophysical"
"Shift in growing season","SSA Cereal-root crop mixed","Biophysical"
"Flash floods","SSA Cereal-root crop mixed","Biophysical"
"Damage to infrastructure","SSA Cereal-root crop mixed","Biophysical"
"Leaching of soil nutrients","SSA Cereal-root crop mixed","Biophysical"
"Siltation/sedimentation of rivers","SSA Cereal-root crop mixed","Biophysical"
"Reduced crop productivity/failure","SSA Cereal-root crop mixed","Biophysical"
"Increase in diseases","SSA Cereal-root crop mixed","Biophysical"
"Land degradation","SSA Cereal-root crop mixed","Biophysical"
"Delays in transportation","SSA Cereal-root crop mixed","Biophysical"
"Loss of income","SSA Cereal-root crop mixed","Socioeconomic"
"Increase in food insecurity","SSA Cereal-root crop mixed","Socioeconomic"
"Increase in poverty","SSA Cereal-root crop mixed","Socioeconomic"
"Increase in food prices","SSA Cereal-root crop mixed","Socioeconomic"
"Increase in food spoilage/wastage","SSA Cereal-root crop mixed","Socioeconomic"
"Increase in malnutrition/ Reduced calorie intake","SSA Cereal-root crop mixed","Socioeconomic"
"Conflict over resources","SSA Cereal-root crop mixed","Socioeconomic"
"Reliance on rainfed agriculture","SSA Cereal-root crop mixed","Human capital, gender and agricultural knowledge"
"Limited uptake of modern technologies","SSA Cereal-root crop mixed","Human capital, gender and agricultural knowledge"
"Crop is highly susceptible to diseases ","SSA Cereal-root crop mixed","Human capital, gender and agricultural knowledge"
"High poverty levels ","SSA Cereal-root crop mixed","Human capital, gender and agricultural knowledge"
"Low levels of climate change awareness at the farmer level","SSA Cereal-root crop mixed","Human capital, gender and agricultural knowledge"
"Unsustainable natural resource use","SSA Cereal-root crop mixed","Human capital, gender and agricultural knowledge"
"Weak land tenure and access rights for women","SSA Cereal-root crop mixed","Institutions and policies"
"Inconsistencies in policy implementation","SSA Cereal-root crop mixed","Institutions and policies"
"Conflict prone area","SSA Cereal-root crop mixed","Institutions and policies"
"Low access to credit","SSA Cereal-root crop mixed","Economic, financial and markets"
"Unstable commodity prices","SSA Cereal-root crop mixed","Economic, financial and markets"
"Low access to markets","SSA Cereal-root crop mixed","Economic, financial and markets"
"High prevalence of land degradation","SSA Cereal-root crop mixed","Sensitivity/"
"Unfavourable soil conditions","SSA Cereal-root crop mixed","Sensitivity/"
"High disease prevalence","SSA Cereal-root crop mixed","Sensitivity/"
"Water scarce area","SSA Cereal-root crop mixed","Sensitivity/"
"Reliance on rainfed agriculture","SSA Cereal-root crop mixed","Lack of capacity to cope and adapt"
"Lack of irrigation infrastructure ","SSA Cereal-root crop mixed","Lack of capacity to cope and adapt"
"Crop is highly susceptible to diseases ","SSA Cereal-root crop mixed","Lack of capacity to cope and adapt"
"Inadequate agri research and development","SSA Cereal-root crop mixed","Lack of capacity to cope and adapt"
"High poverty levels ","SSA Cereal-root crop mixed","Lack of capacity to cope and adapt"
"Low access to markets","SSA Cereal-root crop mixed","Lack of capacity to cope and adapt"
"Inability to interpret climate information","SSA Cereal-root crop mixed","Lack of capacity to cope and adapt"
"Implement reforestation practices","SSA Cereal-root crop mixed","Natural capital"
"Invest in water harvesting and storage infrastructure","SSA Cereal-root crop mixed","Physical capital"
"Invest in irrigation infrastructure","SSA Cereal-root crop mixed","Physical capital"
"Invest in road infrastructure","SSA Cereal-root crop mixed","Physical capital"
"Adopt drought tolerant varieties","SSA Cereal-root crop mixed","Human capital"
"Invest in agricultural research and development","SSA Cereal-root crop mixed","Human capital"
