ID,"Label","FS name",FS macro region,"Type-1","Description"
711,"Land degradation","Dryland mixed",MENA,"Impact","Unsustainable land management practices in conjunction with climate change have resulted in a high prevalence of land degradation in the Middle East and North Africa region. "
712,"Shorter growing season","Dryland mixed",MENA,"Impact","Higher temperatures have shortened the growing season by ten days, this is projected to shorten further (to 14 days) by mid-century (2031–2050)."
713,"Increase in migration","Dryland mixed",MENA,"Impact","Climate change has influenced migration patterns in the region and displacement is expected to increase as conditions become hotter and drier. By 2015, over six million refugees worldwide originated in the Middle East and North Africa (4.9 million from Syria alone), and the region accounted for 40% of the world’s Internally Displaced People."
714,"Increase in food insecurity","Dryland mixed",MENA,"Impact","The region is highly dependent on food imports. Around 50% of the domestic wheat and barley supply, 70% of rice consumption and 60% of maize consumption are met through imports. This is due to water and land constraints. This means the region's food security is vulnerable to price shocks on the global markets and harvest failures in other world regions."
715,"Competition for resources","Dryland mixed",MENA,"Impact","Competition for water for livestock is expected to increase with a decrease in average precipitation."
716,"Loss of income","Dryland mixed",MENA,"Impact","Low crop and livestock productivity reduces household incomes."
717,"Increase in poverty","Dryland mixed",MENA,"Impact","Low crop and livestock productivity reduces household incomes in an agricultural system already afflicted with extensive poverty."
718,"Low adoption of modern technology and practices","Dryland mixed",MENA,"Impact","The Middle East and North Africa region demonstrates a low rate of agricultural technology adoption, lower than in Southern Africa.  "
719,"Unsustainable land management practices","Dryland mixed",MENA,"Vulnerability","Conventional tillage coupled with monocropping, limited recycling of crop residues, rangeland mismanagement such as overgrazing, unsustainable harvesting of fuelwood and increased water abstraction have contributed to land degradation in the Middle East and North Africa region. "
720,"Poor livestock management","Dryland mixed",MENA,"Vulnerability","Livestock management standards tend to be poor in the agricultural system, with low access to animal health services."
721,"Inadequate policy","Dryland mixed",MENA,"Vulnerability","Current policy encourages the modernisation of agriculture, involving the promotion of large intensively cultivated private farms. Small farms are typically excluded from policy and subsequently do not benefit from public support or bank loans, thereby restricting their access to modern technologies and improved practices. The modification of land tenure and use rights has lead to a significant increase in sheep numbers and a loss of traditional land management tools.  "
722,"Weak land tenure ","Dryland mixed",MENA,"Vulnerability","Land tenure and use rights are typically inadequate and unequal in the Middle East and North Africa region. "
723,"Large contributor to national/regional GDP","Dryland mixed",MENA,"Vulnerability","The region is heavily dependent on agricultural production, for example, in Algeria, rangelands cover 39% of the country, support 38% of the human population, 48% of sheep units and contribute about half of the country's GDP."
724,"Low access to markets","Dryland mixed",MENA,"Vulnerability","Marketing facilities and access to market information are typically poor in the Middle East and North Africa region."
725,"Low access to credit","Dryland mixed",MENA,"Vulnerability","Small farms are typically excluded from policy and so have limited access to credit facilities. "
726,"Water scarce area","Dryland mixed",MENA,"Vulnerability","The Middle East and North Africa region is the most water-stressed in the world. Most of the land area in the region receives less than 300 mm of annual rainfall, with the lower limit for rainfed agriculture  between 200 mm and 300 mm annual rainfall."
727,"High prevalence of land degradation","Dryland mixed",MENA,"Vulnerability","There is a high prevalence of degraded land due to wind and water erosion, a loss of biodiversity and unsustainable farming practices. Three-quarters of the region’s 30 million ha of rainfed cropland are estimated to be degraded."
728,"Unfavourable soil conditions","Dryland mixed",MENA,"Vulnerability","Farmed soils are severely degraded in the region. "
729,"Unsuitable crop varieties","Dryland mixed",MENA,"Vulnerability","Barley is susceptible to over 250 pathogens, one of the worst being powdery mildew which causes yield losses of up to 50%."
730,"Major source of employment","Dryland mixed",MENA,"Vulnerability","Agriculture (both crops and livestock) is a critical source of employment in the region. "
731,"High poverty levels ","Dryland mixed",MENA,"Vulnerability"," Poverty is extensive among small farmers."
732,"Lack of access to improved crop varieties","Dryland mixed",MENA,"Vulnerability","The adaptive capacity of smallholder farmers is affected by limited access to improved crop varieties."
733,"Reliance on rainfed agriculture","Dryland mixed",MENA,"Vulnerability","Seventy percent of the region’s agriculture production is on rainfed land. Crop production in the dryland mixed system is rainfed and vulnerable to inter-annual and seasonal variation (temporal and spatial)."
734,"Low access to markets","Dryland mixed",MENA,"Vulnerability","Livestock production in the Middle East and North Africa region is affected by inadequate marketing facilities and market information."
735,"Conflict prone area","Dryland mixed",MENA,"Vulnerability","The region is affected by post-war geopolitical complexities."
736,"Limited off-farm income opportunities","Dryland mixed",MENA,"Vulnerability","The adaptive capacity of smallholder farmers is affected by limited opportunities for off-farm income generation. "
737,"Low access to agricultural extension services","Dryland mixed",MENA,"Vulnerability","Farmers in the dryland mixed agricultural system typically have low access to agricultural extension services."
738,"Inadequate agri research and development","Dryland mixed",MENA,"Vulnerability","Regional climate change research is lacking and there is limited data on rangeland livestock resources and pastoralist herds."
739,"Low level of education","Dryland mixed",MENA,"Vulnerability","Older generations of farmers in the dryland areas of the Middle East and North Africa region typically have low levels of education."
740,"Plant trees/shrubs for windbreaks","Dryland mixed",MENA,"Adaptation option","Wind erosion can be controlled by planting windbreaks."
741,"Invest in water harvesting and storage infrastructure","Dryland mixed",MENA,"Adaptation option","Water harvesting and storage practices and technologies can be used to supply irrigation water in times of scarcity."
742,"Adopt drought tolerant varieties","Dryland mixed",MENA,"Adaptation option","The development and adoption of drought tolerant varieties could enhance farmers' resilience in the face of increasing drought events and decreasing precipitation patterns."
743,"Implement conservation agriculture practices","Dryland mixed",MENA,"Adaptation option","Conservation agriculture was found to have several benefits to agricultural production in the Middle East and North Africa region including higher and more stable yields and profits; reduced risk of crop loss, labour requirements and soil erosion; and improved soil moisture and quality. "
744,"Improve veterinary care","Dryland mixed",MENA,"Adaptation option","Capacity building by extension services on good animal management practices and improved access to veterinary services would improve livestock productivity in the agricultural system. "
745,"Adopt hardy livestock breeds","Dryland mixed",MENA,"Adaptation option","Adopt drought and heat tolerant small stock breeds. "
746,"Undertake crop rotation","Dryland mixed",MENA,"Adaptation option","Crop rotation with legumes enhances soil nitrogen content reducing the need for nitrogen-based fertilisers and increases incomes. "
747,"Plant multiple crop types","Dryland mixed",MENA,"Adaptation option","In intercropping, the main cereal and a secondary crop are cultivated at the same time and in close proximity to each other. This enables a more efficient use of water and soil nutrients."
748,"Provide incentives for sustainable land management practices","Dryland mixed",MENA,"Adaptation option","Incentive mechanisms are important for encouraging farmers to adopt sustainable agricultural practices."
749,"Adopt disease tolerant varieties","Dryland mixed",MENA,"Adaptation option","Resistance breeding and adoption of improved varieties by farmers is an economically effective and environmentally friendly method for controlling the spread of pathogens."
750,"Implement efficient water management","Dryland mixed",MENA,"Adaptation option","Efficient water management practices improve farmers' resilience in areas of water scarcity."
751,"Land tenure reform","Dryland mixed",MENA,"Adaptation option","There is scope for poverty reduction through better regulatory measures to secure smallholder farmers’ access to land, water and technology."
752,"Invest in agricultural research and development","Dryland mixed",MENA,"Adaptation option","Regional climate change research is lacking, but can be improved through institutional collaboration, network development, database building and capacity development. "
753,"Policy reform","Dryland mixed",MENA,"Adaptation option","Small farms are typically excluded from policy and so have limited access to credit facilities, thereby restricting their access to modern technologies and improved practices. There is a need for policy reform that supports smallholder farmers. "
754,"Develop policies for building climate change resilience","Dryland mixed",MENA,"Adaptation option","Develop policies using robust evidence generated through agricultural research to inform policy and institutional reforms for climate-smart reconstruction, resilience and stabilisation."
755,"Improve access to agricultural extension services","Dryland mixed",MENA,"Adaptation option","Better access to extension services is needed to improve dryland farmers’ access to improved crop varieties, build their capacities in conservation agriculture practices, reinstall traditional water management techniques, and promote intercropping and the application of appropriate technologies."
756,"Improve opportunities for off-farm income generation","Dryland mixed",MENA,"Adaptation option","There is scope for poverty reduction through improved access to off-farm income generation."
757,"Farmers engaged in agri system","Dryland mixed",MENA,"Exposure","Agriculture (both crops and livestock) is a critical source of employment in the region with more than 13 million people engaged in dryland mixed farming."
758,"Loss of livelihoods ","Dryland mixed",MENA,"Risk","Agriculture (both crops and livestock) is a critical source of employment in the region. "
759,"Food insecurity","Dryland mixed",MENA,"Risk","Considerable food insecurity exists in the dryland mixed agricultural system."
760,"Chronic poverty ","Dryland mixed",MENA,"Risk","Poverty is extensive amongst small farmers in the dryland mixed agricultural system."
761,"Decrease in average precipitation","Highland Mixed",MENA,"Hazard","The rainfall is lower than in the other highland subsystems and expected to reduce with climate change, perhaps by 5 per cent by 2050 with diminished spring rainfall and increased frequency of droughts"
762,"Increase in extreme rainfall events","Highland Mixed",MENA,"Hazard","It is predicted that extreme rainfall events due to climate change will cause sudden floods and storms that could destroy infrastructure downstream and wash away fertile soils, maturing crops, houses, farm investments and community assets. The impacts may be aggravated by low risk-coping strategies of communities and weak institutional capacities."
763,"Increase in average temperatures","Highland Mixed",MENA,"Hazard","Most of the agricultural land is projected to witness a temperature increase of between 2.6–3 ºC by this time, with a particularly high increase of 3.6–4 ºC projected for the central Alborz Mountains. While the worst-case scenario is dramatic, the moderate scenario shows that the greatest increase in temperature for the region also lies in the central Alborz Mountains and northern Zagros Mountains"
764,"Increase in average precipitation","Highland Mixed",MENA,"Hazard","The north and west of Iran observe a general increase in precipitation by the mid-century under both moderate and worst-case scenarios. This increase is most notable in the northern Zagros Mountains and central Alborz Mountains where precipitation changes are expected to exceed 5 mm/month"
765,"Increase in drought events","Highland Mixed",MENA,"Hazard","Drought is the most prevalent climate hazard. Its impacts on livelihoods are severe and cause the highest human losses"
766,"Increase in strong winds","Highland Mixed",MENA,"Hazard","High winds associated with extreme heat in the agrisytem cause sand- and duststorms. Strong winds when associated with unstable conditions, such as the development of informal, unsafe settlements become disasters rather than just hazards, given the extensive devastation they can inflict, and require risk reduction on a large-scale."
767,"Rising sea levels","Highland Mixed",MENA,"Hazard","Climate change is expected to result in sea level rise and an increase in heat extremes, which will put intense pressure on already scarce water resources. These in turn will have severe implications for regional food security and livelihoods"
768,"Increasingly erratic rainfall","Highland Mixed",MENA,"Hazard",
769,"Soil erosion","Highland Mixed",MENA,"Impact","There has been a decline in soil fertility in the region, resulting from continuous cropping and low nutrient return, is also an issue in some plateau areas"
770,"Reduced water quality","Highland Mixed",MENA,"Impact","There have been impacts of declining quality of natural resource base and water erosion as a result of inadequate maintanance of terraces in the region."
771,"Water scarcity","Highland Mixed",MENA,"Impact","Scarcity of drinking water, for both humans and animals, in the mountain areas is one of the most serious problems and large number of new water points are needed."
772,"Land degradation","Highland Mixed",MENA,"Impact","Land degradation is extensive and the steep slopes cause intense runoff and local floods from storms."
773,"Reduced crop productivity/failure","Highland Mixed",MENA,"Impact","Wheat production areas on the western side of the Zagros Mountains are likely to undergo yield losses as this area will observe some of the most extreme changes in temperature (2.6- 3ºC in RCP 8.5) and certainly precipitation (up to -7.9 mm/month in RCP 8.5). Water deficits for wheat are projected to be around 23 percent during the growing season by 2050 which may result in farmers altering their planting dates or indeed switching to other crops, such as barley"
774,"Reduced water quality","Highland Mixed",MENA,"Impact","There is a reduced water quality impact due to unsustainable use of natural resources  coupled with climate change hazards."
775,"Reduced groundwater tables","Highland Mixed",MENA,"Impact","The agrisystem is prone to frequent droughts and face future water shortages due to unsustainable withdrawal of groundwater. In addition, mean temperatures over the past century have risen by 0.5°C, and precipitation over the past several decades has decreased by up to 10% in some parts of North Africa and Sudan"
776,"Unpredictable planting period","Highland Mixed",MENA,"Impact","Erratic rainfall in the agrisystem has impacted on the predictability of the planting seasons in the region. Farmers are finding it more and more difficult to rely on the onset for planting."
777,"Desertification","Highland Mixed",MENA,"Impact","Desertification is an increasing impact of climate hazards in the agrisystem with the region having some of the highest numbers of people vulnerable to increased desertification."
778,"Increased flooding","Highland Mixed",MENA,"Impact",
779,"Change in production zone suitability","Highland Mixed",MENA,"Impact",
780,"Damage to infrastructure","Highland Mixed",MENA,"Impact",
781,"Livestock mortalities","Highland Mixed",MENA,"Impact",
782,"Soil salinisation","Highland Mixed",MENA,"Impact",
783,"Coastal inundation","Highland Mixed",MENA,"Impact",
784,"Landslide events","Highland Mixed",MENA,"Impact",
785,"Crop stress/damage/mortality","Highland Mixed",MENA,"Impact",
786,"Increase in food imports","Highland Mixed",MENA,"Impact","Increased competition from subsidised imports of meat and dairy products for urban consumers continues to impoverish small producers by pushing down prices. The region is not self-sufficient in food production and relies mainly on imports: about 50% of its wheat and barley, 40% of its rice and 70% of its maize"
787,"Increase in migration","Highland Mixed",MENA,"Impact","There has been substantial levels of migration to urban and plains areas and even more households are likely to abandon farming and move to areas with better economic opportunities and services."
788,"Lack of willingness to invest in sustainable agricultural practices","Highland Mixed",MENA,"Impact","Most of the farmers in the agrisystem are mainly small scale subsistence farmers and they generally lack the willingness to invest in sustainable agricultural practices due to lack of financial capabilities to invest in proper farm inputs and infrastructure."
789,"Loss of income","Highland Mixed",MENA,"Impact","Loss of livelihood and income to to extreme events such as floods and droughts impacts on the communities heavily due to damage of infrastrucuture and agricultural produce."
790,"Increase in food imports","Highland Mixed",MENA,"Impact","The reliance on food imports is expected to increase by 64% between 2010 and 2030. Such reliance on imports exposes Arab States to supply and price risks."
791,"Increase in food insecurity","Highland Mixed",MENA,"Impact",
792,"Food health and safety issues","Highland Mixed",MENA,"Impact",
793,"Increase in poverty","Highland Mixed",MENA,"Impact",
794,"Dependence on food aid","Highland Mixed",MENA,"Impact",
795,"Increase in malnutrition/ Reduced calorie intake","Highland Mixed",MENA,"Impact",
796,"Competition for resources","Highland Mixed",MENA,"Impact",
797,"Increase in malnutrition","Highland Mixed",MENA,"Impact",
798,"Increase in food spoilage/wastage","Highland Mixed",MENA,"Impact",
799,"Increase in post-harvest losses","Highland Mixed",MENA,"Impact",
800,"Unsustainable natural resource use","Highland Mixed",MENA,"Vulnerability","There has been a decline in the quality of the natural resource base due to unsustainalbe practices such as inadequate maintenance of terraces in recent years. To some extent, this neglect of terrace maintenance has been caused by reduced labour availability, as a result of substantial levels of emigration to urban and plains areas"
801,"High poverty levels ","Highland Mixed",MENA,"Vulnerability","Currently, farmers in this farming system are amongst the poorest and most marginalised in the region. They are disconnected from resources, markets, extension services and social protection systems, making them even more vulnerable to the impacts of climate change."
802,"Demographic pressure on land","Highland Mixed",MENA,"Vulnerability","An additional strain on food and water demand is exerted by a strong population growth (almost 2% per year – about twice the world average), which is expected to double by 2050. In addition to rising population, higher living standards, urbanization and further development in general will all exercise an increasing pressure on the already scarce resources, in turn deeply interwoven with food-security challenges"
803,"Dependent on a single crop type","Highland Mixed",MENA,"Vulnerability","Low-yield agriculture in the region is characterized by low diversity such that harvested area is dominated by cereals"
804,"Unsustainable land management practices","Highland Mixed",MENA,"Vulnerability","Within the Highland Mixed System, inadequate maintenance of terraces in recent years has led to a decline in the quality of the natural resource base, and to increasing water erosion that has reduced productivity"
805,"Dependence on groundwater","Highland Mixed",MENA,"Vulnerability","In the system, the primary source of drinking water is groundwater. Since the impacts of climate change on groundwater resources have remained weakly comprehended, the MENA countries should consider alternative resources to ensure reliable access to drinking water in the future."
806,"Reliance on rainfed agriculture","Highland Mixed",MENA,"Vulnerability","Reliance on rainfed agriculture by most farmers in the region exposes them to the harsh climatic hazards experienced in the region such as erratic rainfall which affects the predictability of the planting season."
807,"Poor water use efficiency and management","Highland Mixed",MENA,"Vulnerability",
808,"Weak land tenure ","Highland Mixed",MENA,"Vulnerability","One of the policy challenges in the highland mixed farming system is how to improve labour productivity, given the current land use and land tenure regimes. The current fragmented land use system, where about 50 per cent of the farms in the highland mixed system are smaller than 1.5 ha, is a disincentive for agricultural mechanization and commercial farming. The land tenure policies of the governments, along with weak institutions, are often blamed for poor agricultural performance"
809,"Conflict prone area","Highland Mixed",MENA,"Vulnerability","MENA has a high degree of political instability and a low level of economic freedom. In addition, it has suffered from war (invasion or civil violence) for decades. The instabilitiy impacts on the livelihood of the communities."
810,"Weak land tenure and access rights for women","Highland Mixed",MENA,"Vulnerability",
811,"Low access to markets","Highland Mixed",MENA,"Vulnerability","The sustainability of this farming system depends in part on economic profitability that must provide for reinvestment in the maintenance of the ecosystem services and in satisfying the livelihoods of the people. Although small-scale farmers in the highland mixed system are keen to intensify and diversify, they are currently constrained by limited access to input and output markets. The challenging terrain and associated high cost of infrastructure development have been disincentives to develop roads and marketing in the respective countries to allow inputs and agricultural producers to move efficiently and economically"
812,"Low access to credit","Highland Mixed",MENA,"Vulnerability","The risk inherent in smallholder farming, bad loans, inefficiencies in the banking sector, and lack of security exclude many farmers from formal credit. Governments tend to see credit policy in terms of capping the interest rate, which benefits farmers who can get credit already but discourages banks from lending to poorer clients."
813,"Barriers to trade","Highland Mixed",MENA,"Vulnerability",
814,"Unstable commodity prices","Highland Mixed",MENA,"Vulnerability",
815,"High prevalence of land degradation","Highland Mixed",MENA,"Vulnerability","The location of the farming system on undulating and mountainous landscapes (with slopes ranging from 5 to 35 per cent), along with high rainfall intensity and recurrent deforestation, makes it susceptible to erosion. Erosion is the major environmental factor aggravating soil fertility decline, decreasing productivity, reducing soil carbon stock and diminishing environmental services. A quarter of the highlands of Ethiopia are seriously eroded"
816,"Unfavourable soil conditions","Highland Mixed",MENA,"Vulnerability","Unfavourable soil conditions is a vulnerability that has been caused by years of soil erosion due to climatic hazards."
817,"Water scarce area","Highland Mixed",MENA,"Vulnerability","Countries under the farming system are some of the most water scarce countries in the world and this is further exacerbated by droughts, increasing populations and little water conservation efforts."
818,"Predominantly small-scale subsistence farming","Highland Mixed",MENA,"Vulnerability","Nearly 85 percent of agricultural land holdings in the MENA region are farmed by small-scale farmers characterized by small land holdings and limited resources for farm inputs."
819,"Low access to markets","Highland Mixed",MENA,"Vulnerability","The system is constrained by limited human and financial capital, and poor market access with at least 7.1 hrs travel to reach the nearest town with 50,000 people"
820,"Low access to agricultural extension services","Highland Mixed",MENA,"Vulnerability","Farmers in the farming system are among the various agricultural communities who are  disproportionately impacted by climate change. This is partly due to their direct dependence on natural resources and detachment from the extension services and social protection systems that could enable them to build their capacity and resilience."
821,"Lack of irrigation infrastructure ","Highland Mixed",MENA,"Vulnerability","There is some limited irrigation that is used for the cultivation of horticultural and field crops."
822,"High illiteracy rates ","Highland Mixed",MENA,"Vulnerability","Traditional” farmers tend to be among the least educated and oldest segments of the population. MENA governments need to invest in rural education and professional training, both formal and informal, to help them adjust to the managerial and technological complexities of producing for the modern urban market and to help other family members to access better off-farm income, or to be better equipped to migrate to cities. "
823,"Weak land tenure and access rights, particularly for women","Highland Mixed",MENA,"Vulnerability",
824,"Inadequate agri research and development","Highland Mixed",MENA,"Vulnerability",
825,"Implement reforestation practices","Highland Mixed",MENA,"Adaptation option","There have been several initiatives in regards to reforestation and related activities for instance the AFR100 (the African Forest Landscape Restoration Initiative)."
826,"Invest in road infrastructure","Highland Mixed",MENA,"Adaptation option","There is a poor but expanding road network in the farming system. In Ethiopia for instance, the road density grew more than 70 per cent between 1997 and 2009, and the average distance to an all-weather road decreased from 21.4 km to 11.8 km. Nevertheless, the vast majority of the highland communities are yet to be connected."
827,"Invest in water harvesting and storage infrastructure","Highland Mixed",MENA,"Adaptation option","Several countries under the agrisystem are imlemeting water harvesting and storage such as Egypt  which is constructing 633 water storage facilities, with a capacity of 266.34 million m3. It explained that 160 dams, 307 artificial lakes, and 39 protection bridges, 93 barriers and artificial canals have been implemented, as well as the repairing and construction of 34 flood waterholes"
828,"Implement efficient water management","Highland Mixed",MENA,"Adaptation option","There are various water management strategies that are being implemented for example the Participatory Watershed Management and Poverty Reduction approach in Tunisia."
829,"Diversify livelihoods","Highland Mixed",MENA,"Adaptation option","Remittances from off-farm work are a major source of income (about half of males work outside their district), which is supplemented by traditional income sources such as almonds, walnuts, carob pods and aromatic plants."
830,"Adopt drought tolerant varieties","Highland Mixed",MENA,"Adaptation option","In both the north and west of the country, most small-scale farmers also keep livestock, mostly sheep. Sheep are the least affected livestock group, and this is especially the case in mixed farming systems such as those in Iran. Maintaining sheep populations and breeding drought and heat tolerate sheep could be an effective livelihood adaptation strategy for these farmers"
831,"Capacity building on sustainable agricultural practices","Highland Mixed",MENA,"Adaptation option","Aggressive sustainable land management government programs, including construction of terraces and water harvesting structures, rehabilitation exclosures of degraded landscapes as well as watershed management schemes have been implemented"
832,"Improve networking and knowledge exchange","Highland Mixed",MENA,"Adaptation option","Improving agricultural growth and productivity demands the development and promotion of an environment that encourages knowledge to be produced, communicated and applied to a nation’s needs (Joint Science Academies statement 2006). The current weak institutional capacity, sectoral policies and fragmented institutional arrangements need to be amended to facilitate knowledge flow and improve communication"
833,"Establish farmer organisations","Highland Mixed",MENA,"Adaptation option","Farmer organizations play a vital role in helping farmers gain access to the resources necessary to increase yields and increase income. This ultimately supports their shift from subsistence farming to farming as a business. An example is  Nuru Ethiopia-supported farmer organizations which are led and owned by the local community members. Local ownership and leadership allow for the important knowledge that farmers gain through their respective farmer organizations to be continuously recycled back into the organization and the local community. This continuous improvement allows farmer organizations to adapt to new challenges. "
834,"Build capacity on advocacy","Highland Mixed",MENA,"Adaptation option",
835,"Policy reform","Highland Mixed",MENA,"Adaptation option","Public policies and programmes have played an extremely important role in shaping market conditions and private sector investment"
836,"Develop policies for building climate change resilience","Highland Mixed",MENA,"Adaptation option","A few MENA countries have prepared themselves against natural and man-made disasters. The example countries are Egypt, Algeria, Morocco and Lebanon. These countries have composed specific policies, in addition to setting up intra-governmental risk management units, to decrease their extent of vulnerability. The established units are meant to assess risk by taking advantage from early warning systems, knowledge centers and risk management laboratories "
837,"Invest in agricultural research and development","Highland Mixed",MENA,"Adaptation option",
838,"Improve access to markets","Highland Mixed",MENA,"Adaptation option","Domestic markets in the region are generally tightly integrated into global agricultural markets and this interdependence is certain to continue and expected to deepen for products such as wheat and maize."
839,"Diversify markets","Highland Mixed",MENA,"Adaptation option","Specific mountain products and services including mountain tourism, medicinals, highland fruits, flowers, honey and other organic food items are in increasing global demand (ICIMOD 2011). Highland farmers could effectively compete in national and international markets if they are able to exploit their distinct agroecology and traditions by producing superior quality products with certified food origins that meet sanitary requirements and other policies of niche markets."
840,"Support local value chains","Highland Mixed",MENA,"Adaptation option","MENA governments have subsidised wheat production for many years using three main policy interventions: guaranteed prices, input subsidies, and import tariffs. The purpose of these policies is to raise the price and lower the costs for domestic production of wheat in order to increase self- sufficiency in wheat production. In Iraq, for example, the Ministry of Trade supports wheat producers through a guaranteed price for no. 1 wheat that exceeds the import price of wheat."
841,"Improve access to credit","Highland Mixed",MENA,"Adaptation option",
842,"Area of land used","Highland Mixed",MENA,"Exposure","The highland mixed farming system falls under the Semiarid - subhumid agroecological zone covering an area of 74 million ha."
843,"Farmers engaged in agri system","Highland Mixed",MENA,"Exposure",
844,"Risk to farmers of chronic poverty due to Climate Change ","Highland Mixed",MENA,"Risk","Around 43 percent of the MENA region’s population live in rural areas, which in turn are highly affected by the poverty that results from exclusion from the region’s economic growth; 70 percent of the region’s poor currently live in rural areas and are largely dependent on agriculture for their livelihoods. There is a higher prevalence of rural poverty in the highland mixed farming system and household economies. Of these, small-scale farmers with limited access to irrigation sources and net food buyers are amongst the poorest in the region."
845,"Risk to farmers of food insecurity due to Climate Change","Highland Mixed",MENA,"Risk","While it is important to understand the impacts of climate change on small-scale farmers to ensure they can transition out of poverty and hunger, there are also broader implications for the food security of those living in the region. With around 40 percent of the region’s overall food supply coming from imports, this region is highly dependent on international markets and is susceptible to the price fluctuations that are likely to arise as agricultural production globally becomes less predictable"
846,"Risk to farmers of loss of livelihoods due to Climate Change ","Highland Mixed",MENA,"Risk","Income and employment may be lost as a result of more frequent droughts in rural areas, and to floods and sea surges in urban and coastal areas. Changes in temperature and precipitation patterns may result in damage to strategic economic sectors such as tourism or others with growth potential such as high-value-added agriculture"
847,"Increase in average temperatures","Rainfed Mixed",MENA,"Hazard","The MENA Region including countries with the rainfed mixed agrisystem, is one of the World’s most exposed regions to negative climate change impacts.  Heat extremes and water shortages are quite prevalent. With 4°C global warming the mean summer temperatures can increase by up to 8°C, water runoff could decrease by 75%, and land aridity could increase in many parts of the region by more than 60%. In particular vulnerable to negative climate change impacts is the rain fed agricultural production and livelihoods of poor farmers."
848,"Increase in drought events","Rainfed Mixed",MENA,"Hazard","Drought is the most prevalent climate hazard in the agrisystem its impacts on livelihoods are severe and cause the highest human losses. Its effects include decreased water supplies, as well as loss of harvest and livestock. which, in turn, threaten food security and often cause widespread malnutrition."
849,"Increase in tropical cyclones/hurricanes","Rainfed Mixed",MENA,"Hazard","Heavy flood conditions also often follow tropical cyclones events, which are widespread in the vicinity of the Indian Ocean and Arabian Sea, and can have long-lasting impacts on coastal settlements and natural systems. "
850,"Rising sea levels","Rainfed Mixed",MENA,"Hazard","Countries in the region within the agrisystem are also particularly vulnerable to sea level rise due to climate change. About seven percent of the total population in MENA countries lives in areas where elevation is less than five metres above sea level and a large share of economic activities especially agriculture and population is concentrated in coastal areas which are exposed to increasing risks of flooding, inundation, land erosion and salinization. The effect of sea level rise could be extremely disruptive for climate-sensitive activities especially agriculture and fishing."
851,"Shorter growing season","Rainfed Mixed",MENA,"Hazard","The agrisystem is impacted by low rainfal period and higher temperatures which leads to shorter growing periods especially for the wheat value chain commodity."
852,"Increase in extreme heat (no. of hot days)","Rainfed Mixed",MENA,"Hazard","The most immediate threat posed by climate change to the agrisystem, one that is in the forefront of climate adaptation efforts, is extreme heat. In extreme heat-prone regions such as the rainfed mixed farming system and the coastal communities  excessive temperatures that could push well into the 50-60°C range, coupled with humidity and sea level rise, the cumulative effect can be devastating to infrastructure and human populations. Extreme heat has direct implications for three important aspects of society that are relevant in the context of the farming system: public health, safety, and development."
853,"Decrease in average precipitation","Rainfed Mixed",MENA,"Hazard","The observational record for most countries in the North Africa and the Middle East where the farming system occurs, indicates an overall reduction in extreme precipitation events since the 1960s, despite a local positive trend over the Atlas mountains since the 1980s."
854,"Increase in extreme rainfall events","Rainfed Mixed",MENA,"Hazard","Extreme rainfall events recorded in the agrisystem have lead to flooding events which causes destrcution of infrastructure and agricultural produce in the farms."
855,"Increasingly erratic rainfall","Rainfed Mixed",MENA,"Hazard",
856,"Soil erosion","Rainfed Mixed",MENA,"Impact","The rainfed farming system agricultural area is impacted by  soil erosion especially during rainstorms and erosion by wind on light, over-cultivated, exposed soils."
857,"Change in production zone suitability","Rainfed Mixed",MENA,"Impact","Warmer and drier climate is projected to shift vegetation and agricultural zones northwards, e.g., by 75 km for 2090–2099 relative to 2000–2009 in a 4°C world (Evans, 2009). Ferrise et al. (2013) also projected a shift northward for olive plantations."
858,"Shorter growing seasons","Rainfed Mixed",MENA,"Impact","Lower rainfalls and higher temperatures will shorten growing periods for wheat in the farming system region by about two weeks by mid-century (2031-2050). The wheat growing period in Tunisia is expected to be shortened by 10 days for 1.3°C, by 16 days for 2°C, by 20 days for 2.5°C and by 30 days for 4°C warming."
859,"Reduced crop productivity/failure","Rainfed Mixed",MENA,"Impact","Most agricultural activities in the MENA region take place in the semi-arid climate zone, either close to the coast or in the highlands. Crop yields are expected to decline by 30 percent with 1.5-2°C warming without considering adaptation."
860,"Reduced livestock productivity","Rainfed Mixed",MENA,"Impact","Climate change impacts on livestock production through various pathways, such as, changes in the quantity and quality of available feeds, changes in the length of the grazing season, additional heat stress, reduced drinking water, and changes in livestock diseases and disease vectors. The vulnerability of livestock production systems to droughts was recently demonstrated in north-eastern Syria, where herders lost almost 85 percent of their livestock as a result of the recurring droughts between 2005 and 2010."
861,"Reduced groundwater tables","Rainfed Mixed",MENA,"Impact","Ground water is the major source of water in the agrisystem and there is a substaincial reduction in ground water levels due to a combination of precipitation scarcity, high population growth and geographic concentration of the population. This is the most water-stressed area in the world."
862,"Desertification","Rainfed Mixed",MENA,"Impact","Climatic variations and human activities are the main driving factors of desertification in areas of the farming system. Deforestation for extensive agricultural activities in the vulnerable ecosystems of arid and semi-arid areas, which are thus strained beyond their capacity, coupled with increase in temperatures and reduced precipitation causes desertification"
863,"Land degradation","Rainfed Mixed",MENA,"Impact","Poor farming practices, iland pollution and extreme weather particularly drought leads to land degradation. "
864,"Crop stress/damage/mortality","Rainfed Mixed",MENA,"Impact","High temperatures causes heat stress leading to crop damage and failure. "
